Time,Value,Diff_1,Diff_2,Good,CUMSUM
08-Dec-2019 15:18:34,43.79,00:00:00,-24:00:00,1,1
08-Dec-2019 15:18:45,43.14,00:00:11,00:00:11,1,2
08-Dec-2019 15:18:56,43.02,00:00:11,00:00:00,0,2
08-Dec-2019 15:19:07,43.06,00:00:11,00:00:00,0,2
08-Dec-2019 15:19:17,43.1,00:00:10,-00:00:01,1,3
08-Dec-2019 15:19:28,43.51,00:00:11,00:00:01,1,4
08-Dec-2019 15:19:38,43.27,00:00:10,-00:00:01,1,5
08-Dec-2019 15:19:48,43.17,00:00:10,00:00:00,0,5
08-Dec-2019 15:19:59,43.8,00:00:11,00:00:01,1,6
08-Dec-2019 15:20:10,44.16,00:00:11,00:00:00,0,6
08-Dec-2019 15:20:21,43.94,00:00:11,00:00:00,0,6
08-Dec-2019 15:20:32,43.87,00:00:11,00:00:00,0,6
08-Dec-2019 15:20:43,43.92,00:00:11,00:00:00,0,6
08-Dec-2019 15:20:55,44,00:00:12,00:00:01,1,7
08-Dec-2019 15:21:06,43.8,00:00:11,-00:00:01,1,8
08-Dec-2019 15:21:17,43.75,00:00:11,00:00:00,0,8
09-Dec-2019 02:39:19,42.21,11:18:02,11:17:51,1,9
09-Dec-2019 02:39:20,42.24,00:00:01,-11:18:01,1,10
09-Dec-2019 02:39:21,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:22,42.25,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:23,42.2,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:24,42.22,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:25,42.21,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:26,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:27,42.21,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:28,42.23,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:29,42.21,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:30,42.31,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:31,42.27,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:32,42.22,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:33,42.25,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:34,42.23,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:35,42.26,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:36,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:37,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:38,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:39,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:40,42.23,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:41,42.21,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:42,42.3,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:43,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:44,42.25,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:45,42.23,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:46,42.23,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:47,42.25,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:48,42.25,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:49,42.31,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:50,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:51,42.21,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:52,42.23,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:53,42.21,00:00:01,00:00:00,0,10
09-Dec-2019 02:39:54,42.24,00:00:01,00:00:00,0,10
09-Dec-2019 02:40:07,42.23,00:00:13,00:00:12,1,11
09-Dec-2019 02:40:08,42.23,00:00:01,-00:00:12,1,12
09-Dec-2019 02:40:09,42.18,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:10,42.25,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:11,42.28,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:12,42.24,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:13,42.25,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:14,42.24,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:15,42.25,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:16,42.27,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:17,42.27,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:18,42.23,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:19,42.24,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:20,42.23,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:21,42.21,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:22,42.2,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:23,42.25,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:24,42.27,00:00:01,00:00:00,0,12
09-Dec-2019 02:40:25,42.27,00:00:01,00:00:00,0,12
