Time,Value,Diff_1,Diff_2,Good,CUMSUM
08-Dec-2019 15:17:56,43.95,00:00:00,-24:00:00,1,1
08-Dec-2019 15:18:07,43.69,00:00:11,00:00:11,1,2
08-Dec-2019 15:18:18,43.55,00:00:11,00:00:00,0,2
08-Dec-2019 15:18:29,43.54,00:00:11,00:00:00,0,2
08-Dec-2019 15:18:39,43.5,00:00:10,-00:00:01,1,3
08-Dec-2019 15:18:50,43.39,00:00:11,00:00:01,1,4
08-Dec-2019 15:19:01,43.33,00:00:11,00:00:00,0,4
08-Dec-2019 15:19:12,43.4,00:00:11,00:00:00,0,4
08-Dec-2019 15:19:23,43.7,00:00:11,00:00:00,0,4
08-Dec-2019 15:19:34,43.79,00:00:11,00:00:00,0,4
08-Dec-2019 15:19:45,43.59,00:00:11,00:00:00,0,4
08-Dec-2019 15:19:56,43.48,00:00:11,00:00:00,0,4
08-Dec-2019 15:20:07,45.05,00:00:11,00:00:00,0,4
08-Dec-2019 15:20:17,44.25,00:00:10,-00:00:01,1,5
08-Dec-2019 15:20:28,44.04,00:00:11,00:00:01,1,6
08-Dec-2019 15:20:39,44.05,00:00:11,00:00:00,0,6
08-Dec-2019 15:20:50,43.96,00:00:11,00:00:00,0,6
08-Dec-2019 15:21:00,43.92,00:00:10,-00:00:01,1,7
08-Dec-2019 15:21:10,44.08,00:00:10,00:00:00,0,7
08-Dec-2019 15:21:21,45.29,00:00:11,00:00:01,1,8
09-Dec-2019 02:37:45,44.96,11:16:24,11:16:13,1,9
09-Dec-2019 02:37:46,44.98,00:00:01,-11:16:23,1,10
09-Dec-2019 02:37:47,44.97,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:48,44.97,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:49,44.95,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:50,44.98,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:51,44.97,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:52,44.98,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:53,44.97,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:54,45.01,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:55,45,00:00:01,00:00:00,0,10
09-Dec-2019 02:37:56,45,00:00:01,00:00:00,0,10
