Time,Value,Diff_1,Diff_2,Good,CUMSUM
09-Dec-2019 07:24:39,23.11,00:00:00,-24:00:00,1,1
09-Dec-2019 07:25:40,23.06,00:01:01,00:01:01,1,2
09-Dec-2019 07:26:41,23.04,00:01:01,00:00:00,0,2
09-Dec-2019 07:27:42,23.04,00:01:01,00:00:00,0,2
09-Dec-2019 07:28:43,23.01,00:01:01,00:00:00,0,2
09-Dec-2019 07:29:44,23.04,00:01:01,00:00:00,0,2
09-Dec-2019 07:30:45,23.88,00:01:01,00:00:00,0,2
09-Dec-2019 12:54:44,22.52,05:23:59,05:22:58,1,3
09-Dec-2019 12:54:54,22.52,00:00:10,-05:23:49,1,4
09-Dec-2019 12:55:04,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:55:14,22.49,00:00:10,00:00:00,0,4
09-Dec-2019 12:55:24,22.47,00:00:10,00:00:00,0,4
09-Dec-2019 12:55:34,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:55:44,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:55:54,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:56:04,22.49,00:00:10,00:00:00,0,4
09-Dec-2019 12:56:14,22.49,00:00:10,00:00:00,0,4
09-Dec-2019 12:56:24,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:56:34,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:56:44,22.49,00:00:10,00:00:00,0,4
09-Dec-2019 12:56:54,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 12:57:04,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:57:14,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 12:57:24,22.49,00:00:10,00:00:00,0,4
09-Dec-2019 12:57:34,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 12:57:44,22.53,00:00:10,00:00:00,0,4
09-Dec-2019 12:57:54,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 12:58:04,22.49,00:00:10,00:00:00,0,4
09-Dec-2019 12:58:14,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:58:24,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:58:34,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:58:44,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:58:54,22.49,00:00:10,00:00:00,0,4
09-Dec-2019 12:59:04,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:59:14,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 12:59:24,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:59:34,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 12:59:44,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 12:59:54,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 13:00:04,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 13:00:14,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 13:00:24,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 13:00:34,22.52,00:00:10,00:00:00,0,4
09-Dec-2019 13:00:44,22.47,00:00:10,00:00:00,0,4
09-Dec-2019 13:00:54,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 13:01:04,22.5,00:00:10,00:00:00,0,4
09-Dec-2019 13:01:14,22.49,00:00:10,00:00:00,0,4
