Time,Value,Diff_1,Diff_2,Good,CUMSUM
09-Dec-2019 07:24:42,50.05,00:00:00,-24:00:00,1,1
09-Dec-2019 07:25:43,48.84,00:01:01,00:01:01,1,2
09-Dec-2019 07:26:43,48.73,00:01:00,-00:00:01,1,3
09-Dec-2019 07:27:43,48.71,00:01:00,00:00:00,0,3
09-Dec-2019 07:28:44,48.83,00:01:01,00:00:01,1,4
09-Dec-2019 07:29:45,48.75,00:01:01,00:00:00,0,4
09-Dec-2019 07:30:45,47.18,00:01:00,-00:00:01,1,5
09-Dec-2019 12:59:49,46.01,05:29:04,05:28:04,1,6
09-Dec-2019 12:59:59,46.03,00:00:10,-05:28:54,1,7
09-Dec-2019 13:00:09,46.05,00:00:10,00:00:00,0,7
09-Dec-2019 13:00:19,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:00:29,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:00:39,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:00:49,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:00:59,46.08,00:00:10,00:00:00,0,7
09-Dec-2019 13:01:09,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:01:19,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:01:29,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:01:39,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:01:49,46.05,00:00:10,00:00:00,0,7
09-Dec-2019 13:01:59,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:02:09,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:02:19,46.05,00:00:10,00:00:00,0,7
09-Dec-2019 13:02:29,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:02:39,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:02:49,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:02:59,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:03:09,46.01,00:00:10,00:00:00,0,7
09-Dec-2019 13:03:19,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:03:29,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:03:39,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:03:49,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:03:59,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:04:09,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:04:19,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:04:29,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:04:39,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:04:49,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:04:59,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:05:09,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:05:19,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:05:29,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:05:39,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:05:49,46.01,00:00:10,00:00:00,0,7
09-Dec-2019 13:05:59,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:06:09,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:06:19,46.07,00:00:10,00:00:00,0,7
09-Dec-2019 13:06:29,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:06:39,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:06:49,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:06:59,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:07:09,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:07:19,46.01,00:00:10,00:00:00,0,7
09-Dec-2019 13:07:29,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:07:39,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:07:49,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:07:59,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:08:09,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:08:19,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:08:29,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:08:39,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:08:49,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:08:59,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:09:09,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:09:19,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:09:29,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:09:39,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:09:49,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:09:59,46.01,00:00:10,00:00:00,0,7
09-Dec-2019 13:10:09,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:10:19,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:10:29,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:10:39,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:10:49,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:10:59,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:11:09,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:11:19,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:11:29,46.04,00:00:10,00:00:00,0,7
09-Dec-2019 13:11:39,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:11:49,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:11:59,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:12:09,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:12:19,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:12:29,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:12:39,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:12:49,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:12:59,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:13:09,46.02,00:00:10,00:00:00,0,7
09-Dec-2019 13:13:19,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:13:29,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:13:39,46.03,00:00:10,00:00:00,0,7
09-Dec-2019 13:13:49,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:13:59,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:14:09,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:14:19,45.96,00:00:10,00:00:00,0,7
09-Dec-2019 13:14:29,45.95,00:00:10,00:00:00,0,7
09-Dec-2019 13:14:39,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:14:49,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:14:59,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:15:09,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:15:19,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:15:29,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:15:39,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:15:49,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:15:59,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:16:09,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:16:19,45.96,00:00:10,00:00:00,0,7
09-Dec-2019 13:16:29,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:16:39,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:16:49,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:16:59,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:17:09,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:17:19,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:17:29,45.96,00:00:10,00:00:00,0,7
09-Dec-2019 13:17:39,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:17:49,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:17:59,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:18:09,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:18:19,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:18:29,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:18:39,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:18:49,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:18:59,46.01,00:00:10,00:00:00,0,7
09-Dec-2019 13:19:09,46.01,00:00:10,00:00:00,0,7
09-Dec-2019 13:19:19,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:19:29,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:19:39,45.99,00:00:10,00:00:00,0,7
09-Dec-2019 13:19:49,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:19:59,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:20:09,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:20:19,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:20:29,45.91,00:00:10,00:00:00,0,7
09-Dec-2019 13:20:39,45.95,00:00:10,00:00:00,0,7
09-Dec-2019 13:20:49,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:20:59,45.91,00:00:10,00:00:00,0,7
09-Dec-2019 13:21:09,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:21:19,45.96,00:00:10,00:00:00,0,7
09-Dec-2019 13:21:29,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:21:39,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:21:49,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:21:59,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:22:09,45.95,00:00:10,00:00:00,0,7
09-Dec-2019 13:22:19,45.95,00:00:10,00:00:00,0,7
09-Dec-2019 13:22:29,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:22:39,45.95,00:00:10,00:00:00,0,7
09-Dec-2019 13:22:49,46,00:00:10,00:00:00,0,7
09-Dec-2019 13:22:59,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:23:09,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:23:19,45.92,00:00:10,00:00:00,0,7
09-Dec-2019 13:23:29,45.92,00:00:10,00:00:00,0,7
09-Dec-2019 13:23:39,45.95,00:00:10,00:00:00,0,7
09-Dec-2019 13:23:49,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:23:59,45.95,00:00:10,00:00:00,0,7
09-Dec-2019 13:24:09,45.98,00:00:10,00:00:00,0,7
09-Dec-2019 13:24:19,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:24:29,45.92,00:00:10,00:00:00,0,7
09-Dec-2019 13:24:39,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:24:49,45.96,00:00:10,00:00:00,0,7
09-Dec-2019 13:24:59,45.95,00:00:10,00:00:00,0,7
09-Dec-2019 13:25:09,45.94,00:00:10,00:00:00,0,7
09-Dec-2019 13:25:19,45.97,00:00:10,00:00:00,0,7
09-Dec-2019 13:25:29,45.93,00:00:10,00:00:00,0,7
