Time,Value,Diff_1,Diff_2,Good,CUMSUM
09-Dec-2019 07:25:42,23.39,00:00:00,-24:00:00,1,1
09-Dec-2019 07:26:43,23.33,00:01:01,00:01:01,1,2
09-Dec-2019 07:27:43,23.33,00:01:00,-00:00:01,1,3
09-Dec-2019 07:28:44,23.29,00:01:01,00:00:01,1,4
09-Dec-2019 07:29:45,23.28,00:01:01,00:00:00,0,4
09-Dec-2019 07:30:46,24.11,00:01:01,00:00:00,0,4
09-Dec-2019 13:02:21,22.63,05:31:35,05:30:34,1,5
09-Dec-2019 13:02:31,22.63,00:00:10,-05:31:25,1,6
09-Dec-2019 13:02:41,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:02:51,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:03:01,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:03:11,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:03:21,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:03:31,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:03:41,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:03:51,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:04:01,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:04:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:04:21,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:04:31,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:04:41,22.65,00:00:10,00:00:00,0,6
09-Dec-2019 13:04:51,22.65,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:01,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:21,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:31,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:41,22.65,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:51,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:01,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:11,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:21,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:31,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:41,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:51,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:01,22.65,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:11,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:21,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:31,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:41,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:51,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:21,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:31,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:41,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:51,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:21,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:31,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:41,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:51,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:01,22.65,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:21,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:31,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:41,22.65,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:51,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:21,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:31,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:41,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:51,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:12:01,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:12:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:12:21,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:12:31,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:12:41,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:12:51,22.65,00:00:10,00:00:00,0,6
09-Dec-2019 13:13:01,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:13:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:13:21,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:13:31,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:13:41,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:13:51,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:14:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:14:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:14:21,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:14:31,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:14:41,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:14:51,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:15:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:15:11,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:15:21,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:15:31,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:15:41,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:15:51,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:16:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:16:11,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:16:21,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:16:31,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:16:41,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:16:51,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:17:01,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:17:11,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:17:21,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:17:31,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:17:41,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:17:51,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:18:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:18:11,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:18:21,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:18:31,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:18:41,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:18:51,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:19:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:19:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:19:21,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:19:31,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:19:41,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:19:51,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:20:01,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:20:11,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:20:21,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:20:31,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:20:41,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:20:51,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:21:01,22.62,00:00:10,00:00:00,0,6
