Time,Value,Diff_1,Diff_2,Good,CUMSUM
09-Dec-2019 07:27:44,47.12,00:00:00,-24:00:00,1,1
09-Dec-2019 07:28:45,47.28,00:01:01,00:01:01,1,2
09-Dec-2019 07:29:45,47.28,00:01:00,-00:00:01,1,3
09-Dec-2019 07:30:46,43.03,00:01:01,00:00:01,1,4
09-Dec-2019 13:04:30,48.34,05:33:44,05:32:43,1,5
09-Dec-2019 13:04:40,48.33,00:00:10,-05:33:34,1,6
09-Dec-2019 13:04:50,48.31,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:00,48.31,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:50,48.33,00:00:50,00:00:40,1,7
09-Dec-2019 13:06:00,48.32,00:00:10,-00:00:40,1,8
09-Dec-2019 13:06:10,48.3,00:00:10,00:00:00,0,8
09-Dec-2019 13:06:20,48.31,00:00:10,00:00:00,0,8
09-Dec-2019 13:06:30,48.3,00:00:10,00:00:00,0,8
09-Dec-2019 13:06:40,48.3,00:00:10,00:00:00,0,8
09-Dec-2019 13:06:50,48.34,00:00:10,00:00:00,0,8
09-Dec-2019 13:07:00,48.3,00:00:10,00:00:00,0,8
09-Dec-2019 13:07:50,48.32,00:00:50,00:00:40,1,9
09-Dec-2019 13:08:00,48.31,00:00:10,-00:00:40,1,10
09-Dec-2019 13:08:10,48.32,00:00:10,00:00:00,0,10
09-Dec-2019 13:08:20,48.31,00:00:10,00:00:00,0,10
09-Dec-2019 13:08:30,48.31,00:00:10,00:00:00,0,10
09-Dec-2019 13:08:40,48.32,00:00:10,00:00:00,0,10
09-Dec-2019 13:08:50,48.35,00:00:10,00:00:00,0,10
09-Dec-2019 13:09:00,48.3,00:00:10,00:00:00,0,10
09-Dec-2019 13:09:50,48.32,00:00:50,00:00:40,1,11
09-Dec-2019 13:10:00,48.3,00:00:10,-00:00:40,1,12
09-Dec-2019 13:10:10,48.3,00:00:10,00:00:00,0,12
09-Dec-2019 13:10:20,48.31,00:00:10,00:00:00,0,12
09-Dec-2019 13:10:30,48.3,00:00:10,00:00:00,0,12
09-Dec-2019 13:10:40,48.33,00:00:10,00:00:00,0,12
09-Dec-2019 13:10:50,48.33,00:00:10,00:00:00,0,12
09-Dec-2019 13:11:00,48.3,00:00:10,00:00:00,0,12
09-Dec-2019 13:11:50,48.29,00:00:50,00:00:40,1,13
09-Dec-2019 13:12:00,48.3,00:00:10,-00:00:40,1,14
09-Dec-2019 13:12:10,48.32,00:00:10,00:00:00,0,14
09-Dec-2019 13:12:20,48.32,00:00:10,00:00:00,0,14
09-Dec-2019 13:12:30,48.32,00:00:10,00:00:00,0,14
09-Dec-2019 13:12:40,48.28,00:00:10,00:00:00,0,14
09-Dec-2019 13:12:50,48.32,00:00:10,00:00:00,0,14
09-Dec-2019 13:13:00,48.35,00:00:10,00:00:00,0,14
09-Dec-2019 13:13:50,48.3,00:00:50,00:00:40,1,15
09-Dec-2019 13:14:00,48.29,00:00:10,-00:00:40,1,16
09-Dec-2019 13:14:10,48.32,00:00:10,00:00:00,0,16
09-Dec-2019 13:14:20,48.3,00:00:10,00:00:00,0,16
09-Dec-2019 13:14:30,48.29,00:00:10,00:00:00,0,16
09-Dec-2019 13:14:40,48.27,00:00:10,00:00:00,0,16
09-Dec-2019 13:14:50,48.32,00:00:10,00:00:00,0,16
09-Dec-2019 13:15:00,48.29,00:00:10,00:00:00,0,16
09-Dec-2019 13:15:50,48.3,00:00:50,00:00:40,1,17
09-Dec-2019 13:16:00,48.28,00:00:10,-00:00:40,1,18
09-Dec-2019 13:16:10,48.32,00:00:10,00:00:00,0,18
