Time,Value,Diff_1,Diff_2,Good,CUMSUM
09-Dec-2019 07:27:44,23.69,00:00:00,-24:00:00,1,1
09-Dec-2019 07:28:45,23.66,00:01:01,00:01:01,1,2
09-Dec-2019 07:29:45,23.63,00:01:00,-00:00:01,1,3
09-Dec-2019 07:30:46,26.52,00:01:01,00:00:01,1,4
09-Dec-2019 13:04:30,22.63,05:33:44,05:32:43,1,5
09-Dec-2019 13:04:40,22.65,00:00:10,-05:33:34,1,6
09-Dec-2019 13:04:50,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:00,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:10,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:20,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:30,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:40,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:05:50,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:00,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:10,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:20,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:30,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:40,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:06:50,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:00,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:10,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:20,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:30,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:40,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:07:50,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:00,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:10,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:20,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:30,22.63,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:40,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:08:50,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:00,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:10,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:20,22.58,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:30,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:40,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:09:50,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:00,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:10,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:20,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:30,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:40,22.59,00:00:10,00:00:00,0,6
09-Dec-2019 13:10:50,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:00,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:10,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:20,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:30,22.62,00:00:10,00:00:00,0,6
09-Dec-2019 13:11:40,22.6,00:00:10,00:00:00,0,6
09-Dec-2019 13:12:30,22.6,00:00:50,00:00:40,1,7
09-Dec-2019 13:12:40,22.6,00:00:10,-00:00:40,1,8
09-Dec-2019 13:12:50,22.6,00:00:10,00:00:00,0,8
09-Dec-2019 13:13:00,22.63,00:00:10,00:00:00,0,8
09-Dec-2019 13:13:10,22.63,00:00:10,00:00:00,0,8
09-Dec-2019 13:13:20,22.6,00:00:10,00:00:00,0,8
09-Dec-2019 13:13:30,22.62,00:00:10,00:00:00,0,8
09-Dec-2019 13:13:40,22.65,00:00:10,00:00:00,0,8
09-Dec-2019 13:14:30,22.62,00:00:50,00:00:40,1,9
09-Dec-2019 13:14:40,22.6,00:00:10,-00:00:40,1,10
09-Dec-2019 13:14:50,22.62,00:00:10,00:00:00,0,10
09-Dec-2019 13:15:00,22.62,00:00:10,00:00:00,0,10
09-Dec-2019 13:15:10,22.6,00:00:10,00:00:00,0,10
09-Dec-2019 13:15:20,22.6,00:00:10,00:00:00,0,10
09-Dec-2019 13:15:30,22.59,00:00:10,00:00:00,0,10
09-Dec-2019 13:15:40,22.62,00:00:10,00:00:00,0,10
09-Dec-2019 13:15:50,22.6,00:00:10,00:00:00,0,10
09-Dec-2019 13:16:00,22.6,00:00:10,00:00:00,0,10
09-Dec-2019 13:16:10,22.59,00:00:10,00:00:00,0,10
09-Dec-2019 13:16:20,22.62,00:00:10,00:00:00,0,10
09-Dec-2019 13:16:30,22.62,00:00:10,00:00:00,0,10
09-Dec-2019 13:16:40,22.6,00:00:10,00:00:00,0,10
09-Dec-2019 13:16:50,22.6,00:00:10,00:00:00,0,10
09-Dec-2019 13:17:00,22.62,00:00:10,00:00:00,0,10
09-Dec-2019 13:17:10,22.6,00:00:10,00:00:00,0,10
09-Dec-2019 13:17:20,22.59,00:00:10,00:00:00,0,10
09-Dec-2019 13:17:30,22.6,00:00:10,00:00:00,0,10
