Time,Value,Diff_1,Diff_2,Good,CUMSUM
31-Dec-2019 10:52:43,53.12,00:00:00,-24:00:00,1,1
31-Dec-2019 10:52:56,52.33,00:00:13,00:00:13,1,2
31-Dec-2019 10:53:07,52.23,00:00:11,-00:00:02,1,3
31-Dec-2019 10:53:18,51.9,00:00:11,00:00:00,0,3
31-Dec-2019 10:53:29,49.67,00:00:11,00:00:00,0,3
31-Dec-2019 10:53:54,49.02,00:00:25,00:00:14,1,4
31-Dec-2019 10:54:54,51.56,00:01:00,00:00:35,1,5
31-Dec-2019 10:55:54,49.69,00:01:00,00:00:00,0,5
31-Dec-2019 10:56:54,58.28,00:01:00,00:00:00,0,5
31-Dec-2019 10:57:54,53.53,00:01:00,00:00:00,0,5
31-Dec-2019 10:58:54,66.39,00:01:00,00:00:00,0,5
31-Dec-2019 10:59:54,65.84,00:01:00,00:00:00,0,5
31-Dec-2019 11:00:54,64.91,00:01:00,00:00:00,0,5
31-Dec-2019 11:01:54,64.57,00:01:00,00:00:00,0,5
31-Dec-2019 11:02:54,64.52,00:01:00,00:00:00,0,5
31-Dec-2019 11:03:54,64.57,00:01:00,00:00:00,0,5
31-Dec-2019 11:04:54,64.72,00:01:00,00:00:00,0,5
31-Dec-2019 11:05:54,64.91,00:01:00,00:00:00,0,5
31-Dec-2019 11:06:54,65.08,00:01:00,00:00:00,0,5
31-Dec-2019 11:07:54,65.24,00:01:00,00:00:00,0,5
31-Dec-2019 11:08:54,65.43,00:01:00,00:00:00,0,5
31-Dec-2019 11:09:54,65.59,00:01:00,00:00:00,0,5
31-Dec-2019 11:10:54,65.73,00:01:00,00:00:00,0,5
31-Dec-2019 11:11:54,65.87,00:01:00,00:00:00,0,5
31-Dec-2019 11:12:54,65.97,00:01:00,00:00:00,0,5
31-Dec-2019 11:13:54,66.12,00:01:00,00:00:00,0,5
31-Dec-2019 11:14:54,66.27,00:01:00,00:00:00,0,5
31-Dec-2019 11:15:54,66.39,00:01:00,00:00:00,0,5
31-Dec-2019 11:16:54,66.48,00:01:00,00:00:00,0,5
31-Dec-2019 11:17:54,66.6,00:01:00,00:00:00,0,5
31-Dec-2019 11:18:54,66.72,00:01:00,00:00:00,0,5
31-Dec-2019 11:19:54,66.8,00:01:00,00:00:00,0,5
31-Dec-2019 11:20:54,66.91,00:01:00,00:00:00,0,5
31-Dec-2019 11:21:54,67.03,00:01:00,00:00:00,0,5
31-Dec-2019 11:22:54,67.1,00:01:00,00:00:00,0,5
31-Dec-2019 11:23:54,67.23,00:01:00,00:00:00,0,5
31-Dec-2019 11:24:54,67.34,00:01:00,00:00:00,0,5
31-Dec-2019 11:25:54,67.44,00:01:00,00:00:00,0,5
31-Dec-2019 11:26:54,67.54,00:01:00,00:00:00,0,5
31-Dec-2019 11:27:54,67.65,00:01:00,00:00:00,0,5
31-Dec-2019 11:28:54,67.72,00:01:00,00:00:00,0,5
31-Dec-2019 11:29:54,67.81,00:01:00,00:00:00,0,5
31-Dec-2019 11:30:54,67.92,00:01:00,00:00:00,0,5
31-Dec-2019 11:31:54,68.01,00:01:00,00:00:00,0,5
31-Dec-2019 11:32:54,68.12,00:01:00,00:00:00,0,5
31-Dec-2019 11:33:54,68.18,00:01:00,00:00:00,0,5
31-Dec-2019 11:34:54,68.29,00:01:00,00:00:00,0,5
31-Dec-2019 11:35:54,68.36,00:01:00,00:00:00,0,5
31-Dec-2019 11:36:54,68.47,00:01:00,00:00:00,0,5
31-Dec-2019 11:37:54,68.57,00:01:00,00:00:00,0,5
31-Dec-2019 11:38:54,68.63,00:01:00,00:00:00,0,5
31-Dec-2019 11:39:54,68.72,00:01:00,00:00:00,0,5
31-Dec-2019 11:40:54,68.82,00:01:00,00:00:00,0,5
31-Dec-2019 11:41:54,68.92,00:01:00,00:00:00,0,5
31-Dec-2019 11:42:54,69.03,00:01:00,00:00:00,0,5
31-Dec-2019 11:43:54,69.08,00:01:00,00:00:00,0,5
31-Dec-2019 11:44:54,69.2,00:01:00,00:00:00,0,5
31-Dec-2019 11:45:54,69.26,00:01:00,00:00:00,0,5
31-Dec-2019 11:46:54,69.34,00:01:00,00:00:00,0,5
31-Dec-2019 11:47:54,69.42,00:01:00,00:00:00,0,5
31-Dec-2019 11:48:54,69.52,00:01:00,00:00:00,0,5
31-Dec-2019 11:49:54,69.61,00:01:00,00:00:00,0,5
31-Dec-2019 11:50:54,69.68,00:01:00,00:00:00,0,5
31-Dec-2019 11:51:54,69.77,00:01:00,00:00:00,0,5
31-Dec-2019 11:52:54,69.88,00:01:00,00:00:00,0,5
31-Dec-2019 11:53:54,69.93,00:01:00,00:00:00,0,5
31-Dec-2019 11:54:54,70.01,00:01:00,00:00:00,0,5
31-Dec-2019 11:55:54,70.09,00:01:00,00:00:00,0,5
31-Dec-2019 11:56:54,70.2,00:01:00,00:00:00,0,5
31-Dec-2019 11:57:54,70.27,00:01:00,00:00:00,0,5
31-Dec-2019 11:58:54,70.36,00:01:00,00:00:00,0,5
31-Dec-2019 11:59:54,70.4,00:01:00,00:00:00,0,5
31-Dec-2019 12:00:54,70.5,00:01:00,00:00:00,0,5
31-Dec-2019 12:01:54,70.55,00:01:00,00:00:00,0,5
31-Dec-2019 12:02:54,70.65,00:01:00,00:00:00,0,5
31-Dec-2019 12:03:54,70.69,00:01:00,00:00:00,0,5
31-Dec-2019 12:04:54,70.77,00:01:00,00:00:00,0,5
31-Dec-2019 12:05:54,70.85,00:01:00,00:00:00,0,5
31-Dec-2019 12:06:54,70.93,00:01:00,00:00:00,0,5
31-Dec-2019 12:07:54,71.01,00:01:00,00:00:00,0,5
31-Dec-2019 12:08:54,71.09,00:01:00,00:00:00,0,5
31-Dec-2019 12:09:54,71.15,00:01:00,00:00:00,0,5
31-Dec-2019 12:10:54,71.21,00:01:00,00:00:00,0,5
31-Dec-2019 12:11:54,71.29,00:01:00,00:00:00,0,5
31-Dec-2019 12:12:54,71.34,00:01:00,00:00:00,0,5
31-Dec-2019 12:13:54,71.41,00:01:00,00:00:00,0,5
31-Dec-2019 12:14:54,71.51,00:01:00,00:00:00,0,5
31-Dec-2019 12:15:54,71.57,00:01:00,00:00:00,0,5
31-Dec-2019 12:16:54,71.64,00:01:00,00:00:00,0,5
