Time,Value,Diff_1,Diff_2,Good,CUMSUM
31-Dec-2019 10:52:43,23.17,00:00:00,-24:00:00,1,1
31-Dec-2019 10:52:56,23.18,00:00:13,00:00:13,1,2
31-Dec-2019 10:53:07,23.14,00:00:11,-00:00:02,1,3
31-Dec-2019 10:53:18,23.13,00:00:11,00:00:00,0,3
31-Dec-2019 10:53:29,23.11,00:00:11,00:00:00,0,3
31-Dec-2019 10:53:54,22.98,00:00:25,00:00:14,1,4
31-Dec-2019 10:54:54,22.93,00:01:00,00:00:35,1,5
31-Dec-2019 10:55:54,22.8,00:01:00,00:00:00,0,5
31-Dec-2019 10:56:54,23.59,00:01:00,00:00:00,0,5
31-Dec-2019 10:57:54,9.03,00:01:00,00:00:00,0,5
31-Dec-2019 10:58:54,3.25,00:01:00,00:00:00,0,5
31-Dec-2019 10:59:54,2.52,00:01:00,00:00:00,0,5
31-Dec-2019 11:00:54,2.2,00:01:00,00:00:00,0,5
31-Dec-2019 11:01:54,1.87,00:01:00,00:00:00,0,5
31-Dec-2019 11:02:54,1.59,00:01:00,00:00:00,0,5
31-Dec-2019 11:03:54,1.33,00:01:00,00:00:00,0,5
31-Dec-2019 11:04:54,1.18,00:01:00,00:00:00,0,5
31-Dec-2019 11:05:54,1.01,00:01:00,00:00:00,0,5
31-Dec-2019 11:06:54,0.92,00:01:00,00:00:00,0,5
31-Dec-2019 11:07:54,0.83,00:01:00,00:00:00,0,5
31-Dec-2019 11:08:54,0.73,00:01:00,00:00:00,0,5
31-Dec-2019 11:09:54,0.67,00:01:00,00:00:00,0,5
31-Dec-2019 11:10:54,0.6,00:01:00,00:00:00,0,5
31-Dec-2019 11:11:54,0.56,00:01:00,00:00:00,0,5
31-Dec-2019 11:12:54,0.52,00:01:00,00:00:00,0,5
31-Dec-2019 11:13:54,0.52,00:01:00,00:00:00,0,5
31-Dec-2019 11:14:54,0.46,00:01:00,00:00:00,0,5
31-Dec-2019 11:15:54,0.46,00:01:00,00:00:00,0,5
31-Dec-2019 11:16:54,0.46,00:01:00,00:00:00,0,5
