Time,Value,Diff_1,Diff_2,Good,CUMSUM
10-Mar-2020 23:29:33,57.08,00:00:00,-24:00:00,1,1
10-Mar-2020 23:29:43,57.08,00:00:10,00:00:10,1,2
10-Mar-2020 23:29:53,57.09,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:03,57.09,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:13,57.08,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:23,57.1,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:33,57.13,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:43,57.1,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:53,57.08,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:03,57.1,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:13,57.15,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:23,57.11,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:33,57.12,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:43,57.16,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:53,57.13,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:03,57.14,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:13,57.15,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:23,57.14,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:33,57.17,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:43,57.17,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:53,57.19,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:03,57.16,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:13,57.19,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:23,57.2,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:33,57.19,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:43,57.18,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:53,57.2,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:03,57.24,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:13,57.16,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:23,57.19,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:33,57.18,00:00:10,00:00:00,0,2
