Time,Value,Diff_1,Diff_2,Good,CUMSUM
10-Mar-2020 23:29:33,22.29,00:00:00,-24:00:00,1,1
10-Mar-2020 23:29:43,22.29,00:00:10,00:00:10,1,2
10-Mar-2020 23:29:53,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:03,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:13,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:23,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:33,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:43,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:30:53,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:03,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:13,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:23,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:33,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:43,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:31:53,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:03,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:13,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:23,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:33,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:43,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:32:53,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:03,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:13,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:23,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:33,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:43,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:33:53,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:03,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:13,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:23,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:33,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:43,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:34:53,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:35:03,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:35:13,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:35:23,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:35:33,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:35:43,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:35:53,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:36:03,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:36:13,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:36:23,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:36:33,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:36:43,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:36:53,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:37:03,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:37:13,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:37:23,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:37:33,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:37:43,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:37:53,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:38:03,22.31,00:00:10,00:00:00,0,2
10-Mar-2020 23:38:13,22.27,00:00:10,00:00:00,0,2
10-Mar-2020 23:38:23,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:38:33,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:38:43,22.27,00:00:10,00:00:00,0,2
10-Mar-2020 23:38:53,22.28,00:00:10,00:00:00,0,2
10-Mar-2020 23:39:03,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:39:13,22.29,00:00:10,00:00:00,0,2
10-Mar-2020 23:39:23,22.31,00:00:10,00:00:00,0,2
