Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 09:00:40,37.45,00:00:00,-24:00:00,1,1
02-Mar-2020 09:10:40,37.3,00:10:00,00:10:00,1,2
02-Mar-2020 09:20:40,37.17,00:10:00,00:00:00,0,2
02-Mar-2020 09:30:40,37.5,00:10:00,00:00:00,0,2
02-Mar-2020 09:40:40,37.09,00:10:00,00:00:00,0,2
02-Mar-2020 09:50:40,37,00:10:00,00:00:00,0,2
02-Mar-2020 10:00:40,37.31,00:10:00,00:00:00,0,2
02-Mar-2020 10:10:40,37.12,00:10:00,00:00:00,0,2
02-Mar-2020 10:20:40,36.97,00:10:00,00:00:00,0,2
02-Mar-2020 10:30:40,38.92,00:10:00,00:00:00,0,2
02-Mar-2020 10:40:40,39.2,00:10:00,00:00:00,0,2
02-Mar-2020 10:50:40,39.51,00:10:00,00:00:00,0,2
02-Mar-2020 11:00:40,39.68,00:10:00,00:00:00,0,2
02-Mar-2020 11:10:40,39.81,00:10:00,00:00:00,0,2
02-Mar-2020 11:20:40,39.92,00:10:00,00:00:00,0,2
02-Mar-2020 11:30:40,40,00:10:00,00:00:00,0,2
02-Mar-2020 11:40:40,40,00:10:00,00:00:00,0,2
02-Mar-2020 11:50:40,40.12,00:10:00,00:00:00,0,2
02-Mar-2020 12:00:40,40.82,00:10:00,00:00:00,0,2
02-Mar-2020 12:10:40,40.32,00:10:00,00:00:00,0,2
02-Mar-2020 12:20:40,40.12,00:10:00,00:00:00,0,2
02-Mar-2020 12:30:40,40.05,00:10:00,00:00:00,0,2
02-Mar-2020 12:40:40,39.98,00:10:00,00:00:00,0,2
02-Mar-2020 12:50:40,39.99,00:10:00,00:00:00,0,2
02-Mar-2020 13:00:40,40,00:10:00,00:00:00,0,2
02-Mar-2020 13:10:40,40.07,00:10:00,00:00:00,0,2
02-Mar-2020 13:20:40,40.01,00:10:00,00:00:00,0,2
02-Mar-2020 13:30:40,40.01,00:10:00,00:00:00,0,2
02-Mar-2020 13:40:40,40.02,00:10:00,00:00:00,0,2
02-Mar-2020 13:50:40,40.19,00:10:00,00:00:00,0,2
02-Mar-2020 14:00:40,40.13,00:10:00,00:00:00,0,2
02-Mar-2020 14:10:40,40.13,00:10:00,00:00:00,0,2
02-Mar-2020 14:20:40,40.13,00:10:00,00:00:00,0,2
02-Mar-2020 14:30:40,40.15,00:10:00,00:00:00,0,2
02-Mar-2020 14:40:40,40.43,00:10:00,00:00:00,0,2
02-Mar-2020 14:50:40,40.86,00:10:00,00:00:00,0,2
02-Mar-2020 15:00:40,41.15,00:10:00,00:00:00,0,2
02-Mar-2020 15:10:40,40.87,00:10:00,00:00:00,0,2
02-Mar-2020 15:20:40,40.74,00:10:00,00:00:00,0,2
02-Mar-2020 15:30:40,40.56,00:10:00,00:00:00,0,2
02-Mar-2020 15:40:40,40.46,00:10:00,00:00:00,0,2
02-Mar-2020 15:50:40,40.45,00:10:00,00:00:00,0,2
02-Mar-2020 16:00:40,40.46,00:10:00,00:00:00,0,2
02-Mar-2020 16:10:40,40.45,00:10:00,00:00:00,0,2
02-Mar-2020 16:20:40,40.42,00:10:00,00:00:00,0,2
02-Mar-2020 16:30:40,40.44,00:10:00,00:00:00,0,2
02-Mar-2020 16:40:40,40.48,00:10:00,00:00:00,0,2
02-Mar-2020 16:50:40,40.45,00:10:00,00:00:00,0,2
02-Mar-2020 17:00:40,40.43,00:10:00,00:00:00,0,2
02-Mar-2020 17:10:40,40.41,00:10:00,00:00:00,0,2
02-Mar-2020 17:20:40,40.42,00:10:00,00:00:00,0,2
02-Mar-2020 17:30:40,40.41,00:10:00,00:00:00,0,2
02-Mar-2020 17:40:40,40.42,00:10:00,00:00:00,0,2
02-Mar-2020 17:50:40,40.41,00:10:00,00:00:00,0,2
02-Mar-2020 18:00:40,40.37,00:10:00,00:00:00,0,2
02-Mar-2020 18:10:40,40.37,00:10:00,00:00:00,0,2
02-Mar-2020 18:20:40,40.38,00:10:00,00:00:00,0,2
02-Mar-2020 18:30:40,40.35,00:10:00,00:00:00,0,2
02-Mar-2020 18:40:40,40.38,00:10:00,00:00:00,0,2
02-Mar-2020 18:50:40,40.36,00:10:00,00:00:00,0,2
02-Mar-2020 19:00:40,40.31,00:10:00,00:00:00,0,2
02-Mar-2020 19:10:40,40.39,00:10:00,00:00:00,0,2
02-Mar-2020 19:20:40,40.37,00:10:00,00:00:00,0,2
02-Mar-2020 19:30:40,40.24,00:10:00,00:00:00,0,2
02-Mar-2020 19:40:40,40.3,00:10:00,00:00:00,0,2
02-Mar-2020 19:50:40,40.25,00:10:00,00:00:00,0,2
02-Mar-2020 20:00:40,40.28,00:10:00,00:00:00,0,2
02-Mar-2020 20:10:40,40.28,00:10:00,00:00:00,0,2
02-Mar-2020 20:20:40,40.18,00:10:00,00:00:00,0,2
02-Mar-2020 20:30:40,40.23,00:10:00,00:00:00,0,2
02-Mar-2020 20:40:40,40.25,00:10:00,00:00:00,0,2
02-Mar-2020 20:50:40,40.19,00:10:00,00:00:00,0,2
02-Mar-2020 21:00:40,40.22,00:10:00,00:00:00,0,2
02-Mar-2020 21:10:40,40.18,00:10:00,00:00:00,0,2
02-Mar-2020 21:20:40,40.16,00:10:00,00:00:00,0,2
02-Mar-2020 21:30:40,40.13,00:10:00,00:00:00,0,2
02-Mar-2020 21:40:40,40.15,00:10:00,00:00:00,0,2
02-Mar-2020 21:50:40,40.09,00:10:00,00:00:00,0,2
02-Mar-2020 22:00:40,40.12,00:10:00,00:00:00,0,2
02-Mar-2020 22:10:40,40.15,00:10:00,00:00:00,0,2
02-Mar-2020 22:20:40,40.06,00:10:00,00:00:00,0,2
02-Mar-2020 22:30:40,40.06,00:10:00,00:00:00,0,2
02-Mar-2020 22:40:40,39.93,00:10:00,00:00:00,0,2
02-Mar-2020 22:50:40,39.98,00:10:00,00:00:00,0,2
02-Mar-2020 23:00:40,40.06,00:10:00,00:00:00,0,2
02-Mar-2020 23:10:40,39.96,00:10:00,00:00:00,0,2
02-Mar-2020 23:20:40,39.98,00:10:00,00:00:00,0,2
02-Mar-2020 23:30:40,39.97,00:10:00,00:00:00,0,2
02-Mar-2020 23:40:40,40,00:10:00,00:00:00,0,2
02-Mar-2020 23:50:40,39.96,00:10:00,00:00:00,0,2
03-Mar-2020 00:00:40,39.85,00:10:00,00:00:00,0,2
03-Mar-2020 00:10:40,39.89,00:10:00,00:00:00,0,2
03-Mar-2020 00:20:40,39.88,00:10:00,00:00:00,0,2
03-Mar-2020 00:30:40,39.87,00:10:00,00:00:00,0,2
03-Mar-2020 00:40:40,39.77,00:10:00,00:00:00,0,2
03-Mar-2020 00:50:40,39.66,00:10:00,00:00:00,0,2
03-Mar-2020 01:00:40,39.8,00:10:00,00:00:00,0,2
03-Mar-2020 01:10:40,39.81,00:10:00,00:00:00,0,2
03-Mar-2020 01:20:40,39.77,00:10:00,00:00:00,0,2
03-Mar-2020 01:30:40,39.79,00:10:00,00:00:00,0,2
03-Mar-2020 01:40:40,39.78,00:10:00,00:00:00,0,2
03-Mar-2020 01:50:40,39.78,00:10:00,00:00:00,0,2
03-Mar-2020 02:00:40,39.74,00:10:00,00:00:00,0,2
03-Mar-2020 02:10:40,39.74,00:10:00,00:00:00,0,2
03-Mar-2020 02:20:40,39.75,00:10:00,00:00:00,0,2
03-Mar-2020 02:30:40,39.73,00:10:00,00:00:00,0,2
03-Mar-2020 02:40:40,39.71,00:10:00,00:00:00,0,2
03-Mar-2020 02:50:40,39.67,00:10:00,00:00:00,0,2
03-Mar-2020 03:00:40,39.74,00:10:00,00:00:00,0,2
03-Mar-2020 03:10:40,39.58,00:10:00,00:00:00,0,2
03-Mar-2020 03:20:40,39.68,00:10:00,00:00:00,0,2
03-Mar-2020 03:30:40,39.67,00:10:00,00:00:00,0,2
03-Mar-2020 03:40:40,39.65,00:10:00,00:00:00,0,2
03-Mar-2020 03:50:40,39.7,00:10:00,00:00:00,0,2
03-Mar-2020 04:00:40,39.52,00:10:00,00:00:00,0,2
03-Mar-2020 04:10:40,39.73,00:10:00,00:00:00,0,2
03-Mar-2020 04:20:40,39.62,00:10:00,00:00:00,0,2
