Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 09:00:40,23.75,00:00:00,-24:00:00,1,1
02-Mar-2020 09:10:40,23.79,00:10:00,00:10:00,1,2
02-Mar-2020 09:20:40,23.83,00:10:00,00:00:00,0,2
02-Mar-2020 09:30:40,23.89,00:10:00,00:00:00,0,2
02-Mar-2020 09:40:40,23.92,00:10:00,00:00:00,0,2
02-Mar-2020 09:50:40,23.97,00:10:00,00:00:00,0,2
02-Mar-2020 10:00:40,24,00:10:00,00:00:00,0,2
02-Mar-2020 10:10:40,24.04,00:10:00,00:00:00,0,2
02-Mar-2020 10:20:40,24.11,00:10:00,00:00:00,0,2
02-Mar-2020 10:30:40,23.52,00:10:00,00:00:00,0,2
02-Mar-2020 10:40:40,23.07,00:10:00,00:00:00,0,2
02-Mar-2020 10:50:40,22.91,00:10:00,00:00:00,0,2
02-Mar-2020 11:00:40,22.84,00:10:00,00:00:00,0,2
02-Mar-2020 11:10:40,22.79,00:10:00,00:00:00,0,2
02-Mar-2020 11:20:40,22.79,00:10:00,00:00:00,0,2
02-Mar-2020 11:30:40,22.76,00:10:00,00:00:00,0,2
02-Mar-2020 11:40:40,22.73,00:10:00,00:00:00,0,2
02-Mar-2020 11:50:40,22.7,00:10:00,00:00:00,0,2
02-Mar-2020 12:00:40,24.39,00:10:00,00:00:00,0,2
02-Mar-2020 12:10:40,24.56,00:10:00,00:00:00,0,2
02-Mar-2020 12:20:40,24.63,00:10:00,00:00:00,0,2
02-Mar-2020 12:30:40,24.63,00:10:00,00:00:00,0,2
02-Mar-2020 12:40:40,24.65,00:10:00,00:00:00,0,2
02-Mar-2020 12:50:40,24.69,00:10:00,00:00:00,0,2
02-Mar-2020 13:00:40,24.66,00:10:00,00:00:00,0,2
02-Mar-2020 13:10:40,24.69,00:10:00,00:00:00,0,2
02-Mar-2020 13:20:40,24.65,00:10:00,00:00:00,0,2
02-Mar-2020 13:30:40,24.65,00:10:00,00:00:00,0,2
