Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 08:46:31,37.65,00:00:00,-24:00:00,1,1
02-Mar-2020 08:56:31,37.81,00:10:00,00:10:00,1,2
02-Mar-2020 09:06:31,38.09,00:10:00,00:00:00,0,2
02-Mar-2020 09:16:31,37.47,00:10:00,00:00:00,0,2
02-Mar-2020 09:26:31,37.87,00:10:00,00:00:00,0,2
02-Mar-2020 09:36:31,37.5,00:10:00,00:00:00,0,2
02-Mar-2020 09:46:31,37.5,00:10:00,00:00:00,0,2
02-Mar-2020 09:56:31,37.08,00:10:00,00:00:00,0,2
02-Mar-2020 10:06:31,37.53,00:10:00,00:00:00,0,2
02-Mar-2020 10:16:31,37.57,00:10:00,00:00:00,0,2
02-Mar-2020 10:26:31,39.31,00:10:00,00:00:00,0,2
02-Mar-2020 10:36:31,39.16,00:10:00,00:00:00,0,2
02-Mar-2020 10:46:31,39.46,00:10:00,00:00:00,0,2
02-Mar-2020 10:56:31,39.61,00:10:00,00:00:00,0,2
02-Mar-2020 11:06:31,39.76,00:10:00,00:00:00,0,2
02-Mar-2020 11:16:31,39.9,00:10:00,00:00:00,0,2
02-Mar-2020 12:06:31,40.41,00:50:00,00:40:00,1,3
02-Mar-2020 12:16:31,40.28,00:10:00,-00:40:00,1,4
02-Mar-2020 12:26:31,40.14,00:10:00,00:00:00,0,4
02-Mar-2020 12:36:31,40.05,00:10:00,00:00:00,0,4
02-Mar-2020 12:46:31,40.07,00:10:00,00:00:00,0,4
02-Mar-2020 12:56:31,39.98,00:10:00,00:00:00,0,4
02-Mar-2020 13:06:31,40.04,00:10:00,00:00:00,0,4
02-Mar-2020 13:16:31,40.07,00:10:00,00:00:00,0,4
02-Mar-2020 13:26:31,40.03,00:10:00,00:00:00,0,4
02-Mar-2020 13:36:31,40.06,00:10:00,00:00:00,0,4
02-Mar-2020 13:46:31,40.1,00:10:00,00:00:00,0,4
02-Mar-2020 13:56:31,40.16,00:10:00,00:00:00,0,4
02-Mar-2020 14:06:31,40.1,00:10:00,00:00:00,0,4
02-Mar-2020 14:16:31,40.21,00:10:00,00:00:00,0,4
02-Mar-2020 14:26:31,40.18,00:10:00,00:00:00,0,4
02-Mar-2020 14:36:31,40.38,00:10:00,00:00:00,0,4
02-Mar-2020 14:46:31,40.5,00:10:00,00:00:00,0,4
02-Mar-2020 14:56:31,41.25,00:10:00,00:00:00,0,4
02-Mar-2020 15:06:31,40.88,00:10:00,00:00:00,0,4
02-Mar-2020 15:16:31,40.66,00:10:00,00:00:00,0,4
02-Mar-2020 15:26:31,40.6,00:10:00,00:00:00,0,4
02-Mar-2020 15:36:31,40.53,00:10:00,00:00:00,0,4
02-Mar-2020 15:46:31,40.49,00:10:00,00:00:00,0,4
02-Mar-2020 15:56:31,40.46,00:10:00,00:00:00,0,4
02-Mar-2020 16:06:31,40.43,00:10:00,00:00:00,0,4
02-Mar-2020 16:16:31,40.47,00:10:00,00:00:00,0,4
02-Mar-2020 16:26:31,40.44,00:10:00,00:00:00,0,4
02-Mar-2020 16:36:31,40.45,00:10:00,00:00:00,0,4
02-Mar-2020 16:46:31,40.41,00:10:00,00:00:00,0,4
02-Mar-2020 16:56:31,40.45,00:10:00,00:00:00,0,4
02-Mar-2020 17:06:31,40.45,00:10:00,00:00:00,0,4
02-Mar-2020 17:16:31,40.37,00:10:00,00:00:00,0,4
02-Mar-2020 17:26:31,40.38,00:10:00,00:00:00,0,4
02-Mar-2020 17:36:31,40.41,00:10:00,00:00:00,0,4
02-Mar-2020 17:46:31,40.41,00:10:00,00:00:00,0,4
02-Mar-2020 17:56:31,40.41,00:10:00,00:00:00,0,4
02-Mar-2020 18:06:31,40.42,00:10:00,00:00:00,0,4
02-Mar-2020 18:16:31,40.4,00:10:00,00:00:00,0,4
02-Mar-2020 18:26:31,40.38,00:10:00,00:00:00,0,4
02-Mar-2020 18:36:31,40.32,00:10:00,00:00:00,0,4
02-Mar-2020 18:46:31,40.37,00:10:00,00:00:00,0,4
02-Mar-2020 18:56:31,40.36,00:10:00,00:00:00,0,4
02-Mar-2020 19:06:31,40.37,00:10:00,00:00:00,0,4
02-Mar-2020 19:16:31,40.34,00:10:00,00:00:00,0,4
02-Mar-2020 19:26:31,40.34,00:10:00,00:00:00,0,4
02-Mar-2020 19:36:31,40.3,00:10:00,00:00:00,0,4
02-Mar-2020 19:46:31,40.19,00:10:00,00:00:00,0,4
02-Mar-2020 19:56:31,40.29,00:10:00,00:00:00,0,4
02-Mar-2020 20:06:31,40.25,00:10:00,00:00:00,0,4
02-Mar-2020 20:16:31,40.2,00:10:00,00:00:00,0,4
02-Mar-2020 20:26:31,40.18,00:10:00,00:00:00,0,4
02-Mar-2020 20:36:31,40.24,00:10:00,00:00:00,0,4
02-Mar-2020 20:46:31,40.22,00:10:00,00:00:00,0,4
02-Mar-2020 20:56:31,40.25,00:10:00,00:00:00,0,4
02-Mar-2020 21:06:31,40.18,00:10:00,00:00:00,0,4
02-Mar-2020 21:16:31,40.2,00:10:00,00:00:00,0,4
02-Mar-2020 21:26:31,40.15,00:10:00,00:00:00,0,4
02-Mar-2020 21:36:31,40.12,00:10:00,00:00:00,0,4
02-Mar-2020 21:46:31,40.11,00:10:00,00:00:00,0,4
02-Mar-2020 21:56:31,40.11,00:10:00,00:00:00,0,4
02-Mar-2020 22:06:31,40.14,00:10:00,00:00:00,0,4
02-Mar-2020 22:16:31,40.09,00:10:00,00:00:00,0,4
02-Mar-2020 22:26:31,40.02,00:10:00,00:00:00,0,4
02-Mar-2020 22:36:31,40.06,00:10:00,00:00:00,0,4
02-Mar-2020 22:46:31,40.01,00:10:00,00:00:00,0,4
02-Mar-2020 22:56:31,40.02,00:10:00,00:00:00,0,4
02-Mar-2020 23:06:31,40.05,00:10:00,00:00:00,0,4
02-Mar-2020 23:16:31,40.03,00:10:00,00:00:00,0,4
02-Mar-2020 23:26:31,40.03,00:10:00,00:00:00,0,4
02-Mar-2020 23:36:31,39.99,00:10:00,00:00:00,0,4
02-Mar-2020 23:46:31,39.98,00:10:00,00:00:00,0,4
02-Mar-2020 23:56:31,39.95,00:10:00,00:00:00,0,4
03-Mar-2020 00:06:31,39.91,00:10:00,00:00:00,0,4
03-Mar-2020 00:16:31,39.92,00:10:00,00:00:00,0,4
03-Mar-2020 00:26:31,39.92,00:10:00,00:00:00,0,4
03-Mar-2020 00:36:31,39.91,00:10:00,00:00:00,0,4
03-Mar-2020 00:46:31,39.84,00:10:00,00:00:00,0,4
03-Mar-2020 00:56:31,39.8,00:10:00,00:00:00,0,4
03-Mar-2020 01:06:31,39.86,00:10:00,00:00:00,0,4
03-Mar-2020 01:16:31,39.9,00:10:00,00:00:00,0,4
03-Mar-2020 01:26:31,39.88,00:10:00,00:00:00,0,4
03-Mar-2020 01:36:31,39.84,00:10:00,00:00:00,0,4
03-Mar-2020 01:46:31,39.85,00:10:00,00:00:00,0,4
03-Mar-2020 01:56:31,39.78,00:10:00,00:00:00,0,4
03-Mar-2020 02:06:31,39.82,00:10:00,00:00:00,0,4
03-Mar-2020 02:16:31,39.72,00:10:00,00:00:00,0,4
03-Mar-2020 02:26:31,39.75,00:10:00,00:00:00,0,4
03-Mar-2020 02:36:31,39.81,00:10:00,00:00:00,0,4
03-Mar-2020 02:46:31,39.81,00:10:00,00:00:00,0,4
03-Mar-2020 02:56:31,39.72,00:10:00,00:00:00,0,4
03-Mar-2020 03:06:31,39.79,00:10:00,00:00:00,0,4
03-Mar-2020 03:16:31,39.71,00:10:00,00:00:00,0,4
03-Mar-2020 03:26:31,39.75,00:10:00,00:00:00,0,4
03-Mar-2020 03:36:31,39.75,00:10:00,00:00:00,0,4
03-Mar-2020 03:46:31,39.69,00:10:00,00:00:00,0,4
03-Mar-2020 03:56:31,39.65,00:10:00,00:00:00,0,4
03-Mar-2020 04:06:31,39.76,00:10:00,00:00:00,0,4
