Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 08:46:31,23.6,00:00:00,-24:00:00,1,1
02-Mar-2020 08:56:31,23.64,00:10:00,00:10:00,1,2
02-Mar-2020 09:06:31,23.67,00:10:00,00:00:00,0,2
02-Mar-2020 09:16:31,23.73,00:10:00,00:00:00,0,2
02-Mar-2020 09:26:31,23.77,00:10:00,00:00:00,0,2
02-Mar-2020 09:36:31,23.81,00:10:00,00:00:00,0,2
02-Mar-2020 09:46:31,23.84,00:10:00,00:00:00,0,2
02-Mar-2020 09:56:31,23.91,00:10:00,00:00:00,0,2
02-Mar-2020 10:06:31,23.93,00:10:00,00:00:00,0,2
02-Mar-2020 10:16:31,23.97,00:10:00,00:00:00,0,2
02-Mar-2020 10:26:31,23.94,00:10:00,00:00:00,0,2
02-Mar-2020 10:36:31,23.24,00:10:00,00:00:00,0,2
02-Mar-2020 10:46:31,22.99,00:10:00,00:00:00,0,2
02-Mar-2020 10:56:31,22.88,00:10:00,00:00:00,0,2
02-Mar-2020 11:06:31,22.81,00:10:00,00:00:00,0,2
02-Mar-2020 11:16:31,22.77,00:10:00,00:00:00,0,2
02-Mar-2020 12:06:31,24.49,00:50:00,00:40:00,1,3
02-Mar-2020 12:16:31,24.6,00:10:00,-00:40:00,1,4
02-Mar-2020 12:26:31,24.62,00:10:00,00:00:00,0,4
02-Mar-2020 12:36:31,24.64,00:10:00,00:00:00,0,4
02-Mar-2020 12:46:31,24.66,00:10:00,00:00:00,0,4
02-Mar-2020 12:56:31,24.67,00:10:00,00:00:00,0,4
02-Mar-2020 13:06:31,24.67,00:10:00,00:00:00,0,4
02-Mar-2020 13:16:31,24.66,00:10:00,00:00:00,0,4
02-Mar-2020 13:26:31,24.64,00:10:00,00:00:00,0,4
02-Mar-2020 13:36:31,24.63,00:10:00,00:00:00,0,4
02-Mar-2020 13:46:31,24.63,00:10:00,00:00:00,0,4
02-Mar-2020 13:56:31,24.59,00:10:00,00:00:00,0,4
02-Mar-2020 14:06:31,24.59,00:10:00,00:00:00,0,4
