Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 08:51:18,37.31,00:00:00,-24:00:00,1,1
02-Mar-2020 09:01:18,37.23,00:10:00,00:10:00,1,2
02-Mar-2020 09:11:18,37.16,00:10:00,00:00:00,0,2
02-Mar-2020 09:21:18,36.95,00:10:00,00:00:00,0,2
02-Mar-2020 09:31:18,37.05,00:10:00,00:00:00,0,2
02-Mar-2020 09:41:18,37.02,00:10:00,00:00:00,0,2
02-Mar-2020 09:51:18,37.2,00:10:00,00:00:00,0,2
02-Mar-2020 10:01:18,37.19,00:10:00,00:00:00,0,2
02-Mar-2020 10:11:18,37.07,00:10:00,00:00:00,0,2
02-Mar-2020 10:21:18,37.12,00:10:00,00:00:00,0,2
02-Mar-2020 10:31:18,38.67,00:10:00,00:00:00,0,2
02-Mar-2020 10:41:18,39.05,00:10:00,00:00:00,0,2
02-Mar-2020 10:51:18,39.18,00:10:00,00:00:00,0,2
02-Mar-2020 11:01:18,39.35,00:10:00,00:00:00,0,2
02-Mar-2020 11:11:18,39.45,00:10:00,00:00:00,0,2
02-Mar-2020 11:21:18,39.51,00:10:00,00:00:00,0,2
02-Mar-2020 11:31:18,39.53,00:10:00,00:00:00,0,2
02-Mar-2020 11:41:18,39.63,00:10:00,00:00:00,0,2
02-Mar-2020 11:51:18,39.72,00:10:00,00:00:00,0,2
02-Mar-2020 12:01:18,40.4,00:10:00,00:00:00,0,2
02-Mar-2020 12:11:18,40.03,00:10:00,00:00:00,0,2
02-Mar-2020 12:21:18,39.87,00:10:00,00:00:00,0,2
02-Mar-2020 12:31:18,39.8,00:10:00,00:00:00,0,2
02-Mar-2020 12:41:18,39.74,00:10:00,00:00:00,0,2
02-Mar-2020 12:51:18,39.71,00:10:00,00:00:00,0,2
02-Mar-2020 13:01:18,39.69,00:10:00,00:00:00,0,2
02-Mar-2020 13:11:18,39.71,00:10:00,00:00:00,0,2
02-Mar-2020 13:21:18,39.72,00:10:00,00:00:00,0,2
02-Mar-2020 13:31:18,39.76,00:10:00,00:00:00,0,2
02-Mar-2020 13:41:18,39.77,00:10:00,00:00:00,0,2
02-Mar-2020 13:51:18,39.9,00:10:00,00:00:00,0,2
02-Mar-2020 14:01:18,39.89,00:10:00,00:00:00,0,2
02-Mar-2020 14:11:18,39.89,00:10:00,00:00:00,0,2
02-Mar-2020 14:21:18,39.96,00:10:00,00:00:00,0,2
02-Mar-2020 14:31:18,39.91,00:10:00,00:00:00,0,2
02-Mar-2020 14:41:18,40.11,00:10:00,00:00:00,0,2
02-Mar-2020 14:51:18,40.97,00:10:00,00:00:00,0,2
02-Mar-2020 15:01:18,40.85,00:10:00,00:00:00,0,2
02-Mar-2020 15:11:18,40.52,00:10:00,00:00:00,0,2
02-Mar-2020 15:21:18,40.36,00:10:00,00:00:00,0,2
02-Mar-2020 15:31:18,40.28,00:10:00,00:00:00,0,2
02-Mar-2020 15:41:18,40.24,00:10:00,00:00:00,0,2
02-Mar-2020 15:51:18,40.2,00:10:00,00:00:00,0,2
02-Mar-2020 16:01:18,40.22,00:10:00,00:00:00,0,2
02-Mar-2020 16:11:18,40.16,00:10:00,00:00:00,0,2
02-Mar-2020 16:21:18,40.18,00:10:00,00:00:00,0,2
02-Mar-2020 16:31:18,40.25,00:10:00,00:00:00,0,2
02-Mar-2020 16:41:18,40.2,00:10:00,00:00:00,0,2
02-Mar-2020 16:51:18,40.13,00:10:00,00:00:00,0,2
02-Mar-2020 17:01:18,40.18,00:10:00,00:00:00,0,2
02-Mar-2020 17:11:18,40.13,00:10:00,00:00:00,0,2
02-Mar-2020 17:21:18,40.14,00:10:00,00:00:00,0,2
02-Mar-2020 17:31:18,40.15,00:10:00,00:00:00,0,2
02-Mar-2020 17:41:18,40.18,00:10:00,00:00:00,0,2
02-Mar-2020 17:51:18,40.13,00:10:00,00:00:00,0,2
02-Mar-2020 18:01:18,40.14,00:10:00,00:00:00,0,2
02-Mar-2020 18:11:18,40.16,00:10:00,00:00:00,0,2
02-Mar-2020 18:21:18,40.1,00:10:00,00:00:00,0,2
02-Mar-2020 18:31:18,40.17,00:10:00,00:00:00,0,2
02-Mar-2020 18:41:18,40.1,00:10:00,00:00:00,0,2
02-Mar-2020 18:51:18,40.09,00:10:00,00:00:00,0,2
02-Mar-2020 19:01:18,40.04,00:10:00,00:00:00,0,2
02-Mar-2020 19:11:18,40.04,00:10:00,00:00:00,0,2
02-Mar-2020 19:21:18,40.08,00:10:00,00:00:00,0,2
02-Mar-2020 19:31:18,40.02,00:10:00,00:00:00,0,2
02-Mar-2020 19:41:18,39.96,00:10:00,00:00:00,0,2
02-Mar-2020 19:51:18,39.96,00:10:00,00:00:00,0,2
02-Mar-2020 20:01:18,39.91,00:10:00,00:00:00,0,2
02-Mar-2020 20:11:18,40,00:10:00,00:00:00,0,2
02-Mar-2020 20:21:18,39.91,00:10:00,00:00:00,0,2
02-Mar-2020 20:31:18,39.99,00:10:00,00:00:00,0,2
02-Mar-2020 20:41:18,39.93,00:10:00,00:00:00,0,2
02-Mar-2020 20:51:18,39.98,00:10:00,00:00:00,0,2
02-Mar-2020 21:01:18,39.98,00:10:00,00:00:00,0,2
02-Mar-2020 21:11:18,39.88,00:10:00,00:00:00,0,2
02-Mar-2020 21:21:18,39.88,00:10:00,00:00:00,0,2
02-Mar-2020 21:31:18,39.91,00:10:00,00:00:00,0,2
02-Mar-2020 21:41:18,39.85,00:10:00,00:00:00,0,2
02-Mar-2020 21:51:18,39.83,00:10:00,00:00:00,0,2
02-Mar-2020 22:01:18,39.84,00:10:00,00:00:00,0,2
02-Mar-2020 22:11:18,39.82,00:10:00,00:00:00,0,2
02-Mar-2020 22:21:18,39.8,00:10:00,00:00:00,0,2
02-Mar-2020 22:31:18,39.8,00:10:00,00:00:00,0,2
