Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 08:51:18,23.81,00:00:00,-24:00:00,1,1
02-Mar-2020 09:01:18,23.84,00:10:00,00:10:00,1,2
02-Mar-2020 09:11:18,23.91,00:10:00,00:00:00,0,2
02-Mar-2020 09:21:18,23.97,00:10:00,00:00:00,0,2
02-Mar-2020 09:31:18,23.98,00:10:00,00:00:00,0,2
02-Mar-2020 09:41:18,24.01,00:10:00,00:00:00,0,2
02-Mar-2020 09:51:18,24.08,00:10:00,00:00:00,0,2
02-Mar-2020 10:01:18,24.11,00:10:00,00:00:00,0,2
02-Mar-2020 10:11:18,24.12,00:10:00,00:00:00,0,2
02-Mar-2020 10:21:18,24.22,00:10:00,00:00:00,0,2
02-Mar-2020 10:31:18,23.45,00:10:00,00:00:00,0,2
02-Mar-2020 10:41:18,23.02,00:10:00,00:00:00,0,2
02-Mar-2020 10:51:18,22.9,00:10:00,00:00:00,0,2
02-Mar-2020 11:01:18,22.83,00:10:00,00:00:00,0,2
02-Mar-2020 11:11:18,22.79,00:10:00,00:00:00,0,2
02-Mar-2020 11:21:18,22.76,00:10:00,00:00:00,0,2
02-Mar-2020 11:31:18,22.73,00:10:00,00:00:00,0,2
02-Mar-2020 11:41:18,22.72,00:10:00,00:00:00,0,2
02-Mar-2020 11:51:18,22.74,00:10:00,00:00:00,0,2
02-Mar-2020 12:01:18,24.45,00:10:00,00:00:00,0,2
02-Mar-2020 12:11:18,24.59,00:10:00,00:00:00,0,2
02-Mar-2020 12:21:18,24.62,00:10:00,00:00:00,0,2
02-Mar-2020 12:31:18,24.62,00:10:00,00:00:00,0,2
02-Mar-2020 12:41:18,24.67,00:10:00,00:00:00,0,2
02-Mar-2020 12:51:18,24.69,00:10:00,00:00:00,0,2
02-Mar-2020 13:01:18,24.66,00:10:00,00:00:00,0,2
02-Mar-2020 13:11:18,24.69,00:10:00,00:00:00,0,2
02-Mar-2020 13:21:18,24.66,00:10:00,00:00:00,0,2
02-Mar-2020 13:31:18,24.65,00:10:00,00:00:00,0,2
02-Mar-2020 13:41:18,24.59,00:10:00,00:00:00,0,2
02-Mar-2020 13:51:18,24.62,00:10:00,00:00:00,0,2
02-Mar-2020 14:01:18,24.61,00:10:00,00:00:00,0,2
02-Mar-2020 14:11:18,24.56,00:10:00,00:00:00,0,2
02-Mar-2020 14:21:18,24.56,00:10:00,00:00:00,0,2
02-Mar-2020 14:31:18,24.56,00:10:00,00:00:00,0,2
02-Mar-2020 14:41:18,24.55,00:10:00,00:00:00,0,2
02-Mar-2020 14:51:18,24.59,00:10:00,00:00:00,0,2
02-Mar-2020 15:01:18,24.55,00:10:00,00:00:00,0,2
02-Mar-2020 15:11:18,24.53,00:10:00,00:00:00,0,2
02-Mar-2020 15:21:18,24.52,00:10:00,00:00:00,0,2
02-Mar-2020 15:31:18,24.49,00:10:00,00:00:00,0,2
02-Mar-2020 15:41:18,24.48,00:10:00,00:00:00,0,2
02-Mar-2020 15:51:18,24.46,00:10:00,00:00:00,0,2
02-Mar-2020 16:01:18,24.44,00:10:00,00:00:00,0,2
02-Mar-2020 16:11:18,24.42,00:10:00,00:00:00,0,2
02-Mar-2020 16:21:18,24.44,00:10:00,00:00:00,0,2
02-Mar-2020 16:31:18,24.39,00:10:00,00:00:00,0,2
02-Mar-2020 16:41:18,24.41,00:10:00,00:00:00,0,2
02-Mar-2020 16:51:18,24.35,00:10:00,00:00:00,0,2
02-Mar-2020 17:01:18,24.38,00:10:00,00:00:00,0,2
02-Mar-2020 17:11:18,24.36,00:10:00,00:00:00,0,2
02-Mar-2020 17:21:18,24.35,00:10:00,00:00:00,0,2
02-Mar-2020 17:31:18,24.36,00:10:00,00:00:00,0,2
02-Mar-2020 17:41:18,24.34,00:10:00,00:00:00,0,2
02-Mar-2020 17:51:18,24.35,00:10:00,00:00:00,0,2
02-Mar-2020 18:01:18,24.36,00:10:00,00:00:00,0,2
02-Mar-2020 18:11:18,24.34,00:10:00,00:00:00,0,2
02-Mar-2020 18:21:18,24.32,00:10:00,00:00:00,0,2
02-Mar-2020 18:31:18,24.36,00:10:00,00:00:00,0,2
02-Mar-2020 18:41:18,24.34,00:10:00,00:00:00,0,2
02-Mar-2020 18:51:18,24.35,00:10:00,00:00:00,0,2
02-Mar-2020 19:01:18,24.39,00:10:00,00:00:00,0,2
02-Mar-2020 19:11:18,24.36,00:10:00,00:00:00,0,2
02-Mar-2020 19:21:18,24.39,00:10:00,00:00:00,0,2
02-Mar-2020 19:31:18,24.39,00:10:00,00:00:00,0,2
02-Mar-2020 19:41:18,24.44,00:10:00,00:00:00,0,2
02-Mar-2020 19:51:18,24.44,00:10:00,00:00:00,0,2
02-Mar-2020 20:01:18,24.45,00:10:00,00:00:00,0,2
02-Mar-2020 20:11:18,24.46,00:10:00,00:00:00,0,2
02-Mar-2020 20:21:18,24.48,00:10:00,00:00:00,0,2
02-Mar-2020 20:31:18,24.51,00:10:00,00:00:00,0,2
02-Mar-2020 20:41:18,24.51,00:10:00,00:00:00,0,2
02-Mar-2020 20:51:18,24.53,00:10:00,00:00:00,0,2
02-Mar-2020 21:01:18,24.55,00:10:00,00:00:00,0,2
02-Mar-2020 21:11:18,24.55,00:10:00,00:00:00,0,2
02-Mar-2020 21:21:18,24.59,00:10:00,00:00:00,0,2
02-Mar-2020 21:31:18,24.59,00:10:00,00:00:00,0,2
02-Mar-2020 21:41:18,24.59,00:10:00,00:00:00,0,2
02-Mar-2020 21:51:18,24.61,00:10:00,00:00:00,0,2
02-Mar-2020 22:01:18,24.65,00:10:00,00:00:00,0,2
