Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 09:00:12,38.48,00:00:00,-24:00:00,1,1
02-Mar-2020 09:10:12,37.7,00:10:00,00:10:00,1,2
02-Mar-2020 09:20:12,37.38,00:10:00,00:00:00,0,2
02-Mar-2020 09:30:12,37.77,00:10:00,00:00:00,0,2
02-Mar-2020 09:40:12,37.69,00:10:00,00:00:00,0,2
02-Mar-2020 09:50:12,37.62,00:10:00,00:00:00,0,2
02-Mar-2020 10:00:12,37.87,00:10:00,00:00:00,0,2
02-Mar-2020 10:10:12,37.38,00:10:00,00:00:00,0,2
02-Mar-2020 10:20:12,37.36,00:10:00,00:00:00,0,2
02-Mar-2020 10:30:12,38.68,00:10:00,00:00:00,0,2
02-Mar-2020 10:40:12,38.95,00:10:00,00:00:00,0,2
02-Mar-2020 10:50:12,39.24,00:10:00,00:00:00,0,2
02-Mar-2020 11:00:12,39.42,00:10:00,00:00:00,0,2
02-Mar-2020 11:10:12,39.58,00:10:00,00:00:00,0,2
02-Mar-2020 11:20:12,39.62,00:10:00,00:00:00,0,2
02-Mar-2020 11:30:12,39.72,00:10:00,00:00:00,0,2
02-Mar-2020 11:40:12,39.75,00:10:00,00:00:00,0,2
02-Mar-2020 11:50:12,39.78,00:10:00,00:00:00,0,2
02-Mar-2020 12:00:12,40.33,00:10:00,00:00:00,0,2
02-Mar-2020 12:10:12,39.84,00:10:00,00:00:00,0,2
02-Mar-2020 12:20:12,39.63,00:10:00,00:00:00,0,2
02-Mar-2020 12:30:12,39.57,00:10:00,00:00:00,0,2
02-Mar-2020 12:40:12,39.49,00:10:00,00:00:00,0,2
02-Mar-2020 12:50:12,39.44,00:10:00,00:00:00,0,2
02-Mar-2020 13:00:12,39.48,00:10:00,00:00:00,0,2
02-Mar-2020 13:10:12,39.51,00:10:00,00:00:00,0,2
02-Mar-2020 13:20:12,39.48,00:10:00,00:00:00,0,2
02-Mar-2020 13:30:12,39.54,00:10:00,00:00:00,0,2
02-Mar-2020 13:40:12,39.57,00:10:00,00:00:00,0,2
02-Mar-2020 13:50:12,39.78,00:10:00,00:00:00,0,2
02-Mar-2020 14:00:12,39.72,00:10:00,00:00:00,0,2
02-Mar-2020 14:10:12,39.64,00:10:00,00:00:00,0,2
02-Mar-2020 14:20:12,39.66,00:10:00,00:00:00,0,2
02-Mar-2020 14:30:12,39.69,00:10:00,00:00:00,0,2
02-Mar-2020 14:40:12,39.9,00:10:00,00:00:00,0,2
02-Mar-2020 14:50:12,40.01,00:10:00,00:00:00,0,2
02-Mar-2020 15:00:12,40.73,00:10:00,00:00:00,0,2
02-Mar-2020 15:10:12,40.41,00:10:00,00:00:00,0,2
02-Mar-2020 15:20:12,40.24,00:10:00,00:00:00,0,2
02-Mar-2020 15:30:12,40.07,00:10:00,00:00:00,0,2
02-Mar-2020 17:00:12,39.95,01:30:00,01:20:00,1,3
02-Mar-2020 17:10:12,39.95,00:10:00,-01:20:00,1,4
02-Mar-2020 17:20:12,39.89,00:10:00,00:00:00,0,4
02-Mar-2020 17:30:12,39.89,00:10:00,00:00:00,0,4
02-Mar-2020 17:40:12,40,00:10:00,00:00:00,0,4
02-Mar-2020 17:50:12,39.95,00:10:00,00:00:00,0,4
02-Mar-2020 18:00:12,39.95,00:10:00,00:00:00,0,4
02-Mar-2020 18:10:12,39.9,00:10:00,00:00:00,0,4
02-Mar-2020 18:20:12,39.92,00:10:00,00:00:00,0,4
