Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 09:00:12,23.69,00:00:00,-24:00:00,1,1
02-Mar-2020 09:10:12,23.72,00:10:00,00:10:00,1,2
02-Mar-2020 09:20:12,23.75,00:10:00,00:00:00,0,2
02-Mar-2020 09:30:12,23.8,00:10:00,00:00:00,0,2
02-Mar-2020 09:40:12,23.86,00:10:00,00:00:00,0,2
02-Mar-2020 09:50:12,23.89,00:10:00,00:00:00,0,2
02-Mar-2020 10:00:12,23.93,00:10:00,00:00:00,0,2
02-Mar-2020 10:10:12,23.95,00:10:00,00:00:00,0,2
02-Mar-2020 10:20:12,24,00:10:00,00:00:00,0,2
02-Mar-2020 10:30:12,23.55,00:10:00,00:00:00,0,2
02-Mar-2020 10:40:12,23.04,00:10:00,00:00:00,0,2
02-Mar-2020 10:50:12,22.89,00:10:00,00:00:00,0,2
02-Mar-2020 11:00:12,22.8,00:10:00,00:00:00,0,2
02-Mar-2020 11:10:12,22.75,00:10:00,00:00:00,0,2
02-Mar-2020 11:20:12,22.7,00:10:00,00:00:00,0,2
02-Mar-2020 11:30:12,22.68,00:10:00,00:00:00,0,2
02-Mar-2020 11:40:12,22.68,00:10:00,00:00:00,0,2
02-Mar-2020 11:50:12,22.65,00:10:00,00:00:00,0,2
02-Mar-2020 12:00:12,24.34,00:10:00,00:00:00,0,2
02-Mar-2020 12:10:12,24.48,00:10:00,00:00:00,0,2
02-Mar-2020 12:20:12,24.55,00:10:00,00:00:00,0,2
02-Mar-2020 12:30:12,24.57,00:10:00,00:00:00,0,2
02-Mar-2020 12:40:12,24.57,00:10:00,00:00:00,0,2
02-Mar-2020 12:50:12,24.61,00:10:00,00:00:00,0,2
02-Mar-2020 13:00:12,24.58,00:10:00,00:00:00,0,2
02-Mar-2020 13:10:12,24.61,00:10:00,00:00:00,0,2
02-Mar-2020 13:20:12,24.54,00:10:00,00:00:00,0,2
02-Mar-2020 13:30:12,24.54,00:10:00,00:00:00,0,2
02-Mar-2020 13:40:12,24.54,00:10:00,00:00:00,0,2
02-Mar-2020 13:50:12,24.51,00:10:00,00:00:00,0,2
02-Mar-2020 14:00:12,24.51,00:10:00,00:00:00,0,2
02-Mar-2020 14:10:12,24.5,00:10:00,00:00:00,0,2
02-Mar-2020 14:20:12,24.47,00:10:00,00:00:00,0,2
02-Mar-2020 14:30:12,24.48,00:10:00,00:00:00,0,2
02-Mar-2020 14:40:12,24.44,00:10:00,00:00:00,0,2
02-Mar-2020 14:50:12,24.45,00:10:00,00:00:00,0,2
02-Mar-2020 15:00:12,24.47,00:10:00,00:00:00,0,2
02-Mar-2020 15:10:12,24.44,00:10:00,00:00:00,0,2
02-Mar-2020 15:20:12,24.44,00:10:00,00:00:00,0,2
02-Mar-2020 15:30:12,24.41,00:10:00,00:00:00,0,2
02-Mar-2020 15:40:12,24.38,00:10:00,00:00:00,0,2
02-Mar-2020 15:50:12,24.4,00:10:00,00:00:00,0,2
02-Mar-2020 16:00:12,24.32,00:10:00,00:00:00,0,2
02-Mar-2020 16:10:12,24.34,00:10:00,00:00:00,0,2
02-Mar-2020 17:00:12,24.27,00:50:00,00:40:00,1,3
02-Mar-2020 17:10:12,24.28,00:10:00,-00:40:00,1,4
02-Mar-2020 17:20:12,24.28,00:10:00,00:00:00,0,4
02-Mar-2020 17:30:12,24.25,00:10:00,00:00:00,0,4
02-Mar-2020 17:40:12,24.25,00:10:00,00:00:00,0,4
02-Mar-2020 17:50:12,24.28,00:10:00,00:00:00,0,4
02-Mar-2020 18:00:12,24.25,00:10:00,00:00:00,0,4
02-Mar-2020 18:10:12,24.28,00:10:00,00:00:00,0,4
02-Mar-2020 18:20:12,24.25,00:10:00,00:00:00,0,4
02-Mar-2020 18:30:12,24.27,00:10:00,00:00:00,0,4
02-Mar-2020 18:40:12,24.24,00:10:00,00:00:00,0,4
02-Mar-2020 18:50:12,24.27,00:10:00,00:00:00,0,4
02-Mar-2020 19:00:12,24.3,00:10:00,00:00:00,0,4
02-Mar-2020 19:10:12,24.28,00:10:00,00:00:00,0,4
02-Mar-2020 19:20:12,24.32,00:10:00,00:00:00,0,4
02-Mar-2020 19:30:12,24.31,00:10:00,00:00:00,0,4
02-Mar-2020 19:40:12,24.31,00:10:00,00:00:00,0,4
02-Mar-2020 19:50:12,24.34,00:10:00,00:00:00,0,4
02-Mar-2020 20:00:12,24.35,00:10:00,00:00:00,0,4
02-Mar-2020 20:10:12,24.37,00:10:00,00:00:00,0,4
02-Mar-2020 20:20:12,24.4,00:10:00,00:00:00,0,4
02-Mar-2020 20:30:12,24.4,00:10:00,00:00:00,0,4
02-Mar-2020 20:40:12,24.41,00:10:00,00:00:00,0,4
02-Mar-2020 20:50:12,24.42,00:10:00,00:00:00,0,4
02-Mar-2020 21:00:12,24.47,00:10:00,00:00:00,0,4
02-Mar-2020 21:10:12,24.45,00:10:00,00:00:00,0,4
02-Mar-2020 21:20:12,24.5,00:10:00,00:00:00,0,4
02-Mar-2020 21:30:12,24.5,00:10:00,00:00:00,0,4
02-Mar-2020 21:40:12,24.5,00:10:00,00:00:00,0,4
02-Mar-2020 21:50:12,24.52,00:10:00,00:00:00,0,4
02-Mar-2020 22:00:12,24.54,00:10:00,00:00:00,0,4
02-Mar-2020 22:10:12,24.55,00:10:00,00:00:00,0,4
02-Mar-2020 22:20:12,24.57,00:10:00,00:00:00,0,4
02-Mar-2020 22:30:12,24.61,00:10:00,00:00:00,0,4
02-Mar-2020 22:40:12,24.59,00:10:00,00:00:00,0,4
02-Mar-2020 22:50:12,24.61,00:10:00,00:00:00,0,4
02-Mar-2020 23:00:12,24.63,00:10:00,00:00:00,0,4
02-Mar-2020 23:10:12,24.65,00:10:00,00:00:00,0,4
02-Mar-2020 23:20:12,24.63,00:10:00,00:00:00,0,4
02-Mar-2020 23:30:12,24.69,00:10:00,00:00:00,0,4
02-Mar-2020 23:40:12,24.68,00:10:00,00:00:00,0,4
02-Mar-2020 23:50:12,24.7,00:10:00,00:00:00,0,4
03-Mar-2020 00:00:12,24.75,00:10:00,00:00:00,0,4
03-Mar-2020 00:10:12,24.75,00:10:00,00:00:00,0,4
03-Mar-2020 00:20:12,24.75,00:10:00,00:00:00,0,4
03-Mar-2020 00:30:12,24.76,00:10:00,00:00:00,0,4
03-Mar-2020 00:40:12,24.75,00:10:00,00:00:00,0,4
03-Mar-2020 00:50:12,24.78,00:10:00,00:00:00,0,4
03-Mar-2020 01:00:12,24.79,00:10:00,00:00:00,0,4
03-Mar-2020 01:10:12,24.79,00:10:00,00:00:00,0,4
03-Mar-2020 01:20:12,24.8,00:10:00,00:00:00,0,4
03-Mar-2020 01:30:12,24.82,00:10:00,00:00:00,0,4
03-Mar-2020 01:40:12,24.83,00:10:00,00:00:00,0,4
03-Mar-2020 01:50:12,24.82,00:10:00,00:00:00,0,4
03-Mar-2020 02:00:12,24.82,00:10:00,00:00:00,0,4
