Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 08:48:02,38.09,00:00:00,-24:00:00,1,1
02-Mar-2020 08:58:02,38.36,00:10:00,00:10:00,1,2
02-Mar-2020 09:08:02,37.92,00:10:00,00:00:00,0,2
02-Mar-2020 09:18:02,37.4,00:10:00,00:00:00,0,2
02-Mar-2020 09:28:02,37.66,00:10:00,00:00:00,0,2
02-Mar-2020 09:38:02,37.57,00:10:00,00:00:00,0,2
02-Mar-2020 09:48:02,37.47,00:10:00,00:00:00,0,2
02-Mar-2020 09:58:02,37.66,00:10:00,00:00:00,0,2
02-Mar-2020 10:08:02,37.43,00:10:00,00:00:00,0,2
02-Mar-2020 10:18:02,37.46,00:10:00,00:00:00,0,2
02-Mar-2020 10:28:02,38.9,00:10:00,00:00:00,0,2
02-Mar-2020 10:38:02,38.98,00:10:00,00:00:00,0,2
02-Mar-2020 10:48:02,39.33,00:10:00,00:00:00,0,2
02-Mar-2020 10:58:02,39.45,00:10:00,00:00:00,0,2
02-Mar-2020 11:08:02,39.58,00:10:00,00:00:00,0,2
02-Mar-2020 11:18:02,39.68,00:10:00,00:00:00,0,2
02-Mar-2020 11:28:02,39.79,00:10:00,00:00:00,0,2
02-Mar-2020 11:38:02,39.86,00:10:00,00:00:00,0,2
02-Mar-2020 11:48:02,39.88,00:10:00,00:00:00,0,2
02-Mar-2020 11:58:02,40.75,00:10:00,00:00:00,0,2
02-Mar-2020 12:08:02,40.2,00:10:00,00:00:00,0,2
02-Mar-2020 12:18:02,40.07,00:10:00,00:00:00,0,2
02-Mar-2020 12:28:02,39.92,00:10:00,00:00:00,0,2
02-Mar-2020 12:38:02,39.85,00:10:00,00:00:00,0,2
02-Mar-2020 12:48:02,39.87,00:10:00,00:00:00,0,2
02-Mar-2020 12:58:02,39.82,00:10:00,00:00:00,0,2
02-Mar-2020 13:08:02,39.88,00:10:00,00:00:00,0,2
02-Mar-2020 13:18:02,39.85,00:10:00,00:00:00,0,2
02-Mar-2020 13:28:02,39.87,00:10:00,00:00:00,0,2
02-Mar-2020 13:38:02,39.92,00:10:00,00:00:00,0,2
02-Mar-2020 13:48:02,39.94,00:10:00,00:00:00,0,2
02-Mar-2020 13:58:02,39.97,00:10:00,00:00:00,0,2
02-Mar-2020 14:08:02,39.97,00:10:00,00:00:00,0,2
02-Mar-2020 14:18:02,40.01,00:10:00,00:00:00,0,2
02-Mar-2020 14:28:02,39.97,00:10:00,00:00:00,0,2
02-Mar-2020 14:38:02,40.19,00:10:00,00:00:00,0,2
02-Mar-2020 14:48:02,40.3,00:10:00,00:00:00,0,2
02-Mar-2020 14:58:02,40.86,00:10:00,00:00:00,0,2
02-Mar-2020 15:08:02,40.62,00:10:00,00:00:00,0,2
02-Mar-2020 15:18:02,40.5,00:10:00,00:00:00,0,2
02-Mar-2020 15:28:02,40.37,00:10:00,00:00:00,0,2
02-Mar-2020 15:38:02,40.25,00:10:00,00:00:00,0,2
02-Mar-2020 15:48:02,40.29,00:10:00,00:00:00,0,2
02-Mar-2020 15:58:02,40.23,00:10:00,00:00:00,0,2
02-Mar-2020 16:08:02,40.24,00:10:00,00:00:00,0,2
02-Mar-2020 16:18:02,40.24,00:10:00,00:00:00,0,2
02-Mar-2020 16:28:02,40.25,00:10:00,00:00:00,0,2
02-Mar-2020 16:38:02,40.25,00:10:00,00:00:00,0,2
02-Mar-2020 16:48:02,40.22,00:10:00,00:00:00,0,2
02-Mar-2020 16:58:02,40.26,00:10:00,00:00:00,0,2
02-Mar-2020 17:08:02,40.21,00:10:00,00:00:00,0,2
