Time,Value,Diff_1,Diff_2,Good,CUMSUM
02-Mar-2020 08:48:02,23.5,00:00:00,-24:00:00,1,1
02-Mar-2020 08:58:02,23.55,00:10:00,00:10:00,1,2
02-Mar-2020 09:08:02,23.57,00:10:00,00:00:00,0,2
02-Mar-2020 09:18:02,23.66,00:10:00,00:00:00,0,2
02-Mar-2020 09:28:02,23.67,00:10:00,00:00:00,0,2
02-Mar-2020 09:38:02,23.72,00:10:00,00:00:00,0,2
02-Mar-2020 09:48:02,23.79,00:10:00,00:00:00,0,2
02-Mar-2020 09:58:02,23.81,00:10:00,00:00:00,0,2
02-Mar-2020 10:08:02,23.84,00:10:00,00:00:00,0,2
02-Mar-2020 10:18:02,23.87,00:10:00,00:00:00,0,2
02-Mar-2020 10:28:02,23.6,00:10:00,00:00:00,0,2
02-Mar-2020 10:38:02,22.99,00:10:00,00:00:00,0,2
02-Mar-2020 10:48:02,22.8,00:10:00,00:00:00,0,2
02-Mar-2020 10:58:02,22.71,00:10:00,00:00:00,0,2
02-Mar-2020 11:08:02,22.66,00:10:00,00:00:00,0,2
02-Mar-2020 11:18:02,22.65,00:10:00,00:00:00,0,2
02-Mar-2020 11:28:02,22.63,00:10:00,00:00:00,0,2
02-Mar-2020 11:38:02,22.59,00:10:00,00:00:00,0,2
02-Mar-2020 11:48:02,22.59,00:10:00,00:00:00,0,2
02-Mar-2020 11:58:02,24.19,00:10:00,00:00:00,0,2
02-Mar-2020 12:08:02,24.39,00:10:00,00:00:00,0,2
02-Mar-2020 12:18:02,24.48,00:10:00,00:00:00,0,2
02-Mar-2020 12:28:02,24.5,00:10:00,00:00:00,0,2
02-Mar-2020 12:38:02,24.52,00:10:00,00:00:00,0,2
02-Mar-2020 12:48:02,24.53,00:10:00,00:00:00,0,2
02-Mar-2020 12:58:02,24.56,00:10:00,00:00:00,0,2
02-Mar-2020 13:08:02,24.53,00:10:00,00:00:00,0,2
02-Mar-2020 13:18:02,24.55,00:10:00,00:00:00,0,2
02-Mar-2020 13:28:02,24.52,00:10:00,00:00:00,0,2
02-Mar-2020 13:38:02,24.49,00:10:00,00:00:00,0,2
02-Mar-2020 13:48:02,24.46,00:10:00,00:00:00,0,2
02-Mar-2020 13:58:02,24.48,00:10:00,00:00:00,0,2
02-Mar-2020 14:08:02,24.45,00:10:00,00:00:00,0,2
02-Mar-2020 14:18:02,24.45,00:10:00,00:00:00,0,2
02-Mar-2020 14:28:02,24.42,00:10:00,00:00:00,0,2
02-Mar-2020 14:38:02,24.41,00:10:00,00:00:00,0,2
02-Mar-2020 14:48:02,24.42,00:10:00,00:00:00,0,2
02-Mar-2020 14:58:02,24.42,00:10:00,00:00:00,0,2
02-Mar-2020 15:08:02,24.41,00:10:00,00:00:00,0,2
02-Mar-2020 15:18:02,24.41,00:10:00,00:00:00,0,2
02-Mar-2020 15:28:02,24.36,00:10:00,00:00:00,0,2
02-Mar-2020 15:38:02,24.35,00:10:00,00:00:00,0,2
02-Mar-2020 15:48:02,24.35,00:10:00,00:00:00,0,2
02-Mar-2020 15:58:02,24.29,00:10:00,00:00:00,0,2
02-Mar-2020 16:08:02,24.31,00:10:00,00:00:00,0,2
02-Mar-2020 16:18:02,24.29,00:10:00,00:00:00,0,2
02-Mar-2020 16:28:02,24.24,00:10:00,00:00:00,0,2
02-Mar-2020 16:38:02,24.28,00:10:00,00:00:00,0,2
02-Mar-2020 16:48:02,24.25,00:10:00,00:00:00,0,2
02-Mar-2020 16:58:02,24.25,00:10:00,00:00:00,0,2
02-Mar-2020 17:08:02,24.22,00:10:00,00:00:00,0,2
02-Mar-2020 17:18:02,24.21,00:10:00,00:00:00,0,2
02-Mar-2020 17:28:02,24.24,00:10:00,00:00:00,0,2
02-Mar-2020 17:38:02,24.21,00:10:00,00:00:00,0,2
02-Mar-2020 17:48:02,24.22,00:10:00,00:00:00,0,2
02-Mar-2020 17:58:02,24.24,00:10:00,00:00:00,0,2
02-Mar-2020 18:08:02,24.22,00:10:00,00:00:00,0,2
02-Mar-2020 18:18:02,24.22,00:10:00,00:00:00,0,2
02-Mar-2020 18:28:02,24.22,00:10:00,00:00:00,0,2
02-Mar-2020 18:38:02,24.21,00:10:00,00:00:00,0,2
02-Mar-2020 18:48:02,24.22,00:10:00,00:00:00,0,2
02-Mar-2020 18:58:02,24.22,00:10:00,00:00:00,0,2
02-Mar-2020 19:08:02,24.24,00:10:00,00:00:00,0,2
02-Mar-2020 19:18:02,24.25,00:10:00,00:00:00,0,2
02-Mar-2020 19:28:02,24.26,00:10:00,00:00:00,0,2
02-Mar-2020 19:38:02,24.26,00:10:00,00:00:00,0,2
02-Mar-2020 19:48:02,24.29,00:10:00,00:00:00,0,2
02-Mar-2020 19:58:02,24.31,00:10:00,00:00:00,0,2
02-Mar-2020 20:08:02,24.31,00:10:00,00:00:00,0,2
02-Mar-2020 20:18:02,24.35,00:10:00,00:00:00,0,2
02-Mar-2020 20:28:02,24.38,00:10:00,00:00:00,0,2
02-Mar-2020 20:38:02,24.38,00:10:00,00:00:00,0,2
02-Mar-2020 20:48:02,24.39,00:10:00,00:00:00,0,2
02-Mar-2020 20:58:02,24.39,00:10:00,00:00:00,0,2
02-Mar-2020 21:08:02,24.42,00:10:00,00:00:00,0,2
02-Mar-2020 21:18:02,24.43,00:10:00,00:00:00,0,2
02-Mar-2020 21:28:02,24.46,00:10:00,00:00:00,0,2
02-Mar-2020 21:38:02,24.45,00:10:00,00:00:00,0,2
02-Mar-2020 21:48:02,24.49,00:10:00,00:00:00,0,2
02-Mar-2020 21:58:02,24.5,00:10:00,00:00:00,0,2
02-Mar-2020 22:08:02,24.53,00:10:00,00:00:00,0,2
02-Mar-2020 22:18:02,24.53,00:10:00,00:00:00,0,2
02-Mar-2020 22:28:02,24.58,00:10:00,00:00:00,0,2
02-Mar-2020 22:38:02,24.58,00:10:00,00:00:00,0,2
02-Mar-2020 22:48:02,24.59,00:10:00,00:00:00,0,2
02-Mar-2020 22:58:02,24.6,00:10:00,00:00:00,0,2
02-Mar-2020 23:08:02,24.6,00:10:00,00:00:00,0,2
02-Mar-2020 23:18:02,24.63,00:10:00,00:00:00,0,2
02-Mar-2020 23:28:02,24.65,00:10:00,00:00:00,0,2
02-Mar-2020 23:38:02,24.67,00:10:00,00:00:00,0,2
02-Mar-2020 23:48:02,24.67,00:10:00,00:00:00,0,2
02-Mar-2020 23:58:02,24.7,00:10:00,00:00:00,0,2
03-Mar-2020 00:08:02,24.7,00:10:00,00:00:00,0,2
03-Mar-2020 00:18:02,24.71,00:10:00,00:00:00,0,2
03-Mar-2020 00:28:02,24.73,00:10:00,00:00:00,0,2
03-Mar-2020 00:38:02,24.74,00:10:00,00:00:00,0,2
03-Mar-2020 00:48:02,24.73,00:10:00,00:00:00,0,2
03-Mar-2020 00:58:02,24.74,00:10:00,00:00:00,0,2
03-Mar-2020 01:08:02,24.77,00:10:00,00:00:00,0,2
03-Mar-2020 01:18:02,24.77,00:10:00,00:00:00,0,2
03-Mar-2020 01:28:02,24.79,00:10:00,00:00:00,0,2
03-Mar-2020 01:38:02,24.8,00:10:00,00:00:00,0,2
03-Mar-2020 01:48:02,24.79,00:10:00,00:00:00,0,2
03-Mar-2020 01:58:02,24.79,00:10:00,00:00:00,0,2
