Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:46:15,49.61,00:00:00,-24:00:00,1,1
12-Mar-2020 19:46:25,49.61,00:00:10,00:00:10,1,2
12-Mar-2020 19:46:36,49.88,00:00:11,00:00:01,1,3
12-Mar-2020 19:46:46,49.76,00:00:10,-00:00:01,1,4
12-Mar-2020 19:46:56,50.11,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:06,50.11,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:16,51.59,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:26,52.11,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:36,54.49,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:46,50.25,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:56,50.57,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:06,50.28,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:16,39.31,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:26,23.27,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:36,19.52,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:46,19.42,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:56,21.01,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:06,22.32,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:16,23.57,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:26,24.51,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:36,25.42,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:46,26.34,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:56,27.08,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:06,27.72,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:16,28.25,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:26,28.77,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:36,29.24,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:46,29.66,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:56,29.96,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:06,30.3,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:16,29.88,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:26,29.72,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:36,29.56,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:46,29.66,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:56,29.88,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:06,30.08,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:16,29.99,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:26,30.23,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:36,30.6,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:46,30.89,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:56,31.01,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:06,31.35,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:16,31.65,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:26,31.7,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:36,32,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:46,32.28,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:56,32.45,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:06,32.69,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:16,32.87,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:26,33.06,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:36,33.29,00:00:10,00:00:00,0,4
