Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:46:15,25.68,00:00:00,-24:00:00,1,1
12-Mar-2020 19:46:25,25.68,00:00:10,00:00:10,1,2
12-Mar-2020 19:46:36,25.64,00:00:11,00:00:01,1,3
12-Mar-2020 19:46:46,25.61,00:00:10,-00:00:01,1,4
12-Mar-2020 19:46:56,25.57,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:06,25.57,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:16,25.65,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:26,25.68,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:36,25.75,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:46,25.67,00:00:10,00:00:00,0,4
12-Mar-2020 19:47:56,25.68,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:06,25.59,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:16,24.7,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:26,22.08,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:36,19.21,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:46,16.47,00:00:10,00:00:00,0,4
12-Mar-2020 19:48:56,14.6,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:06,13.14,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:16,12.09,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:26,11.42,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:36,10.67,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:46,10.05,00:00:10,00:00:00,0,4
12-Mar-2020 19:49:56,9.61,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:06,9.17,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:16,8.8,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:26,8.57,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:36,8.28,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:46,8.14,00:00:10,00:00:00,0,4
12-Mar-2020 19:50:56,7.84,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:06,8.03,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:16,8.36,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:26,8.56,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:36,8.6,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:46,8.35,00:00:10,00:00:00,0,4
12-Mar-2020 19:51:56,8.14,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:06,8.32,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:16,8.07,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:26,7.88,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:36,7.71,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:46,7.6,00:00:10,00:00:00,0,4
12-Mar-2020 19:52:56,7.46,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:06,7.25,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:16,7.08,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:26,7.01,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:36,6.88,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:46,6.86,00:00:10,00:00:00,0,4
12-Mar-2020 19:53:56,6.79,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:06,6.6,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:16,6.38,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:26,6.27,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:36,6.05,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:46,5.98,00:00:10,00:00:00,0,4
12-Mar-2020 19:54:56,6.02,00:00:10,00:00:00,0,4
12-Mar-2020 19:55:06,5.86,00:00:10,00:00:00,0,4
12-Mar-2020 19:55:16,5.65,00:00:10,00:00:00,0,4
12-Mar-2020 19:55:26,5.32,00:00:10,00:00:00,0,4
12-Mar-2020 19:55:36,5.19,00:00:10,00:00:00,0,4
12-Mar-2020 19:55:46,4.97,00:00:10,00:00:00,0,4
12-Mar-2020 19:55:56,4.9,00:00:10,00:00:00,0,4
12-Mar-2020 19:56:06,4.7,00:00:10,00:00:00,0,4
12-Mar-2020 19:56:16,4.56,00:00:10,00:00:00,0,4
12-Mar-2020 19:56:26,4.35,00:00:10,00:00:00,0,4
12-Mar-2020 19:56:36,4.28,00:00:10,00:00:00,0,4
12-Mar-2020 19:56:46,4.04,00:00:10,00:00:00,0,4
12-Mar-2020 19:56:56,3.93,00:00:10,00:00:00,0,4
12-Mar-2020 19:57:06,3.83,00:00:10,00:00:00,0,4
12-Mar-2020 19:57:16,3.68,00:00:10,00:00:00,0,4
12-Mar-2020 19:57:26,3.51,00:00:10,00:00:00,0,4
12-Mar-2020 19:57:36,3.21,00:00:10,00:00:00,0,4
12-Mar-2020 19:57:46,3.11,00:00:10,00:00:00,0,4
12-Mar-2020 19:57:56,2.99,00:00:10,00:00:00,0,4
12-Mar-2020 19:58:06,2.84,00:00:10,00:00:00,0,4
12-Mar-2020 19:58:16,2.63,00:00:10,00:00:00,0,4
12-Mar-2020 19:58:26,2.51,00:00:10,00:00:00,0,4
12-Mar-2020 19:58:36,2.38,00:00:10,00:00:00,0,4
12-Mar-2020 19:58:46,2.3,00:00:10,00:00:00,0,4
12-Mar-2020 19:58:56,2.03,00:00:10,00:00:00,0,4
12-Mar-2020 19:59:06,1.93,00:00:10,00:00:00,0,4
12-Mar-2020 19:59:16,1.79,00:00:10,00:00:00,0,4
12-Mar-2020 19:59:26,1.69,00:00:10,00:00:00,0,4
12-Mar-2020 19:59:36,1.57,00:00:10,00:00:00,0,4
12-Mar-2020 19:59:46,1.44,00:00:10,00:00:00,0,4
12-Mar-2020 19:59:56,1.29,00:00:10,00:00:00,0,4
12-Mar-2020 20:00:06,1.17,00:00:10,00:00:00,0,4
12-Mar-2020 20:00:16,1.08,00:00:10,00:00:00,0,4
12-Mar-2020 20:00:26,1.02,00:00:10,00:00:00,0,4
12-Mar-2020 20:00:36,0.93,00:00:10,00:00:00,0,4
12-Mar-2020 20:00:46,0.86,00:00:10,00:00:00,0,4
12-Mar-2020 20:00:56,0.78,00:00:10,00:00:00,0,4
12-Mar-2020 20:01:06,0.69,00:00:10,00:00:00,0,4
12-Mar-2020 20:01:16,0.82,00:00:10,00:00:00,0,4
12-Mar-2020 20:01:26,0.68,00:00:10,00:00:00,0,4
12-Mar-2020 20:01:36,0.52,00:00:10,00:00:00,0,4
12-Mar-2020 20:01:46,0.43,00:00:10,00:00:00,0,4
12-Mar-2020 20:01:56,0.43,00:00:10,00:00:00,0,4
12-Mar-2020 20:02:06,0.26,00:00:10,00:00:00,0,4
12-Mar-2020 20:02:16,0.13,00:00:10,00:00:00,0,4
12-Mar-2020 20:02:26,0.03,00:00:10,00:00:00,0,4
12-Mar-2020 20:02:36,-0.11,00:00:10,00:00:00,0,4
12-Mar-2020 20:02:46,-0.22,00:00:10,00:00:00,0,4
12-Mar-2020 20:02:56,-0.52,00:00:10,00:00:00,0,4
12-Mar-2020 20:03:06,-0.76,00:00:10,00:00:00,0,4
12-Mar-2020 20:03:16,-0.97,00:00:10,00:00:00,0,4
12-Mar-2020 20:03:26,-1.33,00:00:10,00:00:00,0,4
12-Mar-2020 20:03:36,-1.29,00:00:10,00:00:00,0,4
12-Mar-2020 20:03:46,-1.31,00:00:10,00:00:00,0,4
12-Mar-2020 20:03:56,-1.5,00:00:10,00:00:00,0,4
12-Mar-2020 20:04:06,-1.68,00:00:10,00:00:00,0,4
12-Mar-2020 20:04:16,-1.78,00:00:10,00:00:00,0,4
12-Mar-2020 20:04:26,-1.97,00:00:10,00:00:00,0,4
12-Mar-2020 20:04:36,-2.06,00:00:10,00:00:00,0,4
12-Mar-2020 20:04:46,-2.11,00:00:10,00:00:00,0,4
12-Mar-2020 20:04:56,-2.27,00:00:10,00:00:00,0,4
12-Mar-2020 20:05:06,-2.56,00:00:10,00:00:00,0,4
12-Mar-2020 20:05:16,-2.66,00:00:10,00:00:00,0,4
12-Mar-2020 20:05:26,-2.76,00:00:10,00:00:00,0,4
12-Mar-2020 20:05:36,-2.85,00:00:10,00:00:00,0,4
12-Mar-2020 20:05:46,-2.95,00:00:10,00:00:00,0,4
12-Mar-2020 20:05:56,-3.12,00:00:10,00:00:00,0,4
12-Mar-2020 20:06:06,-3.25,00:00:10,00:00:00,0,4
12-Mar-2020 20:06:16,-3.4,00:00:10,00:00:00,0,4
12-Mar-2020 20:06:26,-3.51,00:00:10,00:00:00,0,4
12-Mar-2020 20:06:36,-3.71,00:00:10,00:00:00,0,4
12-Mar-2020 20:06:46,-3.83,00:00:10,00:00:00,0,4
12-Mar-2020 20:06:56,-3.94,00:00:10,00:00:00,0,4
12-Mar-2020 20:07:06,-4.12,00:00:10,00:00:00,0,4
12-Mar-2020 20:07:16,-4.2,00:00:10,00:00:00,0,4
12-Mar-2020 20:07:26,-4.34,00:00:10,00:00:00,0,4
12-Mar-2020 20:07:36,-4.47,00:00:10,00:00:00,0,4
12-Mar-2020 20:07:46,-4.6,00:00:10,00:00:00,0,4
12-Mar-2020 20:07:56,-4.75,00:00:10,00:00:00,0,4
12-Mar-2020 20:08:06,-4.85,00:00:10,00:00:00,0,4
12-Mar-2020 20:08:16,-4.92,00:00:10,00:00:00,0,4
12-Mar-2020 20:08:26,-5.06,00:00:10,00:00:00,0,4
12-Mar-2020 20:08:36,-5.13,00:00:10,00:00:00,0,4
12-Mar-2020 20:08:46,-5.3,00:00:10,00:00:00,0,4
12-Mar-2020 20:08:56,-5.43,00:00:10,00:00:00,0,4
12-Mar-2020 20:09:06,-5.57,00:00:10,00:00:00,0,4
12-Mar-2020 20:09:16,-5.68,00:00:10,00:00:00,0,4
12-Mar-2020 20:09:26,-5.76,00:00:10,00:00:00,0,4
12-Mar-2020 20:09:36,-5.88,00:00:10,00:00:00,0,4
12-Mar-2020 20:09:46,-5.98,00:00:10,00:00:00,0,4
12-Mar-2020 20:09:56,-6.07,00:00:10,00:00:00,0,4
12-Mar-2020 20:10:06,-6.17,00:00:10,00:00:00,0,4
12-Mar-2020 20:10:16,-6.3,00:00:10,00:00:00,0,4
12-Mar-2020 20:10:26,-6.41,00:00:10,00:00:00,0,4
12-Mar-2020 20:10:36,-6.5,00:00:10,00:00:00,0,4
12-Mar-2020 20:10:46,-6.64,00:00:10,00:00:00,0,4
