Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:46:49,51.28,00:00:00,-24:00:00,1,1
12-Mar-2020 19:47:00,50.96,00:00:11,00:00:11,1,2
12-Mar-2020 19:47:10,51.04,00:00:10,-00:00:01,1,3
12-Mar-2020 19:47:20,51.94,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:30,52.77,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:40,51.02,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:50,51.34,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:00,49.42,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:10,32.76,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:20,21.07,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:30,19.29,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:40,19.8,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:50,20.44,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:00,21.43,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:10,22.45,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:20,23.09,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:30,23.68,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:40,24.09,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:50,24.55,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:00,25.12,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:10,25.73,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:20,26.19,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:30,26.57,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:40,26.97,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:50,27.22,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:00,27.22,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:10,27.13,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:20,27.36,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:30,27.48,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:40,27.63,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:50,27.8,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:00,27.9,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:10,28.07,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:20,28.37,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:30,28.61,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:40,28.78,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:50,28.91,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:00,29.02,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:10,29.13,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:20,29.16,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:30,29.39,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:40,29.54,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:50,29.7,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:00,29.94,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:10,30.19,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:20,30.52,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:30,30.78,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:40,31.06,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:50,31.38,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:00,31.69,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:10,32.13,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:20,32.48,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:30,32.8,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:40,33.17,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:50,33.45,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:00,33.8,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:10,34.15,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:20,34.48,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:30,34.85,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:40,35.15,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:50,35.47,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:00,35.84,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:10,36.17,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:20,36.5,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:30,36.95,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:40,37.25,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:50,37.52,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:00,37.87,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:10,38.23,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:20,38.65,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:30,38.93,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:40,39.27,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:50,39.66,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:00,40.04,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:10,40.43,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:20,40.77,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:30,41.1,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:40,41.42,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:50,41.8,00:00:10,00:00:00,0,3
12-Mar-2020 20:00:00,42.06,00:00:10,00:00:00,0,3
12-Mar-2020 20:00:10,42.37,00:00:10,00:00:00,0,3
12-Mar-2020 20:00:20,42.55,00:00:10,00:00:00,0,3
12-Mar-2020 20:00:30,42.8,00:00:10,00:00:00,0,3
12-Mar-2020 20:00:40,43.03,00:00:10,00:00:00,0,3
12-Mar-2020 20:00:50,43.27,00:00:10,00:00:00,0,3
12-Mar-2020 20:01:00,43.3,00:00:10,00:00:00,0,3
12-Mar-2020 20:01:10,42.6,00:00:10,00:00:00,0,3
12-Mar-2020 20:01:20,41.91,00:00:10,00:00:00,0,3
12-Mar-2020 20:01:30,41.63,00:00:10,00:00:00,0,3
12-Mar-2020 20:01:40,41.05,00:00:10,00:00:00,0,3
12-Mar-2020 20:01:50,40.18,00:00:10,00:00:00,0,3
12-Mar-2020 20:02:00,39.21,00:00:10,00:00:00,0,3
12-Mar-2020 20:02:10,38.66,00:00:10,00:00:00,0,3
12-Mar-2020 20:02:20,38.45,00:00:10,00:00:00,0,3
12-Mar-2020 20:02:30,38.73,00:00:10,00:00:00,0,3
12-Mar-2020 20:02:40,38.68,00:00:10,00:00:00,0,3
12-Mar-2020 20:02:50,38.65,00:00:10,00:00:00,0,3
12-Mar-2020 20:03:00,38.62,00:00:10,00:00:00,0,3
12-Mar-2020 20:03:10,38.52,00:00:10,00:00:00,0,3
12-Mar-2020 20:03:20,38.23,00:00:10,00:00:00,0,3
12-Mar-2020 20:03:30,38.4,00:00:10,00:00:00,0,3
12-Mar-2020 20:03:40,38.52,00:00:10,00:00:00,0,3
12-Mar-2020 20:03:50,38.18,00:00:10,00:00:00,0,3
12-Mar-2020 20:04:00,38.17,00:00:10,00:00:00,0,3
12-Mar-2020 20:04:10,38.02,00:00:10,00:00:00,0,3
12-Mar-2020 20:04:20,37.89,00:00:10,00:00:00,0,3
12-Mar-2020 20:04:30,37.9,00:00:10,00:00:00,0,3
12-Mar-2020 20:04:40,38.07,00:00:10,00:00:00,0,3
12-Mar-2020 20:04:50,38.09,00:00:10,00:00:00,0,3
12-Mar-2020 20:05:00,38.19,00:00:10,00:00:00,0,3
12-Mar-2020 20:05:10,38.09,00:00:10,00:00:00,0,3
12-Mar-2020 20:05:20,38.22,00:00:10,00:00:00,0,3
12-Mar-2020 20:05:30,38.47,00:00:10,00:00:00,0,3
12-Mar-2020 20:05:40,38.8,00:00:10,00:00:00,0,3
12-Mar-2020 20:05:50,38.89,00:00:10,00:00:00,0,3
12-Mar-2020 20:06:00,39.02,00:00:10,00:00:00,0,3
12-Mar-2020 20:06:10,39.1,00:00:10,00:00:00,0,3
12-Mar-2020 20:07:00,38.92,00:00:50,00:00:40,1,4
12-Mar-2020 20:07:10,38.99,00:00:10,-00:00:40,1,5
12-Mar-2020 20:07:20,39.1,00:00:10,00:00:00,0,5
12-Mar-2020 20:07:30,39.1,00:00:10,00:00:00,0,5
12-Mar-2020 20:07:40,39.24,00:00:10,00:00:00,0,5
12-Mar-2020 20:07:50,39.31,00:00:10,00:00:00,0,5
12-Mar-2020 20:08:00,39.41,00:00:10,00:00:00,0,5
12-Mar-2020 20:08:10,39.5,00:00:10,00:00:00,0,5
12-Mar-2020 20:08:20,39.56,00:00:10,00:00:00,0,5
12-Mar-2020 20:08:30,39.65,00:00:10,00:00:00,0,5
12-Mar-2020 20:08:40,39.59,00:00:10,00:00:00,0,5
12-Mar-2020 20:08:50,39.75,00:00:10,00:00:00,0,5
12-Mar-2020 20:09:00,39.9,00:00:10,00:00:00,0,5
12-Mar-2020 20:09:10,40.15,00:00:10,00:00:00,0,5
12-Mar-2020 20:09:20,40.29,00:00:10,00:00:00,0,5
12-Mar-2020 20:09:30,40.43,00:00:10,00:00:00,0,5
12-Mar-2020 20:09:40,40.61,00:00:10,00:00:00,0,5
12-Mar-2020 20:09:50,40.79,00:00:10,00:00:00,0,5
12-Mar-2020 20:10:00,40.91,00:00:10,00:00:00,0,5
12-Mar-2020 20:10:10,41.11,00:00:10,00:00:00,0,5
12-Mar-2020 20:10:20,41.24,00:00:10,00:00:00,0,5
12-Mar-2020 20:10:30,41.33,00:00:10,00:00:00,0,5
12-Mar-2020 20:10:40,41.41,00:00:10,00:00:00,0,5
12-Mar-2020 20:10:50,41.54,00:00:10,00:00:00,0,5
12-Mar-2020 20:11:00,41.64,00:00:10,00:00:00,0,5
12-Mar-2020 20:11:10,41.75,00:00:10,00:00:00,0,5
12-Mar-2020 20:11:20,41.91,00:00:10,00:00:00,0,5
12-Mar-2020 20:11:30,42.1,00:00:10,00:00:00,0,5
12-Mar-2020 20:11:40,42.25,00:00:10,00:00:00,0,5
12-Mar-2020 20:11:50,42.38,00:00:10,00:00:00,0,5
12-Mar-2020 20:12:00,42.5,00:00:10,00:00:00,0,5
12-Mar-2020 20:12:10,42.55,00:00:10,00:00:00,0,5
12-Mar-2020 20:12:20,42.69,00:00:10,00:00:00,0,5
12-Mar-2020 20:12:30,42.82,00:00:10,00:00:00,0,5
12-Mar-2020 20:12:40,42.91,00:00:10,00:00:00,0,5
12-Mar-2020 20:12:50,43.06,00:00:10,00:00:00,0,5
12-Mar-2020 20:13:00,43.21,00:00:10,00:00:00,0,5
12-Mar-2020 20:13:10,43.32,00:00:10,00:00:00,0,5
12-Mar-2020 20:13:20,43.43,00:00:10,00:00:00,0,5
12-Mar-2020 20:13:30,43.65,00:00:10,00:00:00,0,5
12-Mar-2020 20:13:40,43.86,00:00:10,00:00:00,0,5
12-Mar-2020 20:13:50,43.88,00:00:10,00:00:00,0,5
12-Mar-2020 20:14:00,43.97,00:00:10,00:00:00,0,5
12-Mar-2020 20:14:10,44.1,00:00:10,00:00:00,0,5
12-Mar-2020 20:14:20,44.25,00:00:10,00:00:00,0,5
12-Mar-2020 20:14:30,44.33,00:00:10,00:00:00,0,5
12-Mar-2020 20:14:40,44.48,00:00:10,00:00:00,0,5
12-Mar-2020 20:14:50,44.6,00:00:10,00:00:00,0,5
12-Mar-2020 20:15:00,44.66,00:00:10,00:00:00,0,5
12-Mar-2020 20:15:10,44.78,00:00:10,00:00:00,0,5
12-Mar-2020 20:15:20,44.94,00:00:10,00:00:00,0,5
12-Mar-2020 20:15:30,45.1,00:00:10,00:00:00,0,5
12-Mar-2020 20:15:40,45.22,00:00:10,00:00:00,0,5
12-Mar-2020 20:15:50,45.27,00:00:10,00:00:00,0,5
12-Mar-2020 20:16:00,45.36,00:00:10,00:00:00,0,5
12-Mar-2020 20:16:10,45.5,00:00:10,00:00:00,0,5
12-Mar-2020 20:16:20,45.65,00:00:10,00:00:00,0,5
12-Mar-2020 20:16:30,45.88,00:00:10,00:00:00,0,5
12-Mar-2020 20:16:40,45.95,00:00:10,00:00:00,0,5
12-Mar-2020 20:16:50,46.1,00:00:10,00:00:00,0,5
12-Mar-2020 20:17:00,46.24,00:00:10,00:00:00,0,5
12-Mar-2020 20:17:10,46.36,00:00:10,00:00:00,0,5
12-Mar-2020 20:17:20,46.53,00:00:10,00:00:00,0,5
12-Mar-2020 20:17:30,46.64,00:00:10,00:00:00,0,5
12-Mar-2020 20:17:40,46.79,00:00:10,00:00:00,0,5
12-Mar-2020 20:17:50,46.96,00:00:10,00:00:00,0,5
12-Mar-2020 20:18:00,46.99,00:00:10,00:00:00,0,5
12-Mar-2020 20:18:10,47.14,00:00:10,00:00:00,0,5
12-Mar-2020 20:18:20,47.18,00:00:10,00:00:00,0,5
12-Mar-2020 20:18:30,47.23,00:00:10,00:00:00,0,5
12-Mar-2020 20:18:40,47.33,00:00:10,00:00:00,0,5
12-Mar-2020 20:18:50,47.41,00:00:10,00:00:00,0,5
12-Mar-2020 20:19:00,47.5,00:00:10,00:00:00,0,5
12-Mar-2020 20:19:10,47.67,00:00:10,00:00:00,0,5
12-Mar-2020 20:19:20,47.74,00:00:10,00:00:00,0,5
12-Mar-2020 20:19:30,47.79,00:00:10,00:00:00,0,5
12-Mar-2020 20:19:40,47.88,00:00:10,00:00:00,0,5
12-Mar-2020 20:19:50,48.07,00:00:10,00:00:00,0,5
12-Mar-2020 20:20:00,48.14,00:00:10,00:00:00,0,5
12-Mar-2020 20:20:10,48.27,00:00:10,00:00:00,0,5
12-Mar-2020 20:20:20,48.36,00:00:10,00:00:00,0,5
12-Mar-2020 20:20:30,48.36,00:00:10,00:00:00,0,5
12-Mar-2020 20:20:40,48.45,00:00:10,00:00:00,0,5
12-Mar-2020 20:20:50,48.54,00:00:10,00:00:00,0,5
12-Mar-2020 20:21:00,48.66,00:00:10,00:00:00,0,5
12-Mar-2020 20:21:10,48.86,00:00:10,00:00:00,0,5
12-Mar-2020 20:21:20,48.99,00:00:10,00:00:00,0,5
12-Mar-2020 20:21:30,49.05,00:00:10,00:00:00,0,5
12-Mar-2020 20:21:40,49.06,00:00:10,00:00:00,0,5
12-Mar-2020 20:21:50,49.11,00:00:10,00:00:00,0,5
12-Mar-2020 20:22:00,49.27,00:00:10,00:00:00,0,5
12-Mar-2020 20:22:10,49.41,00:00:10,00:00:00,0,5
12-Mar-2020 20:22:20,49.44,00:00:10,00:00:00,0,5
12-Mar-2020 20:22:30,49.44,00:00:10,00:00:00,0,5
12-Mar-2020 20:22:40,49.6,00:00:10,00:00:00,0,5
12-Mar-2020 20:22:50,49.71,00:00:10,00:00:00,0,5
12-Mar-2020 20:23:00,49.77,00:00:10,00:00:00,0,5
12-Mar-2020 20:23:10,49.87,00:00:10,00:00:00,0,5
12-Mar-2020 20:23:20,49.98,00:00:10,00:00:00,0,5
12-Mar-2020 20:23:30,50.01,00:00:10,00:00:00,0,5
12-Mar-2020 20:23:40,50.02,00:00:10,00:00:00,0,5
12-Mar-2020 20:23:50,49.95,00:00:10,00:00:00,0,5
12-Mar-2020 20:24:00,49.88,00:00:10,00:00:00,0,5
12-Mar-2020 20:24:10,49.96,00:00:10,00:00:00,0,5
12-Mar-2020 20:24:20,50.05,00:00:10,00:00:00,0,5
12-Mar-2020 20:24:30,50.22,00:00:10,00:00:00,0,5
12-Mar-2020 20:24:40,50.35,00:00:10,00:00:00,0,5
12-Mar-2020 20:24:50,50.41,00:00:10,00:00:00,0,5
12-Mar-2020 20:25:00,50.52,00:00:10,00:00:00,0,5
12-Mar-2020 20:25:10,50.69,00:00:10,00:00:00,0,5
12-Mar-2020 20:25:20,50.76,00:00:10,00:00:00,0,5
12-Mar-2020 20:25:30,50.84,00:00:10,00:00:00,0,5
12-Mar-2020 20:25:40,50.92,00:00:10,00:00:00,0,5
12-Mar-2020 20:25:50,51.04,00:00:10,00:00:00,0,5
12-Mar-2020 20:26:00,51.12,00:00:10,00:00:00,0,5
12-Mar-2020 20:26:10,51.26,00:00:10,00:00:00,0,5
12-Mar-2020 20:26:20,51.36,00:00:10,00:00:00,0,5
12-Mar-2020 20:26:30,51.2,00:00:10,00:00:00,0,5
12-Mar-2020 20:26:40,51.18,00:00:10,00:00:00,0,5
12-Mar-2020 20:26:50,51.13,00:00:10,00:00:00,0,5
12-Mar-2020 20:27:00,51.08,00:00:10,00:00:00,0,5
12-Mar-2020 20:27:10,51.26,00:00:10,00:00:00,0,5
12-Mar-2020 20:27:20,51.4,00:00:10,00:00:00,0,5
12-Mar-2020 20:27:30,51.51,00:00:10,00:00:00,0,5
12-Mar-2020 20:27:40,51.41,00:00:10,00:00:00,0,5
12-Mar-2020 20:27:50,51.57,00:00:10,00:00:00,0,5
12-Mar-2020 20:28:00,51.67,00:00:10,00:00:00,0,5
12-Mar-2020 20:28:10,51.82,00:00:10,00:00:00,0,5
12-Mar-2020 20:28:20,51.92,00:00:10,00:00:00,0,5
12-Mar-2020 20:28:30,52.02,00:00:10,00:00:00,0,5
12-Mar-2020 20:28:40,52.08,00:00:10,00:00:00,0,5
12-Mar-2020 20:28:50,52.16,00:00:10,00:00:00,0,5
12-Mar-2020 20:29:00,52.16,00:00:10,00:00:00,0,5
12-Mar-2020 20:29:10,52.26,00:00:10,00:00:00,0,5
12-Mar-2020 20:29:20,52.39,00:00:10,00:00:00,0,5
12-Mar-2020 20:29:30,52.2,00:00:10,00:00:00,0,5
12-Mar-2020 20:29:40,52.2,00:00:10,00:00:00,0,5
12-Mar-2020 20:29:50,52.1,00:00:10,00:00:00,0,5
12-Mar-2020 20:30:00,52.31,00:00:10,00:00:00,0,5
12-Mar-2020 20:30:10,52.31,00:00:10,00:00:00,0,5
12-Mar-2020 20:30:20,52.37,00:00:10,00:00:00,0,5
12-Mar-2020 20:30:30,52.55,00:00:10,00:00:00,0,5
12-Mar-2020 20:30:40,52.56,00:00:10,00:00:00,0,5
12-Mar-2020 20:30:50,52.68,00:00:10,00:00:00,0,5
12-Mar-2020 20:31:00,52.8,00:00:10,00:00:00,0,5
12-Mar-2020 20:31:10,52.94,00:00:10,00:00:00,0,5
12-Mar-2020 20:31:20,52.98,00:00:10,00:00:00,0,5
12-Mar-2020 20:31:30,52.98,00:00:10,00:00:00,0,5
12-Mar-2020 20:31:40,53.04,00:00:10,00:00:00,0,5
12-Mar-2020 20:31:50,52.98,00:00:10,00:00:00,0,5
12-Mar-2020 20:32:00,52.97,00:00:10,00:00:00,0,5
12-Mar-2020 20:32:10,52.96,00:00:10,00:00:00,0,5
12-Mar-2020 20:32:20,52.98,00:00:10,00:00:00,0,5
12-Mar-2020 20:32:30,52.88,00:00:10,00:00:00,0,5
12-Mar-2020 20:32:40,52.86,00:00:10,00:00:00,0,5
12-Mar-2020 20:32:50,52.91,00:00:10,00:00:00,0,5
12-Mar-2020 20:33:00,53.05,00:00:10,00:00:00,0,5
12-Mar-2020 20:33:10,53.07,00:00:10,00:00:00,0,5
12-Mar-2020 20:33:20,53.08,00:00:10,00:00:00,0,5
12-Mar-2020 20:33:30,53.07,00:00:10,00:00:00,0,5
12-Mar-2020 20:33:40,53.22,00:00:10,00:00:00,0,5
12-Mar-2020 20:33:50,53.14,00:00:10,00:00:00,0,5
12-Mar-2020 20:34:00,53.18,00:00:10,00:00:00,0,5
12-Mar-2020 20:34:10,53.13,00:00:10,00:00:00,0,5
12-Mar-2020 20:34:20,52.97,00:00:10,00:00:00,0,5
12-Mar-2020 20:34:30,52.73,00:00:10,00:00:00,0,5
12-Mar-2020 20:34:40,52.34,00:00:10,00:00:00,0,5
12-Mar-2020 20:34:50,52.15,00:00:10,00:00:00,0,5
12-Mar-2020 20:35:00,52.21,00:00:10,00:00:00,0,5
12-Mar-2020 20:35:10,52.21,00:00:10,00:00:00,0,5
12-Mar-2020 20:35:20,52.35,00:00:10,00:00:00,0,5
12-Mar-2020 20:35:30,52.53,00:00:10,00:00:00,0,5
12-Mar-2020 20:35:40,52.59,00:00:10,00:00:00,0,5
12-Mar-2020 20:35:50,52.52,00:00:10,00:00:00,0,5
12-Mar-2020 20:36:00,52.44,00:00:10,00:00:00,0,5
12-Mar-2020 20:36:10,52.43,00:00:10,00:00:00,0,5
12-Mar-2020 20:36:20,52.24,00:00:10,00:00:00,0,5
12-Mar-2020 20:36:30,52.28,00:00:10,00:00:00,0,5
12-Mar-2020 20:36:40,52.26,00:00:10,00:00:00,0,5
12-Mar-2020 20:36:50,52.08,00:00:10,00:00:00,0,5
12-Mar-2020 20:37:00,51.94,00:00:10,00:00:00,0,5
12-Mar-2020 20:37:10,51.77,00:00:10,00:00:00,0,5
12-Mar-2020 20:37:20,51.93,00:00:10,00:00:00,0,5
12-Mar-2020 20:37:30,51.96,00:00:10,00:00:00,0,5
12-Mar-2020 20:37:40,52.1,00:00:10,00:00:00,0,5
12-Mar-2020 20:37:50,52.12,00:00:10,00:00:00,0,5
12-Mar-2020 20:38:00,52.02,00:00:10,00:00:00,0,5
12-Mar-2020 20:38:10,51.89,00:00:10,00:00:00,0,5
12-Mar-2020 20:38:20,51.9,00:00:10,00:00:00,0,5
12-Mar-2020 20:38:30,51.87,00:00:10,00:00:00,0,5
12-Mar-2020 20:38:40,51.87,00:00:10,00:00:00,0,5
12-Mar-2020 20:38:50,51.75,00:00:10,00:00:00,0,5
12-Mar-2020 20:39:00,51.69,00:00:10,00:00:00,0,5
12-Mar-2020 20:39:10,51.75,00:00:10,00:00:00,0,5
12-Mar-2020 20:39:20,51.9,00:00:10,00:00:00,0,5
12-Mar-2020 20:39:30,51.91,00:00:10,00:00:00,0,5
