Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:46:49,25.47,00:00:00,-24:00:00,1,1
12-Mar-2020 19:47:00,25.53,00:00:11,00:00:11,1,2
12-Mar-2020 19:47:10,25.61,00:00:10,-00:00:01,1,3
12-Mar-2020 19:47:20,25.79,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:30,25.86,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:40,25.79,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:50,25.75,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:00,25.58,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:10,24.22,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:20,21.56,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:30,18.99,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:40,17.1,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:50,15.92,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:00,14.75,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:10,14.07,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:20,13.29,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:30,12.93,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:40,12.56,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:50,12.03,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:00,11.44,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:10,10.98,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:20,10.78,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:30,10.42,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:40,10.39,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:50,10.26,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:00,10.4,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:10,10.15,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:20,10.04,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:30,10.01,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:40,10,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:50,9.76,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:00,9.81,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:10,9.52,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:20,9.36,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:30,9.2,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:40,9.13,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:50,9.07,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:00,8.94,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:10,8.96,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:20,8.86,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:30,8.73,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:40,8.59,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:50,8.48,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:00,8.3,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:10,8.13,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:20,7.93,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:30,7.69,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:40,7.51,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:50,7.37,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:00,7.09,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:10,6.94,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:20,6.69,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:30,6.49,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:40,6.25,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:50,6.08,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:00,5.93,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:10,5.72,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:20,5.52,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:30,5.35,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:40,5.11,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:50,4.96,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:00,4.82,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:10,4.63,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:20,4.46,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:30,4.24,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:40,4.08,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:50,3.94,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:00,3.77,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:10,3.62,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:20,3.45,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:30,3.26,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:40,3.11,00:00:10,00:00:00,0,3
