Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:41:32,49.34,00:00:00,-24:00:00,1,1
12-Mar-2020 19:41:42,50.17,00:00:10,00:00:10,1,2
12-Mar-2020 19:41:52,49.93,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:02,50.1,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:12,50.33,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:22,51.39,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:32,51.15,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:42,50.89,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:52,50.19,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:02,50.06,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:12,49.77,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:22,49.67,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:32,49.7,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:42,49.82,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:52,50.07,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:02,50.11,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:12,49.92,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:22,50.08,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:32,50.16,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:42,49.83,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:52,49.77,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:02,50.02,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:12,50.09,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:22,51.39,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:32,51.04,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:42,52.67,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:52,51.08,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:02,50.41,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:12,50.12,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:22,49.98,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:32,50.04,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:42,50.06,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:52,50.11,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:02,50.1,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:12,50.78,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:22,52.45,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:32,51.83,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:42,50.77,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:52,50.99,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:02,48.36,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:12,29.06,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:22,20.25,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:32,17.96,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:42,17.16,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:52,17.05,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:02,17.16,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:12,17.42,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:22,17.69,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:32,17.97,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:42,18.11,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:52,18.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:02,18.6,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:12,19.01,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:22,19.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:32,19.72,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:42,20.03,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:52,20.37,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:02,20.78,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:12,21.3,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:22,21.84,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:32,22.19,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:42,22.59,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:52,22.92,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:02,23.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:12,23.58,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:22,23.91,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:32,24.25,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:42,24.5,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:52,24.73,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:02,25.02,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:12,25.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:22,25.52,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:32,25.81,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:42,26.01,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:52,26.25,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:02,26.5,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:12,26.74,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:22,26.94,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:32,27.05,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:42,27.26,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:52,27.44,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:02,27.66,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:12,27.85,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:22,28.2,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:32,28.37,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:42,28.54,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:52,28.83,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:02,29.1,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:12,29.44,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:22,29.67,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:32,29.96,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:42,30.15,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:52,30.42,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:02,30.75,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:12,31.08,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:22,31.34,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:32,31.62,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:42,31.87,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:52,32.11,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:02,32.38,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:12,32.69,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:22,32.93,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:32,33.18,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:42,33.43,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:52,33.72,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:02,33.92,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:12,34.2,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:22,34.45,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:32,34.71,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:42,35.03,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:52,35.24,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:02,35.48,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:12,35.77,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:22,35.93,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:32,36.18,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:42,36.42,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:52,36.69,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:02,36.79,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:12,36.55,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:22,36.13,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:32,36.04,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:42,35.84,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:52,35.44,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:02,34.7,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:12,34.35,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:22,34.28,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:32,34.31,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:42,34.38,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:52,34.16,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:02,34.07,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:12,33.83,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:22,33.61,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:32,33.68,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:42,33.71,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:52,33.57,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:02,33.53,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:12,33.46,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:22,33.43,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:32,33.43,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:42,33.45,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:52,33.51,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:02,33.5,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:12,33.51,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:22,33.7,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:32,33.81,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:42,33.96,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:52,33.86,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:02,33.92,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:12,33.84,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:22,33.8,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:32,33.85,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:42,33.84,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:52,33.79,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:02,33.75,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:12,33.81,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:22,33.83,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:32,33.9,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:42,33.94,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:52,34.03,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:02,34.07,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:12,34.15,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:22,34.14,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:32,34.21,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:42,34.25,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:52,34.33,00:00:10,00:00:00,0,2
12-Mar-2020 20:09:02,34.36,00:00:10,00:00:00,0,2
12-Mar-2020 20:09:12,34.53,00:00:10,00:00:00,0,2
12-Mar-2020 20:09:22,34.58,00:00:10,00:00:00,0,2
12-Mar-2020 20:09:32,34.68,00:00:10,00:00:00,0,2
12-Mar-2020 20:09:42,34.72,00:00:10,00:00:00,0,2
12-Mar-2020 20:09:52,34.83,00:00:10,00:00:00,0,2
12-Mar-2020 20:10:02,34.94,00:00:10,00:00:00,0,2
12-Mar-2020 20:10:12,35,00:00:10,00:00:00,0,2
12-Mar-2020 20:10:22,35.15,00:00:10,00:00:00,0,2
12-Mar-2020 20:10:32,35.14,00:00:10,00:00:00,0,2
12-Mar-2020 20:10:42,35.22,00:00:10,00:00:00,0,2
12-Mar-2020 20:10:52,35.3,00:00:10,00:00:00,0,2
12-Mar-2020 20:11:02,35.44,00:00:10,00:00:00,0,2
12-Mar-2020 20:11:12,35.48,00:00:10,00:00:00,0,2
12-Mar-2020 20:11:22,35.55,00:00:10,00:00:00,0,2
12-Mar-2020 20:11:32,35.71,00:00:10,00:00:00,0,2
12-Mar-2020 20:11:42,35.82,00:00:10,00:00:00,0,2
12-Mar-2020 20:11:52,35.9,00:00:10,00:00:00,0,2
12-Mar-2020 20:12:02,35.9,00:00:10,00:00:00,0,2
12-Mar-2020 20:12:12,35.98,00:00:10,00:00:00,0,2
12-Mar-2020 20:12:22,36.13,00:00:10,00:00:00,0,2
12-Mar-2020 20:12:32,36.15,00:00:10,00:00:00,0,2
12-Mar-2020 20:12:42,36.27,00:00:10,00:00:00,0,2
12-Mar-2020 20:12:52,36.38,00:00:10,00:00:00,0,2
12-Mar-2020 20:13:02,36.57,00:00:10,00:00:00,0,2
12-Mar-2020 20:13:12,36.62,00:00:10,00:00:00,0,2
12-Mar-2020 20:13:22,36.73,00:00:10,00:00:00,0,2
12-Mar-2020 20:13:32,36.94,00:00:10,00:00:00,0,2
12-Mar-2020 20:13:42,37.09,00:00:10,00:00:00,0,2
12-Mar-2020 20:13:52,37.13,00:00:10,00:00:00,0,2
12-Mar-2020 20:14:02,37.25,00:00:10,00:00:00,0,2
12-Mar-2020 20:14:12,37.38,00:00:10,00:00:00,0,2
12-Mar-2020 20:14:22,37.5,00:00:10,00:00:00,0,2
12-Mar-2020 20:14:32,37.61,00:00:10,00:00:00,0,2
12-Mar-2020 20:14:42,37.72,00:00:10,00:00:00,0,2
12-Mar-2020 20:14:52,37.84,00:00:10,00:00:00,0,2
12-Mar-2020 20:15:02,37.91,00:00:10,00:00:00,0,2
12-Mar-2020 20:15:12,38.01,00:00:10,00:00:00,0,2
12-Mar-2020 20:15:22,38.2,00:00:10,00:00:00,0,2
12-Mar-2020 20:15:32,38.33,00:00:10,00:00:00,0,2
12-Mar-2020 20:15:42,38.43,00:00:10,00:00:00,0,2
12-Mar-2020 20:15:52,38.47,00:00:10,00:00:00,0,2
12-Mar-2020 20:16:02,38.58,00:00:10,00:00:00,0,2
12-Mar-2020 20:16:12,38.68,00:00:10,00:00:00,0,2
12-Mar-2020 20:16:22,38.79,00:00:10,00:00:00,0,2
12-Mar-2020 20:16:32,38.91,00:00:10,00:00:00,0,2
12-Mar-2020 20:16:42,39.14,00:00:10,00:00:00,0,2
12-Mar-2020 20:16:52,39.24,00:00:10,00:00:00,0,2
12-Mar-2020 20:17:02,39.34,00:00:10,00:00:00,0,2
12-Mar-2020 20:17:12,39.48,00:00:10,00:00:00,0,2
12-Mar-2020 20:17:22,39.56,00:00:10,00:00:00,0,2
12-Mar-2020 20:17:32,39.67,00:00:10,00:00:00,0,2
12-Mar-2020 20:17:42,39.73,00:00:10,00:00:00,0,2
12-Mar-2020 20:17:52,39.87,00:00:10,00:00:00,0,2
12-Mar-2020 20:18:02,40.01,00:00:10,00:00:00,0,2
12-Mar-2020 20:18:12,40.16,00:00:10,00:00:00,0,2
12-Mar-2020 20:18:22,40.33,00:00:10,00:00:00,0,2
12-Mar-2020 20:18:32,40.46,00:00:10,00:00:00,0,2
12-Mar-2020 20:18:42,40.52,00:00:10,00:00:00,0,2
12-Mar-2020 20:18:52,40.59,00:00:10,00:00:00,0,2
12-Mar-2020 20:19:02,40.63,00:00:10,00:00:00,0,2
12-Mar-2020 20:19:12,40.65,00:00:10,00:00:00,0,2
12-Mar-2020 20:19:22,40.84,00:00:10,00:00:00,0,2
12-Mar-2020 20:19:32,40.95,00:00:10,00:00:00,0,2
12-Mar-2020 20:19:42,41.14,00:00:10,00:00:00,0,2
12-Mar-2020 20:19:52,41.21,00:00:10,00:00:00,0,2
12-Mar-2020 20:20:02,41.34,00:00:10,00:00:00,0,2
12-Mar-2020 20:20:12,41.44,00:00:10,00:00:00,0,2
12-Mar-2020 20:20:22,41.52,00:00:10,00:00:00,0,2
12-Mar-2020 20:20:32,41.61,00:00:10,00:00:00,0,2
12-Mar-2020 20:20:42,41.71,00:00:10,00:00:00,0,2
12-Mar-2020 20:20:52,41.81,00:00:10,00:00:00,0,2
12-Mar-2020 20:21:02,41.89,00:00:10,00:00:00,0,2
12-Mar-2020 20:21:12,41.95,00:00:10,00:00:00,0,2
12-Mar-2020 20:21:22,42.11,00:00:10,00:00:00,0,2
12-Mar-2020 20:21:32,42.25,00:00:10,00:00:00,0,2
12-Mar-2020 20:21:42,42.33,00:00:10,00:00:00,0,2
12-Mar-2020 20:21:52,42.39,00:00:10,00:00:00,0,2
12-Mar-2020 20:22:02,42.42,00:00:10,00:00:00,0,2
12-Mar-2020 20:22:12,42.47,00:00:10,00:00:00,0,2
12-Mar-2020 20:22:22,42.43,00:00:10,00:00:00,0,2
12-Mar-2020 20:22:32,42.49,00:00:10,00:00:00,0,2
12-Mar-2020 20:22:42,42.61,00:00:10,00:00:00,0,2
12-Mar-2020 20:22:52,42.75,00:00:10,00:00:00,0,2
12-Mar-2020 20:23:02,42.76,00:00:10,00:00:00,0,2
12-Mar-2020 20:23:12,42.83,00:00:10,00:00:00,0,2
12-Mar-2020 20:23:22,42.9,00:00:10,00:00:00,0,2
12-Mar-2020 20:23:32,43.01,00:00:10,00:00:00,0,2
12-Mar-2020 20:23:42,42.99,00:00:10,00:00:00,0,2
12-Mar-2020 20:23:52,43.01,00:00:10,00:00:00,0,2
12-Mar-2020 20:24:02,42.96,00:00:10,00:00:00,0,2
12-Mar-2020 20:24:12,43.11,00:00:10,00:00:00,0,2
12-Mar-2020 20:24:22,43.31,00:00:10,00:00:00,0,2
12-Mar-2020 20:24:32,43.46,00:00:10,00:00:00,0,2
12-Mar-2020 20:24:42,43.61,00:00:10,00:00:00,0,2
12-Mar-2020 20:24:52,43.7,00:00:10,00:00:00,0,2
12-Mar-2020 20:25:02,43.79,00:00:10,00:00:00,0,2
12-Mar-2020 20:25:12,43.86,00:00:10,00:00:00,0,2
12-Mar-2020 20:25:22,43.97,00:00:10,00:00:00,0,2
12-Mar-2020 20:25:32,43.97,00:00:10,00:00:00,0,2
12-Mar-2020 20:25:42,44.06,00:00:10,00:00:00,0,2
12-Mar-2020 20:25:52,44.17,00:00:10,00:00:00,0,2
12-Mar-2020 20:26:02,44.27,00:00:10,00:00:00,0,2
12-Mar-2020 20:26:12,44.3,00:00:10,00:00:00,0,2
12-Mar-2020 20:26:22,44.36,00:00:10,00:00:00,0,2
12-Mar-2020 20:26:32,44.25,00:00:10,00:00:00,0,2
12-Mar-2020 20:26:42,44.32,00:00:10,00:00:00,0,2
12-Mar-2020 20:26:52,44.25,00:00:10,00:00:00,0,2
12-Mar-2020 20:27:02,44.26,00:00:10,00:00:00,0,2
12-Mar-2020 20:27:12,44.29,00:00:10,00:00:00,0,2
12-Mar-2020 20:27:22,44.21,00:00:10,00:00:00,0,2
12-Mar-2020 20:27:32,44.19,00:00:10,00:00:00,0,2
