Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:41:32,25.51,00:00:00,-24:00:00,1,1
12-Mar-2020 19:41:42,25.44,00:00:10,00:00:10,1,2
12-Mar-2020 19:41:52,25.26,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:02,25.18,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:12,25.12,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:22,25.14,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:32,25.21,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:42,25.32,00:00:10,00:00:00,0,2
12-Mar-2020 19:42:52,25.32,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:02,25.32,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:12,25.33,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:22,25.33,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:32,25.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:42,25.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:43:52,25.33,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:02,25.32,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:12,25.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:22,25.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:32,25.33,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:42,25.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:44:52,25.26,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:02,25.26,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:12,25.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:22,25.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:32,25.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:42,25.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:45:52,25.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:02,25.26,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:12,25.26,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:22,25.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:32,25.25,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:42,25.24,00:00:10,00:00:00,0,2
12-Mar-2020 19:46:52,25.24,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:02,25.25,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:12,25.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:22,25.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:32,25.32,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:42,25.3,00:00:10,00:00:00,0,2
12-Mar-2020 19:47:52,25.33,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:02,25.25,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:12,24.26,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:22,23.15,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:32,22.18,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:42,21.64,00:00:10,00:00:00,0,2
12-Mar-2020 19:48:52,20.9,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:02,20.27,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:12,19.7,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:22,19.18,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:32,18.93,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:42,18.61,00:00:10,00:00:00,0,2
12-Mar-2020 19:49:52,18.13,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:02,17.71,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:12,17.24,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:22,16.79,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:32,16.39,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:42,16.02,00:00:10,00:00:00,0,2
12-Mar-2020 19:50:52,15.68,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:02,15.15,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:12,14.71,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:22,14.35,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:32,14.01,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:42,13.67,00:00:10,00:00:00,0,2
12-Mar-2020 19:51:52,13.32,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:02,13.1,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:12,12.8,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:22,12.51,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:32,12.28,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:42,12.07,00:00:10,00:00:00,0,2
12-Mar-2020 19:52:52,11.8,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:02,11.55,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:12,11.31,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:22,11.09,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:32,10.94,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:42,10.83,00:00:10,00:00:00,0,2
12-Mar-2020 19:53:52,10.65,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:02,10.38,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:12,10.21,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:22,10.1,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:32,9.95,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:42,9.79,00:00:10,00:00:00,0,2
12-Mar-2020 19:54:52,9.61,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:02,9.48,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:12,9.22,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:22,8.99,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:32,8.85,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:42,8.6,00:00:10,00:00:00,0,2
12-Mar-2020 19:55:52,8.43,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:02,8.29,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:12,8.08,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:22,7.88,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:32,7.7,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:42,7.46,00:00:10,00:00:00,0,2
12-Mar-2020 19:56:52,7.3,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:02,7.11,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:12,6.9,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:22,6.7,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:32,6.5,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:42,6.33,00:00:10,00:00:00,0,2
12-Mar-2020 19:57:52,6.17,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:02,5.98,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:12,5.84,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:22,5.68,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:32,5.49,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:42,5.34,00:00:10,00:00:00,0,2
12-Mar-2020 19:58:52,5.15,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:02,5,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:12,4.8,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:22,4.64,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:32,4.5,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:42,4.35,00:00:10,00:00:00,0,2
12-Mar-2020 19:59:52,4.2,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:02,4.03,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:12,3.88,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:22,3.7,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:32,3.58,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:42,3.42,00:00:10,00:00:00,0,2
12-Mar-2020 20:00:52,3.26,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:02,3.08,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:12,2.85,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:22,2.72,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:32,2.54,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:42,2.4,00:00:10,00:00:00,0,2
12-Mar-2020 20:01:52,2.26,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:02,2.11,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:12,1.88,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:22,1.76,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:32,1.55,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:42,1.41,00:00:10,00:00:00,0,2
12-Mar-2020 20:02:52,1.29,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:02,1.12,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:12,0.95,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:22,0.83,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:32,0.67,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:42,0.49,00:00:10,00:00:00,0,2
12-Mar-2020 20:03:52,0.35,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:02,0.16,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:12,0.07,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:22,-0.04,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:32,-0.18,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:42,-0.35,00:00:10,00:00:00,0,2
12-Mar-2020 20:04:52,-0.5,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:02,-0.66,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:12,-0.83,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:22,-0.95,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:32,-1.07,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:42,-1.18,00:00:10,00:00:00,0,2
12-Mar-2020 20:05:52,-1.32,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:02,-1.45,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:12,-1.55,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:22,-1.7,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:32,-1.85,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:42,-2.03,00:00:10,00:00:00,0,2
12-Mar-2020 20:06:52,-2.18,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:02,-2.32,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:12,-2.45,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:22,-2.58,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:32,-2.68,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:42,-2.85,00:00:10,00:00:00,0,2
12-Mar-2020 20:07:52,-3.02,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:02,-3.17,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:12,-3.28,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:22,-3.41,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:32,-3.52,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:42,-3.64,00:00:10,00:00:00,0,2
12-Mar-2020 20:08:52,-3.75,00:00:10,00:00:00,0,2
12-Mar-2020 20:09:02,-3.82,00:00:10,00:00:00,0,2
