Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:43:06,49.26,00:00:00,-24:00:00,1,1
12-Mar-2020 19:43:17,49.07,00:00:11,00:00:11,1,2
12-Mar-2020 19:43:27,49.09,00:00:10,-00:00:01,1,3
12-Mar-2020 19:43:37,49.26,00:00:10,00:00:00,0,3
12-Mar-2020 19:43:47,49.46,00:00:10,00:00:00,0,3
12-Mar-2020 19:43:57,49.62,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:07,49.73,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:17,49.9,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:27,49.72,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:37,48.78,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:47,53.27,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:57,50.59,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:07,50.13,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:17,51.03,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:27,50.92,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:37,50.49,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:47,50.76,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:57,49.12,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:07,48.99,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:17,48.91,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:27,48.98,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:37,49.09,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:47,49.21,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:57,49.29,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:07,49.34,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:17,50.75,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:27,54.08,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:37,50.28,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:47,50.53,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:57,50.23,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:07,38.61,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:17,22.94,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:27,18.38,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:37,17.45,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:47,18.14,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:57,18.76,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:07,19.48,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:17,20.22,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:27,20.87,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:37,21.64,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:47,22.58,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:57,23.12,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:07,23.57,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:17,23.99,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:27,24.38,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:37,24.71,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:47,25.09,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:57,25.58,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:07,25.83,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:17,25.94,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:27,26.16,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:37,26.5,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:47,26.96,00:00:10,00:00:00,0,3
12-Mar-2020 19:51:57,27.38,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:07,27.77,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:17,28.24,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:27,28.76,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:37,29.18,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:47,29.64,00:00:10,00:00:00,0,3
12-Mar-2020 19:52:57,30.21,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:07,30.83,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:17,31.3,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:27,31.86,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:37,32.5,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:47,33,00:00:10,00:00:00,0,3
12-Mar-2020 19:53:57,33.49,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:07,34.08,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:17,34.56,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:27,35.06,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:37,35.6,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:47,36.06,00:00:10,00:00:00,0,3
12-Mar-2020 19:54:57,36.47,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:07,36.95,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:17,37.46,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:27,38.1,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:37,38.58,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:47,39.16,00:00:10,00:00:00,0,3
12-Mar-2020 19:55:57,39.66,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:07,40.17,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:17,40.72,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:27,41.19,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:37,41.63,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:47,42.16,00:00:10,00:00:00,0,3
12-Mar-2020 19:56:57,42.59,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:07,43,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:17,43.42,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:27,43.8,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:37,44.22,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:47,44.62,00:00:10,00:00:00,0,3
12-Mar-2020 19:57:57,45.13,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:07,45.59,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:17,45.99,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:27,46.38,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:37,46.73,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:47,47.16,00:00:10,00:00:00,0,3
12-Mar-2020 19:58:57,47.58,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:07,47.98,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:17,48.31,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:27,48.7,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:37,49.13,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:47,49.42,00:00:10,00:00:00,0,3
12-Mar-2020 19:59:57,49.74,00:00:10,00:00:00,0,3
12-Mar-2020 20:00:07,50.07,00:00:10,00:00:00,0,3
