Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:43:06,25.72,00:00:00,-24:00:00,1,1
12-Mar-2020 19:43:17,25.69,00:00:11,00:00:11,1,2
12-Mar-2020 19:43:27,25.59,00:00:10,-00:00:01,1,3
12-Mar-2020 19:43:37,25.52,00:00:10,00:00:00,0,3
12-Mar-2020 19:43:47,25.49,00:00:10,00:00:00,0,3
12-Mar-2020 19:43:57,25.46,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:07,25.41,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:17,25.49,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:27,25.53,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:37,25.49,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:47,25.53,00:00:10,00:00:00,0,3
12-Mar-2020 19:44:57,25.53,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:07,25.55,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:17,25.68,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:27,25.87,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:37,25.89,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:47,25.87,00:00:10,00:00:00,0,3
12-Mar-2020 19:45:57,25.84,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:07,25.77,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:17,25.73,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:27,25.72,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:37,25.66,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:47,25.63,00:00:10,00:00:00,0,3
12-Mar-2020 19:46:57,25.59,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:07,25.58,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:17,25.61,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:27,25.61,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:37,25.53,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:47,25.55,00:00:10,00:00:00,0,3
12-Mar-2020 19:47:57,25.45,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:07,24.46,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:17,22.21,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:27,20.28,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:37,18.23,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:47,16.81,00:00:10,00:00:00,0,3
12-Mar-2020 19:48:57,15.67,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:07,14.83,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:17,14.19,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:27,13.39,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:37,12.56,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:47,12.03,00:00:10,00:00:00,0,3
12-Mar-2020 19:49:57,11.65,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:07,11.31,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:17,11.03,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:27,10.77,00:00:10,00:00:00,0,3
12-Mar-2020 19:50:37,10.46,00:00:10,00:00:00,0,3
