Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:07:53,46.69,00:00:00,-24:00:00,1,1
12-Mar-2020 19:08:04,46.84,00:00:11,00:00:11,1,2
12-Mar-2020 19:08:14,47.11,00:00:10,-00:00:01,1,3
12-Mar-2020 19:08:25,47.11,00:00:11,00:00:01,1,4
12-Mar-2020 19:08:35,47.13,00:00:10,-00:00:01,1,5
12-Mar-2020 19:08:45,47.12,00:00:10,00:00:00,0,5
12-Mar-2020 19:08:55,47.54,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:05,47.83,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:15,47.84,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:25,47.83,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:35,47.98,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:45,47.85,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:55,47.57,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:05,47.66,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:15,47.73,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:25,47.92,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:35,48.29,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:45,48.45,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:55,48.42,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:05,48.38,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:15,48.43,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:25,48.39,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:35,49.05,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:45,48.59,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:55,48.76,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:05,48.97,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:15,50.22,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:25,49.01,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:35,48.65,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:45,48.65,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:55,48.63,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:05,48.69,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:15,48.65,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:25,48.75,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:35,48.67,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:45,48.65,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:55,48.45,00:00:10,00:00:00,0,5
12-Mar-2020 19:14:05,48.28,00:00:10,00:00:00,0,5
12-Mar-2020 19:14:15,49.02,00:00:10,00:00:00,0,5
