Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:07:53,26.55,00:00:00,-24:00:00,1,1
12-Mar-2020 19:08:04,26.48,00:00:11,00:00:11,1,2
12-Mar-2020 19:08:14,26.38,00:00:10,-00:00:01,1,3
12-Mar-2020 19:08:25,26.38,00:00:11,00:00:01,1,4
12-Mar-2020 19:08:35,26.34,00:00:10,-00:00:01,1,5
12-Mar-2020 19:08:45,26.31,00:00:10,00:00:00,0,5
12-Mar-2020 19:08:55,26.25,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:05,26.02,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:15,25.91,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:25,25.84,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:35,25.79,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:45,25.77,00:00:10,00:00:00,0,5
12-Mar-2020 19:09:55,25.76,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:05,25.74,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:15,25.72,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:25,25.7,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:35,25.7,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:45,25.67,00:00:10,00:00:00,0,5
12-Mar-2020 19:10:55,25.64,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:05,25.64,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:15,25.63,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:25,25.6,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:35,25.6,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:45,25.62,00:00:10,00:00:00,0,5
12-Mar-2020 19:11:55,25.59,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:05,25.56,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:15,25.56,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:25,25.53,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:35,25.53,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:45,25.53,00:00:10,00:00:00,0,5
12-Mar-2020 19:12:55,25.49,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:05,25.47,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:15,25.47,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:25,25.45,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:35,25.45,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:45,25.4,00:00:10,00:00:00,0,5
12-Mar-2020 19:13:55,25.39,00:00:10,00:00:00,0,5
