Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:43:34,49.68,00:00:00,-24:00:00,1,1
12-Mar-2020 19:43:45,49.41,00:00:11,00:00:11,1,2
12-Mar-2020 19:43:55,49,00:00:10,-00:00:01,1,3
12-Mar-2020 19:44:06,49.16,00:00:11,00:00:01,1,4
12-Mar-2020 19:44:16,49.2,00:00:10,-00:00:01,1,5
12-Mar-2020 19:44:26,49.3,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:36,48.29,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:46,52.55,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:56,49.78,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:06,49.54,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:16,49.34,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:26,49.68,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:36,50.95,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:46,51.44,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:56,50.01,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:06,49.44,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:16,49.17,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:26,49.16,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:36,49.13,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:46,49.17,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:56,49.2,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:06,49.27,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:16,50.3,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:26,53.43,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:36,50.07,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:46,50.56,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:56,49.57,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:06,40.99,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:16,24.24,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:26,19.14,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:36,17.86,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:46,17.7,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:56,17.9,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:06,18.17,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:16,18.51,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:26,18.84,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:36,19.15,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:46,19.39,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:56,19.75,00:00:10,00:00:00,0,5
