Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:43:24,25.49,00:00:00,-24:00:00,1,1
12-Mar-2020 19:43:34,25.54,00:00:10,00:00:10,1,2
12-Mar-2020 19:43:45,25.54,00:00:11,00:00:01,1,3
12-Mar-2020 19:43:55,25.52,00:00:10,-00:00:01,1,4
12-Mar-2020 19:44:06,25.49,00:00:11,00:00:01,1,5
12-Mar-2020 19:44:16,25.55,00:00:10,-00:00:01,1,6
12-Mar-2020 19:44:26,25.54,00:00:10,00:00:00,0,6
12-Mar-2020 19:44:36,25.51,00:00:10,00:00:00,0,6
12-Mar-2020 19:44:46,25.52,00:00:10,00:00:00,0,6
12-Mar-2020 19:44:56,25.52,00:00:10,00:00:00,0,6
12-Mar-2020 19:45:06,25.54,00:00:10,00:00:00,0,6
12-Mar-2020 19:45:16,25.57,00:00:10,00:00:00,0,6
12-Mar-2020 19:45:26,25.54,00:00:10,00:00:00,0,6
12-Mar-2020 19:45:36,25.6,00:00:10,00:00:00,0,6
12-Mar-2020 19:45:46,25.58,00:00:10,00:00:00,0,6
12-Mar-2020 19:45:56,25.55,00:00:10,00:00:00,0,6
12-Mar-2020 19:46:06,25.52,00:00:10,00:00:00,0,6
12-Mar-2020 19:46:16,25.52,00:00:10,00:00:00,0,6
12-Mar-2020 19:46:26,25.51,00:00:10,00:00:00,0,6
12-Mar-2020 19:46:36,25.46,00:00:10,00:00:00,0,6
12-Mar-2020 19:46:46,25.46,00:00:10,00:00:00,0,6
12-Mar-2020 19:46:56,25.48,00:00:10,00:00:00,0,6
12-Mar-2020 19:47:06,25.42,00:00:10,00:00:00,0,6
12-Mar-2020 19:47:16,25.49,00:00:10,00:00:00,0,6
12-Mar-2020 19:47:26,25.45,00:00:10,00:00:00,0,6
12-Mar-2020 19:47:36,25.44,00:00:10,00:00:00,0,6
12-Mar-2020 19:47:46,25.41,00:00:10,00:00:00,0,6
12-Mar-2020 19:47:56,25.3,00:00:10,00:00:00,0,6
12-Mar-2020 19:48:06,24.57,00:00:10,00:00:00,0,6
12-Mar-2020 19:48:16,22.48,00:00:10,00:00:00,0,6
12-Mar-2020 19:48:26,20.84,00:00:10,00:00:00,0,6
12-Mar-2020 19:48:36,19.67,00:00:10,00:00:00,0,6
12-Mar-2020 19:48:46,18.6,00:00:10,00:00:00,0,6
12-Mar-2020 19:48:56,18.05,00:00:10,00:00:00,0,6
12-Mar-2020 19:49:06,17.39,00:00:10,00:00:00,0,6
12-Mar-2020 19:49:16,16.83,00:00:10,00:00:00,0,6
12-Mar-2020 19:49:26,16.43,00:00:10,00:00:00,0,6
12-Mar-2020 19:49:36,16.15,00:00:10,00:00:00,0,6
12-Mar-2020 19:49:46,15.83,00:00:10,00:00:00,0,6
12-Mar-2020 19:49:56,15.32,00:00:10,00:00:00,0,6
12-Mar-2020 19:50:06,14.83,00:00:10,00:00:00,0,6
12-Mar-2020 19:50:16,14.35,00:00:10,00:00:00,0,6
12-Mar-2020 19:50:26,13.97,00:00:10,00:00:00,0,6
12-Mar-2020 19:50:36,13.55,00:00:10,00:00:00,0,6
12-Mar-2020 19:50:46,13.31,00:00:10,00:00:00,0,6
12-Mar-2020 19:50:56,12.79,00:00:10,00:00:00,0,6
12-Mar-2020 19:51:06,12.34,00:00:10,00:00:00,0,6
12-Mar-2020 19:51:16,11.86,00:00:10,00:00:00,0,6
12-Mar-2020 19:51:26,11.58,00:00:10,00:00:00,0,6
12-Mar-2020 19:51:36,11.17,00:00:10,00:00:00,0,6
12-Mar-2020 19:51:46,10.77,00:00:10,00:00:00,0,6
12-Mar-2020 19:51:56,10.41,00:00:10,00:00:00,0,6
12-Mar-2020 19:52:06,10.05,00:00:10,00:00:00,0,6
12-Mar-2020 19:52:16,9.7,00:00:10,00:00:00,0,6
12-Mar-2020 19:52:26,9.41,00:00:10,00:00:00,0,6
12-Mar-2020 19:52:36,9.13,00:00:10,00:00:00,0,6
12-Mar-2020 19:52:46,8.82,00:00:10,00:00:00,0,6
12-Mar-2020 19:52:56,8.55,00:00:10,00:00:00,0,6
12-Mar-2020 19:53:06,8.23,00:00:10,00:00:00,0,6
12-Mar-2020 19:53:16,7.97,00:00:10,00:00:00,0,6
12-Mar-2020 19:53:26,7.75,00:00:10,00:00:00,0,6
12-Mar-2020 19:53:36,7.45,00:00:10,00:00:00,0,6
12-Mar-2020 19:53:46,7.15,00:00:10,00:00:00,0,6
12-Mar-2020 19:53:56,6.93,00:00:10,00:00:00,0,6
12-Mar-2020 19:54:06,6.72,00:00:10,00:00:00,0,6
12-Mar-2020 19:54:16,6.49,00:00:10,00:00:00,0,6
12-Mar-2020 19:54:26,6.35,00:00:10,00:00:00,0,6
12-Mar-2020 19:54:36,6.14,00:00:10,00:00:00,0,6
12-Mar-2020 19:54:46,5.94,00:00:10,00:00:00,0,6
12-Mar-2020 19:54:56,5.76,00:00:10,00:00:00,0,6
12-Mar-2020 19:55:06,5.51,00:00:10,00:00:00,0,6
12-Mar-2020 19:55:16,5.3,00:00:10,00:00:00,0,6
12-Mar-2020 19:55:26,5.03,00:00:10,00:00:00,0,6
12-Mar-2020 19:55:36,4.9,00:00:10,00:00:00,0,6
12-Mar-2020 19:55:46,4.67,00:00:10,00:00:00,0,6
12-Mar-2020 19:55:56,4.45,00:00:10,00:00:00,0,6
12-Mar-2020 19:56:06,4.21,00:00:10,00:00:00,0,6
12-Mar-2020 19:56:16,4,00:00:10,00:00:00,0,6
12-Mar-2020 19:56:26,3.78,00:00:10,00:00:00,0,6
12-Mar-2020 19:56:36,3.64,00:00:10,00:00:00,0,6
12-Mar-2020 19:56:46,3.46,00:00:10,00:00:00,0,6
12-Mar-2020 19:56:56,3.22,00:00:10,00:00:00,0,6
12-Mar-2020 19:57:06,3.02,00:00:10,00:00:00,0,6
12-Mar-2020 19:57:16,2.88,00:00:10,00:00:00,0,6
12-Mar-2020 19:57:26,2.75,00:00:10,00:00:00,0,6
12-Mar-2020 19:57:36,2.58,00:00:10,00:00:00,0,6
12-Mar-2020 19:57:46,2.4,00:00:10,00:00:00,0,6
12-Mar-2020 19:57:56,2.2,00:00:10,00:00:00,0,6
12-Mar-2020 19:58:06,2.1,00:00:10,00:00:00,0,6
12-Mar-2020 19:58:16,1.93,00:00:10,00:00:00,0,6
12-Mar-2020 19:58:26,1.78,00:00:10,00:00:00,0,6
12-Mar-2020 19:58:36,1.63,00:00:10,00:00:00,0,6
12-Mar-2020 19:58:46,1.54,00:00:10,00:00:00,0,6
12-Mar-2020 19:58:56,1.37,00:00:10,00:00:00,0,6
12-Mar-2020 19:59:06,1.25,00:00:10,00:00:00,0,6
12-Mar-2020 19:59:16,1.09,00:00:10,00:00:00,0,6
12-Mar-2020 19:59:26,0.95,00:00:10,00:00:00,0,6
12-Mar-2020 19:59:36,0.88,00:00:10,00:00:00,0,6
12-Mar-2020 19:59:46,0.75,00:00:10,00:00:00,0,6
12-Mar-2020 19:59:56,0.63,00:00:10,00:00:00,0,6
12-Mar-2020 20:00:06,0.49,00:00:10,00:00:00,0,6
12-Mar-2020 20:00:16,0.35,00:00:10,00:00:00,0,6
12-Mar-2020 20:00:26,0.19,00:00:10,00:00:00,0,6
12-Mar-2020 20:00:36,0.06,00:00:10,00:00:00,0,6
12-Mar-2020 20:00:46,-0.08,00:00:10,00:00:00,0,6
12-Mar-2020 20:00:56,-0.23,00:00:10,00:00:00,0,6
12-Mar-2020 20:01:06,-0.5,00:00:10,00:00:00,0,6
12-Mar-2020 20:01:16,-0.77,00:00:10,00:00:00,0,6
12-Mar-2020 20:01:26,-0.82,00:00:10,00:00:00,0,6
12-Mar-2020 20:01:36,-0.85,00:00:10,00:00:00,0,6
12-Mar-2020 20:01:46,-0.9,00:00:10,00:00:00,0,6
12-Mar-2020 20:01:56,-1.1,00:00:10,00:00:00,0,6
12-Mar-2020 20:02:06,-1.23,00:00:10,00:00:00,0,6
12-Mar-2020 20:02:16,-1.37,00:00:10,00:00:00,0,6
12-Mar-2020 20:02:26,-1.48,00:00:10,00:00:00,0,6
12-Mar-2020 20:02:36,-1.68,00:00:10,00:00:00,0,6
12-Mar-2020 20:02:46,-1.89,00:00:10,00:00:00,0,6
