Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:41:59,49.15,00:00:00,-24:00:00,1,1
12-Mar-2020 19:42:09,49.12,00:00:10,00:00:10,1,2
12-Mar-2020 19:42:20,49.18,00:00:11,00:00:01,1,3
12-Mar-2020 19:42:36,49.77,00:00:16,00:00:05,1,4
12-Mar-2020 19:42:46,49.23,00:00:10,-00:00:06,1,5
12-Mar-2020 19:42:56,48.88,00:00:10,00:00:00,0,5
12-Mar-2020 19:43:06,48.92,00:00:10,00:00:00,0,5
12-Mar-2020 19:43:16,48.8,00:00:10,00:00:00,0,5
12-Mar-2020 19:43:26,48.89,00:00:10,00:00:00,0,5
12-Mar-2020 19:43:36,49.09,00:00:10,00:00:00,0,5
12-Mar-2020 19:43:46,49.4,00:00:10,00:00:00,0,5
12-Mar-2020 19:43:56,49.77,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:06,49.52,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:16,49.54,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:26,49.62,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:36,49.71,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:46,49.32,00:00:10,00:00:00,0,5
12-Mar-2020 19:44:56,49.5,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:06,49.71,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:16,50.48,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:26,51.02,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:36,51.55,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:46,51.65,00:00:10,00:00:00,0,5
12-Mar-2020 19:45:56,50.02,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:06,49.87,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:16,49.71,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:26,49.67,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:36,49.73,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:46,49.8,00:00:10,00:00:00,0,5
12-Mar-2020 19:46:56,49.82,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:06,49.85,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:16,52.18,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:26,55.47,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:36,50.69,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:46,50.83,00:00:10,00:00:00,0,5
12-Mar-2020 19:47:56,50.56,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:06,38.51,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:16,22.17,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:26,17.73,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:36,17.13,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:46,17.8,00:00:10,00:00:00,0,5
12-Mar-2020 19:48:56,18.54,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:06,19.18,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:16,19.81,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:26,20.37,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:36,21.11,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:46,21.88,00:00:10,00:00:00,0,5
12-Mar-2020 19:49:56,22.36,00:00:10,00:00:00,0,5
12-Mar-2020 19:50:06,22.86,00:00:10,00:00:00,0,5
12-Mar-2020 19:50:16,23.17,00:00:10,00:00:00,0,5
12-Mar-2020 19:50:26,23.63,00:00:10,00:00:00,0,5
12-Mar-2020 19:50:36,24,00:00:10,00:00:00,0,5
12-Mar-2020 19:50:46,24.24,00:00:10,00:00:00,0,5
12-Mar-2020 19:50:56,24.67,00:00:10,00:00:00,0,5
