Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:16:58,49.4,00:00:00,-24:00:00,1,1
13-Mar-2020 20:58:28,53.36,25:41:30,25:41:30,1,2
13-Mar-2020 20:59:29,53.18,00:01:01,-25:40:29,1,3
13-Mar-2020 21:40:42,58.15,00:41:13,00:40:12,1,4
13-Mar-2020 21:50:42,59.19,00:10:00,-00:31:13,1,5
13-Mar-2020 22:00:42,59.39,00:10:00,00:00:00,0,5
13-Mar-2020 22:10:42,59.26,00:10:00,00:00:00,0,5
13-Mar-2020 22:20:42,59.05,00:10:00,00:00:00,0,5
13-Mar-2020 22:30:42,58.82,00:10:00,00:00:00,0,5
13-Mar-2020 22:40:42,58.57,00:10:00,00:00:00,0,5
13-Mar-2020 22:50:42,58.55,00:10:00,00:00:00,0,5
13-Mar-2020 23:00:42,58.46,00:10:00,00:00:00,0,5
13-Mar-2020 23:10:42,58.44,00:10:00,00:00:00,0,5
13-Mar-2020 23:20:42,58.32,00:10:00,00:00:00,0,5
13-Mar-2020 23:30:42,58.21,00:10:00,00:00:00,0,5
13-Mar-2020 23:40:42,58.21,00:10:00,00:00:00,0,5
13-Mar-2020 23:50:42,58.02,00:10:00,00:00:00,0,5
14-Mar-2020 00:00:42,57.91,00:10:00,00:00:00,0,5
14-Mar-2020 00:10:42,57.76,00:10:00,00:00:00,0,5
14-Mar-2020 00:20:42,57.65,00:10:00,00:00:00,0,5
14-Mar-2020 00:30:42,57.39,00:10:00,00:00:00,0,5
14-Mar-2020 00:40:42,57.29,00:10:00,00:00:00,0,5
14-Mar-2020 00:50:42,57.18,00:10:00,00:00:00,0,5
14-Mar-2020 01:00:42,57.09,00:10:00,00:00:00,0,5
14-Mar-2020 01:10:42,57.03,00:10:00,00:00:00,0,5
14-Mar-2020 01:20:42,56.87,00:10:00,00:00:00,0,5
14-Mar-2020 01:30:42,56.81,00:10:00,00:00:00,0,5
14-Mar-2020 01:40:42,56.65,00:10:00,00:00:00,0,5
14-Mar-2020 01:50:42,56.46,00:10:00,00:00:00,0,5
14-Mar-2020 02:00:42,56.46,00:10:00,00:00:00,0,5
14-Mar-2020 02:10:42,56.5,00:10:00,00:00:00,0,5
14-Mar-2020 02:20:42,56.39,00:10:00,00:00:00,0,5
14-Mar-2020 02:30:42,56.3,00:10:00,00:00:00,0,5
14-Mar-2020 02:40:42,56.22,00:10:00,00:00:00,0,5
14-Mar-2020 02:50:42,56.09,00:10:00,00:00:00,0,5
14-Mar-2020 03:00:42,56.06,00:10:00,00:00:00,0,5
14-Mar-2020 03:10:42,55.95,00:10:00,00:00:00,0,5
14-Mar-2020 03:20:42,55.87,00:10:00,00:00:00,0,5
14-Mar-2020 03:30:42,55.74,00:10:00,00:00:00,0,5
14-Mar-2020 03:40:42,55.57,00:10:00,00:00:00,0,5
14-Mar-2020 03:50:42,55.49,00:10:00,00:00:00,0,5
14-Mar-2020 04:00:42,55.43,00:10:00,00:00:00,0,5
14-Mar-2020 04:10:42,55.36,00:10:00,00:00:00,0,5
14-Mar-2020 04:20:42,55.61,00:10:00,00:00:00,0,5
14-Mar-2020 04:30:42,55.75,00:10:00,00:00:00,0,5
14-Mar-2020 04:40:42,55.63,00:10:00,00:00:00,0,5
14-Mar-2020 04:50:42,55.55,00:10:00,00:00:00,0,5
14-Mar-2020 05:00:42,55.57,00:10:00,00:00:00,0,5
14-Mar-2020 05:10:42,55.42,00:10:00,00:00:00,0,5
14-Mar-2020 05:20:42,55.3,00:10:00,00:00:00,0,5
14-Mar-2020 05:30:42,55.21,00:10:00,00:00:00,0,5
14-Mar-2020 05:40:42,55.08,00:10:00,00:00:00,0,5
14-Mar-2020 05:50:42,55.05,00:10:00,00:00:00,0,5
14-Mar-2020 06:00:42,55.04,00:10:00,00:00:00,0,5
14-Mar-2020 06:10:42,55.1,00:10:00,00:00:00,0,5
14-Mar-2020 06:20:42,54.96,00:10:00,00:00:00,0,5
14-Mar-2020 06:30:42,54.99,00:10:00,00:00:00,0,5
14-Mar-2020 06:40:42,54.9,00:10:00,00:00:00,0,5
14-Mar-2020 06:50:42,54.79,00:10:00,00:00:00,0,5
14-Mar-2020 07:00:42,55.27,00:10:00,00:00:00,0,5
14-Mar-2020 07:10:42,55.56,00:10:00,00:00:00,0,5
14-Mar-2020 07:20:42,57,00:10:00,00:00:00,0,5
14-Mar-2020 07:30:42,55.95,00:10:00,00:00:00,0,5
14-Mar-2020 07:40:42,54.99,00:10:00,00:00:00,0,5
14-Mar-2020 07:50:42,49.1,00:10:00,00:00:00,0,5
14-Mar-2020 08:00:42,48.73,00:10:00,00:00:00,0,5
14-Mar-2020 08:10:42,48.31,00:10:00,00:00:00,0,5
14-Mar-2020 08:20:42,48.26,00:10:00,00:00:00,0,5
14-Mar-2020 08:30:42,49.01,00:10:00,00:00:00,0,5
14-Mar-2020 08:40:42,49.37,00:10:00,00:00:00,0,5
14-Mar-2020 08:50:42,50.15,00:10:00,00:00:00,0,5
14-Mar-2020 09:00:42,50.21,00:10:00,00:00:00,0,5
14-Mar-2020 09:10:42,50.05,00:10:00,00:00:00,0,5
14-Mar-2020 09:20:42,50.26,00:10:00,00:00:00,0,5
14-Mar-2020 09:30:42,49.79,00:10:00,00:00:00,0,5
14-Mar-2020 09:40:42,50.15,00:10:00,00:00:00,0,5
14-Mar-2020 09:50:42,50.51,00:10:00,00:00:00,0,5
14-Mar-2020 10:00:42,50.7,00:10:00,00:00:00,0,5
14-Mar-2020 10:10:42,51.04,00:10:00,00:00:00,0,5
14-Mar-2020 10:20:42,51.39,00:10:00,00:00:00,0,5
14-Mar-2020 10:30:42,51.65,00:10:00,00:00:00,0,5
14-Mar-2020 10:40:42,52.02,00:10:00,00:00:00,0,5
14-Mar-2020 10:50:42,52.23,00:10:00,00:00:00,0,5
14-Mar-2020 11:00:42,53.33,00:10:00,00:00:00,0,5
14-Mar-2020 11:10:42,52.59,00:10:00,00:00:00,0,5
14-Mar-2020 11:20:42,52.44,00:10:00,00:00:00,0,5
14-Mar-2020 11:30:42,52.81,00:10:00,00:00:00,0,5
14-Mar-2020 11:40:42,52.96,00:10:00,00:00:00,0,5
14-Mar-2020 11:50:42,53.03,00:10:00,00:00:00,0,5
14-Mar-2020 12:00:42,52.21,00:10:00,00:00:00,0,5
14-Mar-2020 12:10:42,51.31,00:10:00,00:00:00,0,5
14-Mar-2020 12:20:42,51.13,00:10:00,00:00:00,0,5
14-Mar-2020 12:30:42,51.39,00:10:00,00:00:00,0,5
14-Mar-2020 12:40:42,51.56,00:10:00,00:00:00,0,5
14-Mar-2020 12:50:42,51.61,00:10:00,00:00:00,0,5
14-Mar-2020 13:00:42,51.67,00:10:00,00:00:00,0,5
14-Mar-2020 13:10:42,51.68,00:10:00,00:00:00,0,5
14-Mar-2020 13:20:42,51.52,00:10:00,00:00:00,0,5
14-Mar-2020 13:30:42,51.71,00:10:00,00:00:00,0,5
14-Mar-2020 13:40:42,51.64,00:10:00,00:00:00,0,5
14-Mar-2020 13:50:42,51.46,00:10:00,00:00:00,0,5
14-Mar-2020 14:00:42,51.46,00:10:00,00:00:00,0,5
14-Mar-2020 14:10:42,51.47,00:10:00,00:00:00,0,5
14-Mar-2020 14:20:42,51.57,00:10:00,00:00:00,0,5
14-Mar-2020 14:30:42,51.63,00:10:00,00:00:00,0,5
14-Mar-2020 14:40:42,51.52,00:10:00,00:00:00,0,5
14-Mar-2020 14:50:42,51.39,00:10:00,00:00:00,0,5
14-Mar-2020 15:00:42,51.24,00:10:00,00:00:00,0,5
14-Mar-2020 15:10:42,51.09,00:10:00,00:00:00,0,5
14-Mar-2020 15:20:42,51.04,00:10:00,00:00:00,0,5
14-Mar-2020 15:30:42,51.08,00:10:00,00:00:00,0,5
14-Mar-2020 15:40:42,51.08,00:10:00,00:00:00,0,5
14-Mar-2020 15:50:42,51.02,00:10:00,00:00:00,0,5
14-Mar-2020 16:00:42,51.23,00:10:00,00:00:00,0,5
14-Mar-2020 16:10:42,51.38,00:10:00,00:00:00,0,5
14-Mar-2020 16:20:42,51.12,00:10:00,00:00:00,0,5
14-Mar-2020 16:30:42,50.95,00:10:00,00:00:00,0,5
14-Mar-2020 16:40:42,51.34,00:10:00,00:00:00,0,5
14-Mar-2020 16:50:42,51.46,00:10:00,00:00:00,0,5
14-Mar-2020 17:00:42,51.39,00:10:00,00:00:00,0,5
14-Mar-2020 17:10:42,51.3,00:10:00,00:00:00,0,5
14-Mar-2020 17:20:42,51.23,00:10:00,00:00:00,0,5
14-Mar-2020 17:30:42,51.19,00:10:00,00:00:00,0,5
14-Mar-2020 17:40:42,51.14,00:10:00,00:00:00,0,5
14-Mar-2020 17:50:42,51.18,00:10:00,00:00:00,0,5
14-Mar-2020 18:00:42,51.31,00:10:00,00:00:00,0,5
14-Mar-2020 18:10:42,50.9,00:10:00,00:00:00,0,5
14-Mar-2020 18:20:42,50.8,00:10:00,00:00:00,0,5
14-Mar-2020 18:30:42,52.38,00:10:00,00:00:00,0,5
14-Mar-2020 18:40:42,53.31,00:10:00,00:00:00,0,5
14-Mar-2020 18:50:42,52.69,00:10:00,00:00:00,0,5
14-Mar-2020 19:00:42,52.75,00:10:00,00:00:00,0,5
14-Mar-2020 19:10:42,52.6,00:10:00,00:00:00,0,5
14-Mar-2020 19:20:42,52.21,00:10:00,00:00:00,0,5
14-Mar-2020 19:30:42,52.16,00:10:00,00:00:00,0,5
14-Mar-2020 19:40:42,52.04,00:10:00,00:00:00,0,5
14-Mar-2020 19:50:42,52.03,00:10:00,00:00:00,0,5
14-Mar-2020 20:00:42,51.92,00:10:00,00:00:00,0,5
14-Mar-2020 20:10:42,51.85,00:10:00,00:00:00,0,5
14-Mar-2020 20:20:42,51.89,00:10:00,00:00:00,0,5
14-Mar-2020 20:30:42,51.94,00:10:00,00:00:00,0,5
14-Mar-2020 20:40:42,51.95,00:10:00,00:00:00,0,5
14-Mar-2020 20:50:42,51.85,00:10:00,00:00:00,0,5
14-Mar-2020 21:00:42,51.73,00:10:00,00:00:00,0,5
14-Mar-2020 21:10:42,51.65,00:10:00,00:00:00,0,5
14-Mar-2020 21:20:42,51.54,00:10:00,00:00:00,0,5
14-Mar-2020 21:30:42,53.56,00:10:00,00:00:00,0,5
14-Mar-2020 21:40:42,52.83,00:10:00,00:00:00,0,5
14-Mar-2020 21:50:42,52.85,00:10:00,00:00:00,0,5
14-Mar-2020 22:00:42,53.13,00:10:00,00:00:00,0,5
14-Mar-2020 22:10:42,52.13,00:10:00,00:00:00,0,5
14-Mar-2020 22:20:42,50.52,00:10:00,00:00:00,0,5
14-Mar-2020 22:30:42,49.77,00:10:00,00:00:00,0,5
14-Mar-2020 22:40:42,49.85,00:10:00,00:00:00,0,5
14-Mar-2020 22:50:42,49.9,00:10:00,00:00:00,0,5
14-Mar-2020 23:00:42,49.93,00:10:00,00:00:00,0,5
14-Mar-2020 23:10:42,49.9,00:10:00,00:00:00,0,5
14-Mar-2020 23:20:42,49.88,00:10:00,00:00:00,0,5
14-Mar-2020 23:30:42,49.8,00:10:00,00:00:00,0,5
14-Mar-2020 23:40:42,49.65,00:10:00,00:00:00,0,5
14-Mar-2020 23:50:42,49.47,00:10:00,00:00:00,0,5
15-Mar-2020 00:00:42,49.38,00:10:00,00:00:00,0,5
15-Mar-2020 00:10:42,49.25,00:10:00,00:00:00,0,5
15-Mar-2020 00:20:42,49.28,00:10:00,00:00:00,0,5
15-Mar-2020 00:30:42,49.3,00:10:00,00:00:00,0,5
15-Mar-2020 00:40:42,49.4,00:10:00,00:00:00,0,5
15-Mar-2020 00:50:42,49.46,00:10:00,00:00:00,0,5
15-Mar-2020 01:00:42,49.46,00:10:00,00:00:00,0,5
15-Mar-2020 01:10:42,49.43,00:10:00,00:00:00,0,5
15-Mar-2020 01:20:42,49.24,00:10:00,00:00:00,0,5
15-Mar-2020 01:30:42,49.11,00:10:00,00:00:00,0,5
15-Mar-2020 01:40:42,49,00:10:00,00:00:00,0,5
15-Mar-2020 01:50:42,48.88,00:10:00,00:00:00,0,5
15-Mar-2020 02:00:42,48.69,00:10:00,00:00:00,0,5
15-Mar-2020 02:10:42,48.72,00:10:00,00:00:00,0,5
15-Mar-2020 02:20:42,48.6,00:10:00,00:00:00,0,5
15-Mar-2020 02:30:42,48.28,00:10:00,00:00:00,0,5
15-Mar-2020 02:40:42,48.11,00:10:00,00:00:00,0,5
15-Mar-2020 02:50:42,48,00:10:00,00:00:00,0,5
15-Mar-2020 03:00:42,47.85,00:10:00,00:00:00,0,5
15-Mar-2020 03:10:42,47.79,00:10:00,00:00:00,0,5
15-Mar-2020 03:20:42,47.9,00:10:00,00:00:00,0,5
15-Mar-2020 03:30:42,47.84,00:10:00,00:00:00,0,5
15-Mar-2020 03:40:42,47.72,00:10:00,00:00:00,0,5
15-Mar-2020 03:50:42,47.76,00:10:00,00:00:00,0,5
15-Mar-2020 04:00:42,47.74,00:10:00,00:00:00,0,5
15-Mar-2020 04:10:42,47.76,00:10:00,00:00:00,0,5
15-Mar-2020 04:20:42,47.7,00:10:00,00:00:00,0,5
15-Mar-2020 04:30:42,47.7,00:10:00,00:00:00,0,5
15-Mar-2020 04:40:42,47.62,00:10:00,00:00:00,0,5
15-Mar-2020 04:50:42,47.58,00:10:00,00:00:00,0,5
15-Mar-2020 05:00:42,47.54,00:10:00,00:00:00,0,5
15-Mar-2020 05:10:42,47.44,00:10:00,00:00:00,0,5
15-Mar-2020 05:20:42,47.24,00:10:00,00:00:00,0,5
15-Mar-2020 05:30:42,47.05,00:10:00,00:00:00,0,5
15-Mar-2020 05:40:42,46.81,00:10:00,00:00:00,0,5
15-Mar-2020 05:50:42,46.65,00:10:00,00:00:00,0,5
15-Mar-2020 06:00:42,46.6,00:10:00,00:00:00,0,5
15-Mar-2020 06:10:42,46.55,00:10:00,00:00:00,0,5
15-Mar-2020 06:20:42,46.46,00:10:00,00:00:00,0,5
15-Mar-2020 06:30:42,46.37,00:10:00,00:00:00,0,5
15-Mar-2020 06:40:42,46.4,00:10:00,00:00:00,0,5
15-Mar-2020 06:50:42,46.49,00:10:00,00:00:00,0,5
15-Mar-2020 07:00:42,46.55,00:10:00,00:00:00,0,5
15-Mar-2020 07:10:42,48.54,00:10:00,00:00:00,0,5
15-Mar-2020 07:20:42,49.74,00:10:00,00:00:00,0,5
15-Mar-2020 07:30:42,50.33,00:10:00,00:00:00,0,5
15-Mar-2020 07:40:42,47.72,00:10:00,00:00:00,0,5
15-Mar-2020 07:50:42,42.15,00:10:00,00:00:00,0,5
15-Mar-2020 08:00:42,39.74,00:10:00,00:00:00,0,5
15-Mar-2020 08:10:42,39.39,00:10:00,00:00:00,0,5
15-Mar-2020 08:20:42,40.15,00:10:00,00:00:00,0,5
