Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:16:58,25.72,00:00:00,-24:00:00,1,1
13-Mar-2020 20:58:28,25.36,25:41:30,25:41:30,1,2
13-Mar-2020 20:59:29,25.29,00:01:01,-25:40:29,1,3
13-Mar-2020 21:40:42,23.42,00:41:13,00:40:12,1,4
13-Mar-2020 21:50:42,23.32,00:10:00,-00:31:13,1,5
13-Mar-2020 22:00:42,23.25,00:10:00,00:00:00,0,5
13-Mar-2020 22:10:42,23.21,00:10:00,00:00:00,0,5
13-Mar-2020 22:20:42,23.18,00:10:00,00:00:00,0,5
13-Mar-2020 22:30:42,23.14,00:10:00,00:00:00,0,5
13-Mar-2020 22:40:42,23.12,00:10:00,00:00:00,0,5
13-Mar-2020 22:50:42,23.14,00:10:00,00:00:00,0,5
13-Mar-2020 23:00:42,23.12,00:10:00,00:00:00,0,5
13-Mar-2020 23:10:42,23.14,00:10:00,00:00:00,0,5
13-Mar-2020 23:20:42,23.15,00:10:00,00:00:00,0,5
13-Mar-2020 23:30:42,23.12,00:10:00,00:00:00,0,5
13-Mar-2020 23:40:42,23.12,00:10:00,00:00:00,0,5
13-Mar-2020 23:50:42,23.11,00:10:00,00:00:00,0,5
14-Mar-2020 00:00:42,23.1,00:10:00,00:00:00,0,5
14-Mar-2020 00:10:42,23.05,00:10:00,00:00:00,0,5
14-Mar-2020 00:20:42,23.02,00:10:00,00:00:00,0,5
14-Mar-2020 00:30:42,23.02,00:10:00,00:00:00,0,5
14-Mar-2020 00:40:42,23.01,00:10:00,00:00:00,0,5
14-Mar-2020 00:50:42,22.99,00:10:00,00:00:00,0,5
14-Mar-2020 01:00:42,23.01,00:10:00,00:00:00,0,5
14-Mar-2020 01:10:42,22.99,00:10:00,00:00:00,0,5
14-Mar-2020 01:20:42,22.99,00:10:00,00:00:00,0,5
14-Mar-2020 01:30:42,23.02,00:10:00,00:00:00,0,5
14-Mar-2020 01:40:42,23.01,00:10:00,00:00:00,0,5
14-Mar-2020 01:50:42,23.02,00:10:00,00:00:00,0,5
14-Mar-2020 02:00:42,23.01,00:10:00,00:00:00,0,5
14-Mar-2020 02:10:42,22.97,00:10:00,00:00:00,0,5
14-Mar-2020 02:20:42,22.97,00:10:00,00:00:00,0,5
14-Mar-2020 02:30:42,22.97,00:10:00,00:00:00,0,5
14-Mar-2020 02:40:42,22.95,00:10:00,00:00:00,0,5
14-Mar-2020 02:50:42,22.95,00:10:00,00:00:00,0,5
14-Mar-2020 03:00:42,22.94,00:10:00,00:00:00,0,5
14-Mar-2020 03:10:42,22.91,00:10:00,00:00:00,0,5
14-Mar-2020 03:20:42,22.93,00:10:00,00:00:00,0,5
14-Mar-2020 03:30:42,22.9,00:10:00,00:00:00,0,5
14-Mar-2020 03:40:42,22.88,00:10:00,00:00:00,0,5
14-Mar-2020 03:50:42,22.87,00:10:00,00:00:00,0,5
14-Mar-2020 04:00:42,22.88,00:10:00,00:00:00,0,5
14-Mar-2020 04:10:42,22.88,00:10:00,00:00:00,0,5
14-Mar-2020 04:20:42,22.9,00:10:00,00:00:00,0,5
14-Mar-2020 04:30:42,22.93,00:10:00,00:00:00,0,5
14-Mar-2020 04:40:42,22.93,00:10:00,00:00:00,0,5
14-Mar-2020 04:50:42,22.9,00:10:00,00:00:00,0,5
14-Mar-2020 05:00:42,22.88,00:10:00,00:00:00,0,5
14-Mar-2020 05:10:42,22.88,00:10:00,00:00:00,0,5
14-Mar-2020 05:20:42,22.85,00:10:00,00:00:00,0,5
14-Mar-2020 05:30:42,22.85,00:10:00,00:00:00,0,5
14-Mar-2020 05:40:42,22.84,00:10:00,00:00:00,0,5
14-Mar-2020 05:50:42,22.84,00:10:00,00:00:00,0,5
14-Mar-2020 06:00:42,22.87,00:10:00,00:00:00,0,5
14-Mar-2020 06:10:42,22.9,00:10:00,00:00:00,0,5
14-Mar-2020 06:20:42,22.88,00:10:00,00:00:00,0,5
14-Mar-2020 06:30:42,22.93,00:10:00,00:00:00,0,5
14-Mar-2020 06:40:42,22.91,00:10:00,00:00:00,0,5
14-Mar-2020 06:50:42,22.98,00:10:00,00:00:00,0,5
14-Mar-2020 07:00:42,23.01,00:10:00,00:00:00,0,5
14-Mar-2020 07:10:42,23.04,00:10:00,00:00:00,0,5
14-Mar-2020 07:20:42,23.18,00:10:00,00:00:00,0,5
14-Mar-2020 07:30:42,23.24,00:10:00,00:00:00,0,5
14-Mar-2020 07:40:42,23.15,00:10:00,00:00:00,0,5
14-Mar-2020 07:50:42,23.05,00:10:00,00:00:00,0,5
14-Mar-2020 08:00:42,23.04,00:10:00,00:00:00,0,5
14-Mar-2020 08:10:42,23.11,00:10:00,00:00:00,0,5
14-Mar-2020 08:20:42,23.15,00:10:00,00:00:00,0,5
14-Mar-2020 08:30:42,23.19,00:10:00,00:00:00,0,5
14-Mar-2020 08:40:42,23.21,00:10:00,00:00:00,0,5
