Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:46:15,49.61,00:00:00,-24:00:00,1,1
12-Mar-2020 19:47:16,51.59,00:01:01,00:01:01,1,2
12-Mar-2020 19:48:16,39.31,00:01:00,-00:00:01,1,3
12-Mar-2020 19:49:16,23.57,00:01:00,00:00:00,0,3
12-Mar-2020 19:50:16,28.25,00:01:00,00:00:00,0,3
12-Mar-2020 19:51:16,29.88,00:01:00,00:00:00,0,3
12-Mar-2020 19:52:16,29.99,00:01:00,00:00:00,0,3
12-Mar-2020 19:53:16,31.65,00:01:00,00:00:00,0,3
12-Mar-2020 19:54:16,32.87,00:01:00,00:00:00,0,3
12-Mar-2020 19:55:16,34.06,00:01:00,00:00:00,0,3
12-Mar-2020 19:56:16,36.16,00:01:00,00:00:00,0,3
12-Mar-2020 19:57:16,37.86,00:01:00,00:00:00,0,3
12-Mar-2020 19:58:16,40.1,00:01:00,00:00:00,0,3
12-Mar-2020 19:59:16,42.08,00:01:00,00:00:00,0,3
12-Mar-2020 20:00:16,43.73,00:01:00,00:00:00,0,3
12-Mar-2020 20:01:16,43.48,00:01:00,00:00:00,0,3
12-Mar-2020 20:02:16,38.51,00:01:00,00:00:00,0,3
12-Mar-2020 20:03:16,37.95,00:01:00,00:00:00,0,3
12-Mar-2020 20:04:16,37.6,00:01:00,00:00:00,0,3
12-Mar-2020 20:05:16,37.8,00:01:00,00:00:00,0,3
12-Mar-2020 20:06:16,38.33,00:01:00,00:00:00,0,3
12-Mar-2020 20:07:16,38.34,00:01:00,00:00:00,0,3
12-Mar-2020 20:08:16,38.84,00:01:00,00:00:00,0,3
12-Mar-2020 20:09:16,39.31,00:01:00,00:00:00,0,3
12-Mar-2020 20:10:16,40.12,00:01:00,00:00:00,0,3
12-Mar-2020 20:11:16,40.69,00:01:00,00:00:00,0,3
12-Mar-2020 20:12:16,41.46,00:01:00,00:00:00,0,3
12-Mar-2020 20:13:16,42.16,00:01:00,00:00:00,0,3
12-Mar-2020 20:14:16,42.71,00:01:00,00:00:00,0,3
12-Mar-2020 20:15:16,43.26,00:01:00,00:00:00,0,3
12-Mar-2020 20:16:16,43.93,00:01:00,00:00:00,0,3
12-Mar-2020 20:17:16,44.75,00:01:00,00:00:00,0,3
12-Mar-2020 20:18:16,45.51,00:01:00,00:00:00,0,3
12-Mar-2020 20:19:16,45.98,00:01:00,00:00:00,0,3
12-Mar-2020 20:20:16,46.38,00:01:00,00:00:00,0,3
12-Mar-2020 20:21:16,47.1,00:01:00,00:00:00,0,3
12-Mar-2020 20:22:16,47.66,00:01:00,00:00:00,0,3
12-Mar-2020 20:23:16,48.36,00:01:00,00:00:00,0,3
12-Mar-2020 20:24:16,48.41,00:01:00,00:00:00,0,3
12-Mar-2020 20:25:16,49.01,00:01:00,00:00:00,0,3
12-Mar-2020 20:26:16,49.52,00:01:00,00:00:00,0,3
12-Mar-2020 20:27:16,49.5,00:01:00,00:00:00,0,3
12-Mar-2020 20:28:16,50.34,00:01:00,00:00:00,0,3
12-Mar-2020 20:29:16,50.69,00:01:00,00:00:00,0,3
12-Mar-2020 20:30:16,51.08,00:01:00,00:00:00,0,3
12-Mar-2020 20:31:16,51.47,00:01:00,00:00:00,0,3
12-Mar-2020 20:32:16,51.79,00:01:00,00:00:00,0,3
12-Mar-2020 20:33:16,52.04,00:01:00,00:00:00,0,3
12-Mar-2020 20:34:16,52.05,00:01:00,00:00:00,0,3
12-Mar-2020 20:35:16,51.28,00:01:00,00:00:00,0,3
12-Mar-2020 20:36:16,51.27,00:01:00,00:00:00,0,3
12-Mar-2020 20:37:16,50.71,00:01:00,00:00:00,0,3
12-Mar-2020 20:38:16,50.9,00:01:00,00:00:00,0,3
12-Mar-2020 20:39:16,50.55,00:01:00,00:00:00,0,3
12-Mar-2020 20:40:16,50.77,00:01:00,00:00:00,0,3
12-Mar-2020 20:41:16,50.79,00:01:00,00:00:00,0,3
12-Mar-2020 20:42:16,49.97,00:01:00,00:00:00,0,3
12-Mar-2020 20:43:16,49.86,00:01:00,00:00:00,0,3
12-Mar-2020 20:44:16,49.89,00:01:00,00:00:00,0,3
12-Mar-2020 20:45:16,49.74,00:01:00,00:00:00,0,3
12-Mar-2020 20:46:16,49.63,00:01:00,00:00:00,0,3
12-Mar-2020 20:47:16,49.43,00:01:00,00:00:00,0,3
12-Mar-2020 20:48:16,49.35,00:01:00,00:00:00,0,3
12-Mar-2020 20:49:16,49.1,00:01:00,00:00:00,0,3
12-Mar-2020 20:50:16,48.84,00:01:00,00:00:00,0,3
12-Mar-2020 20:51:16,48.56,00:01:00,00:00:00,0,3
12-Mar-2020 20:52:16,48.44,00:01:00,00:00:00,0,3
12-Mar-2020 20:53:16,48.22,00:01:00,00:00:00,0,3
12-Mar-2020 20:54:16,48.05,00:01:00,00:00:00,0,3
12-Mar-2020 20:55:16,47.82,00:01:00,00:00:00,0,3
12-Mar-2020 20:56:16,47.62,00:01:00,00:00:00,0,3
12-Mar-2020 20:57:16,47.31,00:01:00,00:00:00,0,3
12-Mar-2020 20:58:16,47.08,00:01:00,00:00:00,0,3
12-Mar-2020 20:59:16,46.9,00:01:00,00:00:00,0,3
12-Mar-2020 21:00:16,46.74,00:01:00,00:00:00,0,3
12-Mar-2020 21:01:16,46.5,00:01:00,00:00:00,0,3
12-Mar-2020 21:02:16,46.6,00:01:00,00:00:00,0,3
12-Mar-2020 21:03:16,47.3,00:01:00,00:00:00,0,3
12-Mar-2020 21:04:16,48.16,00:01:00,00:00:00,0,3
12-Mar-2020 21:05:16,49.3,00:01:00,00:00:00,0,3
12-Mar-2020 21:06:16,50.2,00:01:00,00:00:00,0,3
12-Mar-2020 21:07:16,50.87,00:01:00,00:00:00,0,3
12-Mar-2020 21:08:16,51.34,00:01:00,00:00:00,0,3
12-Mar-2020 21:09:16,51.61,00:01:00,00:00:00,0,3
12-Mar-2020 21:10:16,51.82,00:01:00,00:00:00,0,3
12-Mar-2020 21:11:16,52.06,00:01:00,00:00:00,0,3
12-Mar-2020 21:12:16,52.21,00:01:00,00:00:00,0,3
12-Mar-2020 21:13:16,52.42,00:01:00,00:00:00,0,3
