Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:46:56,25.57,00:00:00,-24:00:00,1,1
12-Mar-2020 19:47:56,25.68,00:01:00,00:01:00,1,2
12-Mar-2020 19:48:56,14.6,00:01:00,00:00:00,0,2
12-Mar-2020 19:49:56,9.61,00:01:00,00:00:00,0,2
12-Mar-2020 19:50:56,7.84,00:01:00,00:00:00,0,2
12-Mar-2020 19:51:56,8.14,00:01:00,00:00:00,0,2
12-Mar-2020 19:52:56,7.46,00:01:00,00:00:00,0,2
12-Mar-2020 19:53:56,6.79,00:01:00,00:00:00,0,2
12-Mar-2020 19:54:56,6.02,00:01:00,00:00:00,0,2
12-Mar-2020 19:55:56,4.9,00:01:00,00:00:00,0,2
12-Mar-2020 19:56:56,3.93,00:01:00,00:00:00,0,2
12-Mar-2020 19:57:56,2.99,00:01:00,00:00:00,0,2
12-Mar-2020 19:58:56,2.03,00:01:00,00:00:00,0,2
12-Mar-2020 19:59:56,1.29,00:01:00,00:00:00,0,2
12-Mar-2020 20:00:56,0.78,00:01:00,00:00:00,0,2
12-Mar-2020 20:01:56,0.43,00:01:00,00:00:00,0,2
12-Mar-2020 20:02:56,-0.52,00:01:00,00:00:00,0,2
12-Mar-2020 20:03:56,-1.5,00:01:00,00:00:00,0,2
12-Mar-2020 20:04:56,-2.27,00:01:00,00:00:00,0,2
12-Mar-2020 20:05:56,-3.12,00:01:00,00:00:00,0,2
12-Mar-2020 20:06:56,-3.94,00:01:00,00:00:00,0,2
12-Mar-2020 20:07:56,-4.75,00:01:00,00:00:00,0,2
12-Mar-2020 20:08:56,-5.43,00:01:00,00:00:00,0,2
12-Mar-2020 20:09:56,-6.07,00:01:00,00:00:00,0,2
12-Mar-2020 20:10:56,-6.71,00:01:00,00:00:00,0,2
12-Mar-2020 20:11:56,-7.35,00:01:00,00:00:00,0,2
12-Mar-2020 20:12:56,-7.9,00:01:00,00:00:00,0,2
12-Mar-2020 20:13:56,-8.46,00:01:00,00:00:00,0,2
12-Mar-2020 20:14:56,-8.87,00:01:00,00:00:00,0,2
12-Mar-2020 20:15:56,-9.39,00:01:00,00:00:00,0,2
12-Mar-2020 20:16:56,-9.8,00:01:00,00:00:00,0,2
12-Mar-2020 20:17:56,-10.24,00:01:00,00:00:00,0,2
12-Mar-2020 20:18:56,-10.65,00:01:00,00:00:00,0,2
12-Mar-2020 20:19:56,-11.05,00:01:00,00:00:00,0,2
12-Mar-2020 20:20:56,-11.36,00:01:00,00:00:00,0,2
12-Mar-2020 20:21:56,-11.74,00:01:00,00:00:00,0,2
12-Mar-2020 20:22:56,-12.12,00:01:00,00:00:00,0,2
12-Mar-2020 20:23:56,-12.43,00:01:00,00:00:00,0,2
12-Mar-2020 20:24:56,-12.76,00:01:00,00:00:00,0,2
12-Mar-2020 20:25:56,-13.08,00:01:00,00:00:00,0,2
12-Mar-2020 20:26:56,-13.36,00:01:00,00:00:00,0,2
12-Mar-2020 20:27:56,-13.6,00:01:00,00:00:00,0,2
12-Mar-2020 20:28:56,-13.91,00:01:00,00:00:00,0,2
12-Mar-2020 20:29:56,-14.14,00:01:00,00:00:00,0,2
12-Mar-2020 20:30:56,-14.45,00:01:00,00:00:00,0,2
12-Mar-2020 20:31:56,-14.62,00:01:00,00:00:00,0,2
12-Mar-2020 20:32:56,-14.92,00:01:00,00:00:00,0,2
12-Mar-2020 20:33:56,-15.11,00:01:00,00:00:00,0,2
12-Mar-2020 20:34:56,-15.27,00:01:00,00:00:00,0,2
12-Mar-2020 20:35:56,-15.45,00:01:00,00:00:00,0,2
12-Mar-2020 20:36:56,-15.62,00:01:00,00:00:00,0,2
12-Mar-2020 20:37:56,-15.83,00:01:00,00:00:00,0,2
12-Mar-2020 20:38:56,-15.96,00:01:00,00:00:00,0,2
12-Mar-2020 20:39:56,-16.13,00:01:00,00:00:00,0,2
12-Mar-2020 20:40:56,-16.27,00:01:00,00:00:00,0,2
12-Mar-2020 20:41:56,-16.44,00:01:00,00:00:00,0,2
12-Mar-2020 20:42:56,-16.58,00:01:00,00:00:00,0,2
12-Mar-2020 20:43:56,-16.73,00:01:00,00:00:00,0,2
12-Mar-2020 20:44:56,-16.86,00:01:00,00:00:00,0,2
12-Mar-2020 20:45:56,-16.96,00:01:00,00:00:00,0,2
12-Mar-2020 20:46:56,-17.11,00:01:00,00:00:00,0,2
12-Mar-2020 20:47:56,-17.22,00:01:00,00:00:00,0,2
12-Mar-2020 20:48:56,-17.33,00:01:00,00:00:00,0,2
12-Mar-2020 20:50:16,-17.47,00:01:20,00:00:20,1,3
12-Mar-2020 20:51:16,-17.59,00:01:00,-00:00:20,1,4
12-Mar-2020 20:52:16,-17.68,00:01:00,00:00:00,0,4
12-Mar-2020 20:53:16,-17.78,00:01:00,00:00:00,0,4
12-Mar-2020 20:54:16,-17.9,00:01:00,00:00:00,0,4
12-Mar-2020 20:55:16,-17.98,00:01:00,00:00:00,0,4
