Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:44:26,49.3,00:00:00,-24:00:00,1,1
12-Mar-2020 19:45:26,49.68,00:01:00,00:01:00,1,2
12-Mar-2020 19:46:26,49.16,00:01:00,00:00:00,0,2
12-Mar-2020 19:47:26,53.43,00:01:00,00:00:00,0,2
12-Mar-2020 19:48:26,19.14,00:01:00,00:00:00,0,2
12-Mar-2020 19:49:26,18.84,00:01:00,00:00:00,0,2
12-Mar-2020 19:50:26,21.11,00:01:00,00:00:00,0,2
12-Mar-2020 19:51:26,24.05,00:01:00,00:00:00,0,2
12-Mar-2020 19:52:26,26.99,00:01:00,00:00:00,0,2
12-Mar-2020 19:53:26,29.83,00:01:00,00:00:00,0,2
12-Mar-2020 19:54:26,32.3,00:01:00,00:00:00,0,2
12-Mar-2020 19:55:26,34.38,00:01:00,00:00:00,0,2
12-Mar-2020 19:56:26,36.53,00:01:00,00:00:00,0,2
12-Mar-2020 19:57:26,38.75,00:01:00,00:00:00,0,2
12-Mar-2020 19:58:26,40.71,00:01:00,00:00:00,0,2
12-Mar-2020 19:59:26,42.36,00:01:00,00:00:00,0,2
12-Mar-2020 20:00:26,43.92,00:01:00,00:00:00,0,2
12-Mar-2020 20:01:26,44.91,00:01:00,00:00:00,0,2
12-Mar-2020 20:02:26,41.93,00:01:00,00:00:00,0,2
12-Mar-2020 20:03:26,40.97,00:01:00,00:00:00,0,2
12-Mar-2020 20:04:26,40.55,00:01:00,00:00:00,0,2
12-Mar-2020 20:05:26,40.62,00:01:00,00:00:00,0,2
12-Mar-2020 20:06:26,40.9,00:01:00,00:00:00,0,2
12-Mar-2020 20:07:26,40.87,00:01:00,00:00:00,0,2
12-Mar-2020 20:08:26,40.89,00:01:00,00:00:00,0,2
12-Mar-2020 20:09:26,41.61,00:01:00,00:00:00,0,2
12-Mar-2020 20:10:26,42.12,00:01:00,00:00:00,0,2
12-Mar-2020 20:11:26,42.62,00:01:00,00:00:00,0,2
12-Mar-2020 20:12:26,43.01,00:01:00,00:00:00,0,2
12-Mar-2020 20:13:26,43.58,00:01:00,00:00:00,0,2
12-Mar-2020 20:14:26,44.39,00:01:00,00:00:00,0,2
12-Mar-2020 20:15:26,45.12,00:01:00,00:00:00,0,2
12-Mar-2020 20:16:26,45.52,00:01:00,00:00:00,0,2
12-Mar-2020 20:17:26,46.25,00:01:00,00:00:00,0,2
12-Mar-2020 20:18:26,46.88,00:01:00,00:00:00,0,2
12-Mar-2020 20:19:26,47.26,00:01:00,00:00:00,0,2
12-Mar-2020 20:20:26,47.97,00:01:00,00:00:00,0,2
12-Mar-2020 20:21:26,48.55,00:01:00,00:00:00,0,2
12-Mar-2020 20:22:26,48.49,00:01:00,00:00:00,0,2
12-Mar-2020 20:23:26,48.79,00:01:00,00:00:00,0,2
12-Mar-2020 20:24:26,49.2,00:01:00,00:00:00,0,2
12-Mar-2020 20:25:26,49.72,00:01:00,00:00:00,0,2
12-Mar-2020 20:26:26,50.04,00:01:00,00:00:00,0,2
12-Mar-2020 20:27:26,49.76,00:01:00,00:00:00,0,2
12-Mar-2020 20:28:26,49.61,00:01:00,00:00:00,0,2
12-Mar-2020 20:29:26,49.88,00:01:00,00:00:00,0,2
12-Mar-2020 20:30:26,49.83,00:01:00,00:00:00,0,2
12-Mar-2020 20:31:26,49.84,00:01:00,00:00:00,0,2
12-Mar-2020 20:32:26,49.63,00:01:00,00:00:00,0,2
12-Mar-2020 20:33:26,49.99,00:01:00,00:00:00,0,2
12-Mar-2020 20:34:26,49.98,00:01:00,00:00:00,0,2
12-Mar-2020 20:35:26,50.15,00:01:00,00:00:00,0,2
12-Mar-2020 20:36:26,50.41,00:01:00,00:00:00,0,2
12-Mar-2020 20:37:26,50.59,00:01:00,00:00:00,0,2
12-Mar-2020 20:38:26,50.7,00:01:00,00:00:00,0,2
12-Mar-2020 20:39:26,51.02,00:01:00,00:00:00,0,2
12-Mar-2020 20:40:26,51.2,00:01:00,00:00:00,0,2
12-Mar-2020 20:41:26,51.2,00:01:00,00:00:00,0,2
12-Mar-2020 20:42:26,51.23,00:01:00,00:00:00,0,2
12-Mar-2020 20:43:26,51.3,00:01:00,00:00:00,0,2
12-Mar-2020 20:44:26,51.38,00:01:00,00:00:00,0,2
12-Mar-2020 20:45:26,51.39,00:01:00,00:00:00,0,2
12-Mar-2020 20:46:26,51.31,00:01:00,00:00:00,0,2
12-Mar-2020 20:47:26,51.27,00:01:00,00:00:00,0,2
12-Mar-2020 20:48:26,51.2,00:01:00,00:00:00,0,2
12-Mar-2020 20:49:26,50.88,00:01:00,00:00:00,0,2
12-Mar-2020 20:50:26,50.69,00:01:00,00:00:00,0,2
12-Mar-2020 20:51:26,50.33,00:01:00,00:00:00,0,2
12-Mar-2020 20:52:26,50.17,00:01:00,00:00:00,0,2
12-Mar-2020 20:53:26,49.94,00:01:00,00:00:00,0,2
12-Mar-2020 20:54:26,49.72,00:01:00,00:00:00,0,2
12-Mar-2020 20:55:26,49.55,00:01:00,00:00:00,0,2
12-Mar-2020 20:56:26,49.3,00:01:00,00:00:00,0,2
12-Mar-2020 20:57:26,48.94,00:01:00,00:00:00,0,2
12-Mar-2020 20:58:26,48.71,00:01:00,00:00:00,0,2
12-Mar-2020 20:59:26,48.56,00:01:00,00:00:00,0,2
12-Mar-2020 21:00:26,48.36,00:01:00,00:00:00,0,2
12-Mar-2020 21:01:26,48.38,00:01:00,00:00:00,0,2
12-Mar-2020 21:02:26,48.85,00:01:00,00:00:00,0,2
12-Mar-2020 21:03:26,49.62,00:01:00,00:00:00,0,2
12-Mar-2020 21:04:26,50.5,00:01:00,00:00:00,0,2
12-Mar-2020 21:05:26,51.72,00:01:00,00:00:00,0,2
12-Mar-2020 21:06:26,53.03,00:01:00,00:00:00,0,2
12-Mar-2020 21:07:26,54.31,00:01:00,00:00:00,0,2
12-Mar-2020 21:08:26,55.26,00:01:00,00:00:00,0,2
12-Mar-2020 21:09:26,55.98,00:01:00,00:00:00,0,2
12-Mar-2020 21:10:26,56.53,00:01:00,00:00:00,0,2
12-Mar-2020 21:11:26,56.99,00:01:00,00:00:00,0,2
12-Mar-2020 21:12:26,57.25,00:01:00,00:00:00,0,2
12-Mar-2020 21:13:26,57.38,00:01:00,00:00:00,0,2
12-Mar-2020 21:14:26,57.41,00:01:00,00:00:00,0,2
12-Mar-2020 21:15:26,57.36,00:01:00,00:00:00,0,2
12-Mar-2020 21:16:26,57.32,00:01:00,00:00:00,0,2
12-Mar-2020 21:17:26,57.25,00:01:00,00:00:00,0,2
12-Mar-2020 21:18:26,57.1,00:01:00,00:00:00,0,2
12-Mar-2020 21:19:26,57.01,00:01:00,00:00:00,0,2
12-Mar-2020 21:20:26,56.9,00:01:00,00:00:00,0,2
12-Mar-2020 21:21:26,56.87,00:01:00,00:00:00,0,2
12-Mar-2020 21:22:26,56.99,00:01:00,00:00:00,0,2
12-Mar-2020 21:23:26,57.22,00:01:00,00:00:00,0,2
12-Mar-2020 21:24:26,57.48,00:01:00,00:00:00,0,2
12-Mar-2020 21:25:26,57.85,00:01:00,00:00:00,0,2
12-Mar-2020 21:26:26,58.31,00:01:00,00:00:00,0,2
12-Mar-2020 21:27:26,58.83,00:01:00,00:00:00,0,2
12-Mar-2020 21:28:26,59.37,00:01:00,00:00:00,0,2
12-Mar-2020 21:29:26,59.97,00:01:00,00:00:00,0,2
12-Mar-2020 21:30:26,60.67,00:01:00,00:00:00,0,2
12-Mar-2020 21:31:26,61.35,00:01:00,00:00:00,0,2
12-Mar-2020 21:32:26,62.02,00:01:00,00:00:00,0,2
12-Mar-2020 21:33:26,62.66,00:01:00,00:00:00,0,2
12-Mar-2020 21:34:26,63.29,00:01:00,00:00:00,0,2
12-Mar-2020 21:35:26,63.93,00:01:00,00:00:00,0,2
12-Mar-2020 21:36:26,64.55,00:01:00,00:00:00,0,2
