Time,Value,Diff_1,Diff_2,Good,CUMSUM
12-Mar-2020 19:41:59,25.52,00:00:00,-24:00:00,1,1
12-Mar-2020 19:43:06,25.55,00:01:07,00:01:07,1,2
12-Mar-2020 19:44:06,25.33,00:01:00,-00:00:07,1,3
12-Mar-2020 19:45:06,25.25,00:01:00,00:00:00,0,3
12-Mar-2020 19:46:06,25.21,00:01:00,00:00:00,0,3
12-Mar-2020 19:47:06,25.18,00:01:00,00:00:00,0,3
12-Mar-2020 19:48:06,24.91,00:01:00,00:00:00,0,3
12-Mar-2020 19:49:06,15.69,00:01:00,00:00:00,0,3
12-Mar-2020 19:50:06,12.38,00:01:00,00:00:00,0,3
12-Mar-2020 19:51:06,11.76,00:01:00,00:00:00,0,3
12-Mar-2020 19:52:06,10.41,00:01:00,00:00:00,0,3
12-Mar-2020 19:53:06,8.64,00:01:00,00:00:00,0,3
12-Mar-2020 19:54:06,7.58,00:01:00,00:00:00,0,3
12-Mar-2020 19:55:06,6.28,00:01:00,00:00:00,0,3
12-Mar-2020 19:56:06,5.1,00:01:00,00:00:00,0,3
12-Mar-2020 19:57:06,4.15,00:01:00,00:00:00,0,3
12-Mar-2020 19:58:06,3.06,00:01:00,00:00:00,0,3
12-Mar-2020 19:59:06,2.17,00:01:00,00:00:00,0,3
12-Mar-2020 20:00:06,1.41,00:01:00,00:00:00,0,3
12-Mar-2020 20:01:06,1.06,00:01:00,00:00:00,0,3
12-Mar-2020 20:02:06,0.39,00:01:00,00:00:00,0,3
12-Mar-2020 20:03:06,-0.77,00:01:00,00:00:00,0,3
12-Mar-2020 20:04:06,-1.61,00:01:00,00:00:00,0,3
12-Mar-2020 20:05:06,-2.51,00:01:00,00:00:00,0,3
12-Mar-2020 20:06:06,-3.31,00:01:00,00:00:00,0,3
12-Mar-2020 20:07:06,-4.07,00:01:00,00:00:00,0,3
12-Mar-2020 20:08:06,-4.8,00:01:00,00:00:00,0,3
12-Mar-2020 20:09:06,-5.57,00:01:00,00:00:00,0,3
12-Mar-2020 20:10:06,-6.19,00:01:00,00:00:00,0,3
12-Mar-2020 20:11:06,-6.84,00:01:00,00:00:00,0,3
12-Mar-2020 20:12:06,-7.39,00:01:00,00:00:00,0,3
12-Mar-2020 20:13:06,-7.98,00:01:00,00:00:00,0,3
12-Mar-2020 20:14:06,-8.43,00:01:00,00:00:00,0,3
12-Mar-2020 20:15:06,-8.93,00:01:00,00:00:00,0,3
12-Mar-2020 20:16:06,-9.38,00:01:00,00:00:00,0,3
12-Mar-2020 20:17:06,-9.8,00:01:00,00:00:00,0,3
12-Mar-2020 20:18:06,-10.25,00:01:00,00:00:00,0,3
12-Mar-2020 20:19:06,-10.62,00:01:00,00:00:00,0,3
12-Mar-2020 20:20:06,-11.01,00:01:00,00:00:00,0,3
12-Mar-2020 20:21:06,-11.39,00:01:00,00:00:00,0,3
12-Mar-2020 20:22:06,-11.73,00:01:00,00:00:00,0,3
12-Mar-2020 20:23:06,-12.1,00:01:00,00:00:00,0,3
12-Mar-2020 20:24:06,-12.39,00:01:00,00:00:00,0,3
12-Mar-2020 20:25:06,-12.7,00:01:00,00:00:00,0,3
12-Mar-2020 20:26:06,-13.02,00:01:00,00:00:00,0,3
12-Mar-2020 20:27:06,-13.32,00:01:00,00:00:00,0,3
12-Mar-2020 20:28:06,-13.6,00:01:00,00:00:00,0,3
12-Mar-2020 20:29:06,-13.86,00:01:00,00:00:00,0,3
12-Mar-2020 20:30:06,-14.1,00:01:00,00:00:00,0,3
