Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:33:41,51.04,00:00:00,-24:00:00,1,1
16-Mar-2020 16:33:42,51.04,00:00:01,00:00:01,1,2
16-Mar-2020 16:33:44,51.04,00:00:02,00:00:01,1,3
16-Mar-2020 16:33:46,51.04,00:00:02,00:00:00,0,3
16-Mar-2020 16:33:48,51.04,00:00:02,00:00:00,0,3
16-Mar-2020 16:33:49,51.04,00:00:01,-00:00:01,1,4
16-Mar-2020 16:33:51,51.04,00:00:02,00:00:01,1,5
16-Mar-2020 16:33:53,51.04,00:00:02,00:00:00,0,5
16-Mar-2020 16:33:55,51.45,00:00:02,00:00:00,0,5
16-Mar-2020 16:33:56,51.45,00:00:01,-00:00:01,1,6
16-Mar-2020 16:33:58,51.45,00:00:02,00:00:01,1,7
16-Mar-2020 16:34:00,51.45,00:00:02,00:00:00,0,7
16-Mar-2020 16:34:02,51.45,00:00:02,00:00:00,0,7
16-Mar-2020 16:34:03,51.45,00:00:01,-00:00:01,1,8
16-Mar-2020 16:34:05,51.45,00:00:02,00:00:01,1,9
16-Mar-2020 16:34:07,51.45,00:00:02,00:00:00,0,9
16-Mar-2020 16:34:09,51.08,00:00:02,00:00:00,0,9
16-Mar-2020 16:34:10,51.08,00:00:01,-00:00:01,1,10
16-Mar-2020 16:34:12,51.08,00:00:02,00:00:01,1,11
16-Mar-2020 16:34:14,51.08,00:00:02,00:00:00,0,11
16-Mar-2020 16:34:16,51.08,00:00:02,00:00:00,0,11
16-Mar-2020 16:34:17,51.08,00:00:01,-00:00:01,1,12
16-Mar-2020 16:34:19,51.08,00:00:02,00:00:01,1,13
16-Mar-2020 16:34:21,51.08,00:00:02,00:00:00,0,13
16-Mar-2020 16:34:23,51.08,00:00:02,00:00:00,0,13
16-Mar-2020 16:34:24,50.88,00:00:01,-00:00:01,1,14
16-Mar-2020 16:34:26,50.88,00:00:02,00:00:01,1,15
16-Mar-2020 16:34:28,50.88,00:00:02,00:00:00,0,15
16-Mar-2020 16:34:30,50.88,00:00:02,00:00:00,0,15
16-Mar-2020 16:34:31,50.88,00:00:01,-00:00:01,1,16
16-Mar-2020 16:34:33,50.88,00:00:02,00:00:01,1,17
16-Mar-2020 16:34:35,50.88,00:00:02,00:00:00,0,17
16-Mar-2020 16:34:37,50.88,00:00:02,00:00:00,0,17
16-Mar-2020 16:34:38,50.88,00:00:01,-00:00:01,1,18
16-Mar-2020 16:34:40,51.3,00:00:02,00:00:01,1,19
16-Mar-2020 16:34:42,51.3,00:00:02,00:00:00,0,19
16-Mar-2020 16:34:43,51.3,00:00:01,-00:00:01,1,20
16-Mar-2020 16:34:44,51.3,00:00:01,00:00:00,0,20
16-Mar-2020 16:34:46,51.3,00:00:02,00:00:01,1,21
16-Mar-2020 16:34:48,51.3,00:00:02,00:00:00,0,21
16-Mar-2020 16:34:50,51.3,00:00:02,00:00:00,0,21
16-Mar-2020 16:34:52,51.3,00:00:02,00:00:00,0,21
16-Mar-2020 16:34:54,51.24,00:00:02,00:00:00,0,21
16-Mar-2020 16:34:56,51.24,00:00:02,00:00:00,0,21
16-Mar-2020 16:34:58,51.24,00:00:02,00:00:00,0,21
16-Mar-2020 16:35:00,51.24,00:00:02,00:00:00,0,21
16-Mar-2020 16:35:02,51.24,00:00:02,00:00:00,0,21
16-Mar-2020 16:35:04,51.24,00:00:02,00:00:00,0,21
