Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:34:58,54.05,00:00:00,-24:00:00,1,1
16-Mar-2020 16:35:00,54.09,00:00:02,00:00:02,1,2
16-Mar-2020 16:35:01,54.08,00:00:01,-00:00:01,1,3
16-Mar-2020 16:35:03,54.83,00:00:02,00:00:01,1,4
16-Mar-2020 16:35:05,54.83,00:00:02,00:00:00,0,4
16-Mar-2020 16:35:07,54.83,00:00:02,00:00:00,0,4
16-Mar-2020 16:35:08,54.83,00:00:01,-00:00:01,1,5
16-Mar-2020 16:35:10,55.73,00:00:02,00:00:01,1,6
16-Mar-2020 16:35:12,55.85,00:00:02,00:00:00,0,6
16-Mar-2020 16:35:14,55.43,00:00:02,00:00:00,0,6
16-Mar-2020 16:35:15,55.11,00:00:01,-00:00:01,1,7
16-Mar-2020 16:35:17,54.54,00:00:02,00:00:01,1,8
16-Mar-2020 16:35:19,54.01,00:00:02,00:00:00,0,8
16-Mar-2020 16:35:21,53.59,00:00:02,00:00:00,0,8
16-Mar-2020 16:35:22,53.4,00:00:01,-00:00:01,1,9
16-Mar-2020 16:35:24,52.89,00:00:02,00:00:01,1,10
16-Mar-2020 16:35:26,52.89,00:00:02,00:00:00,0,10
16-Mar-2020 16:35:28,52.89,00:00:02,00:00:00,0,10
16-Mar-2020 16:35:29,52.89,00:00:01,-00:00:01,1,11
16-Mar-2020 16:35:31,53.98,00:00:02,00:00:01,1,12
16-Mar-2020 16:35:33,53.61,00:00:02,00:00:00,0,12
16-Mar-2020 16:35:35,53.31,00:00:02,00:00:00,0,12
16-Mar-2020 16:35:36,53.15,00:00:01,-00:00:01,1,13
16-Mar-2020 16:35:38,52.84,00:00:02,00:00:01,1,14
16-Mar-2020 16:35:40,52.53,00:00:02,00:00:00,0,14
16-Mar-2020 16:35:42,52.21,00:00:02,00:00:00,0,14
16-Mar-2020 16:35:43,52.06,00:00:01,-00:00:01,1,15
16-Mar-2020 16:35:45,51.88,00:00:02,00:00:01,1,16
16-Mar-2020 16:35:47,51.78,00:00:02,00:00:00,0,16
16-Mar-2020 16:35:49,51.78,00:00:02,00:00:00,0,16
16-Mar-2020 16:35:50,51.78,00:00:01,-00:00:01,1,17
16-Mar-2020 16:35:52,51.78,00:00:02,00:00:01,1,18
16-Mar-2020 16:35:54,51.78,00:00:02,00:00:00,0,18
16-Mar-2020 16:35:56,51.78,00:00:02,00:00:00,0,18
16-Mar-2020 16:35:57,51.78,00:00:01,-00:00:01,1,19
16-Mar-2020 16:35:59,51.78,00:00:02,00:00:01,1,20
16-Mar-2020 16:36:01,52.23,00:00:02,00:00:00,0,20
16-Mar-2020 16:36:03,52.23,00:00:02,00:00:00,0,20
16-Mar-2020 16:36:06,52.23,00:00:03,00:00:01,1,21
16-Mar-2020 16:36:08,52.23,00:00:02,-00:00:01,1,22
16-Mar-2020 16:36:10,52.23,00:00:02,00:00:00,0,22
16-Mar-2020 16:36:13,52.23,00:00:03,00:00:01,1,23
16-Mar-2020 16:36:15,52.23,00:00:02,-00:00:01,1,24
16-Mar-2020 16:36:17,52.13,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:20,52.13,00:00:03,00:00:01,1,25
16-Mar-2020 16:36:22,52.13,00:00:02,-00:00:01,1,26
16-Mar-2020 16:36:24,52.13,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:27,52.13,00:00:03,00:00:01,1,27
16-Mar-2020 16:36:29,52.13,00:00:02,-00:00:01,1,28
16-Mar-2020 16:36:31,52.12,00:00:02,00:00:00,0,28
16-Mar-2020 16:36:34,52.12,00:00:03,00:00:01,1,29
16-Mar-2020 16:36:36,52.12,00:00:02,-00:00:01,1,30
16-Mar-2020 16:36:38,52.12,00:00:02,00:00:00,0,30
16-Mar-2020 16:36:40,52.12,00:00:02,00:00:00,0,30
16-Mar-2020 16:36:42,52.12,00:00:02,00:00:00,0,30
16-Mar-2020 16:36:44,52.12,00:00:02,00:00:00,0,30
16-Mar-2020 16:36:45,52.12,00:00:01,-00:00:01,1,31
16-Mar-2020 16:36:47,51.73,00:00:02,00:00:01,1,32
16-Mar-2020 16:36:48,51.73,00:00:01,-00:00:01,1,33
16-Mar-2020 16:36:50,51.73,00:00:02,00:00:01,1,34
16-Mar-2020 16:36:52,51.73,00:00:02,00:00:00,0,34
16-Mar-2020 16:36:54,51.73,00:00:02,00:00:00,0,34
16-Mar-2020 16:36:56,51.73,00:00:02,00:00:00,0,34
16-Mar-2020 16:36:57,51.73,00:00:01,-00:00:01,1,35
16-Mar-2020 16:36:59,51.73,00:00:02,00:00:01,1,36
16-Mar-2020 16:37:02,52.14,00:00:03,00:00:01,1,37
16-Mar-2020 16:37:04,52.14,00:00:02,-00:00:01,1,38
16-Mar-2020 16:37:06,52.14,00:00:02,00:00:00,0,38
16-Mar-2020 16:37:08,52.14,00:00:02,00:00:00,0,38
16-Mar-2020 16:37:10,52.14,00:00:02,00:00:00,0,38
16-Mar-2020 16:37:11,52.14,00:00:01,-00:00:01,1,39
16-Mar-2020 16:37:13,52.14,00:00:02,00:00:01,1,40
16-Mar-2020 16:37:15,52.14,00:00:02,00:00:00,0,40
16-Mar-2020 16:37:17,51.91,00:00:02,00:00:00,0,40
16-Mar-2020 16:37:19,51.91,00:00:02,00:00:00,0,40
16-Mar-2020 16:37:20,51.91,00:00:01,-00:00:01,1,41
16-Mar-2020 16:37:22,51.91,00:00:02,00:00:01,1,42
16-Mar-2020 16:37:23,51.91,00:00:01,-00:00:01,1,43
16-Mar-2020 16:37:25,51.91,00:00:02,00:00:01,1,44
16-Mar-2020 16:37:27,51.91,00:00:02,00:00:00,0,44
16-Mar-2020 16:37:29,51.91,00:00:02,00:00:00,0,44
