Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:35:17,55.99,00:00:00,-24:00:00,1,1
16-Mar-2020 16:35:19,55.36,00:00:02,00:00:02,1,2
16-Mar-2020 16:35:20,55.06,00:00:01,-00:00:01,1,3
16-Mar-2020 16:35:22,54.65,00:00:02,00:00:01,1,4
16-Mar-2020 16:35:24,54.46,00:00:02,00:00:00,0,4
16-Mar-2020 16:35:26,54.36,00:00:02,00:00:00,0,4
16-Mar-2020 16:35:27,54.36,00:00:01,-00:00:01,1,5
16-Mar-2020 16:35:29,54.36,00:00:02,00:00:01,1,6
16-Mar-2020 16:35:31,55.57,00:00:02,00:00:00,0,6
16-Mar-2020 16:35:33,55.09,00:00:02,00:00:00,0,6
16-Mar-2020 16:35:35,54.58,00:00:02,00:00:00,0,6
16-Mar-2020 16:35:36,54.28,00:00:01,-00:00:01,1,7
16-Mar-2020 16:35:38,53.9,00:00:02,00:00:01,1,8
16-Mar-2020 16:35:40,53.66,00:00:02,00:00:00,0,8
16-Mar-2020 16:35:42,53.56,00:00:02,00:00:00,0,8
16-Mar-2020 16:35:43,53.51,00:00:01,-00:00:01,1,9
16-Mar-2020 16:35:45,53.42,00:00:02,00:00:01,1,10
16-Mar-2020 16:35:47,53.36,00:00:02,00:00:00,0,10
16-Mar-2020 16:35:49,53.36,00:00:02,00:00:00,0,10
16-Mar-2020 16:35:50,53.36,00:00:01,-00:00:01,1,11
16-Mar-2020 16:35:52,53.36,00:00:02,00:00:01,1,12
16-Mar-2020 16:35:54,53.36,00:00:02,00:00:00,0,12
16-Mar-2020 16:35:56,53.36,00:00:02,00:00:00,0,12
16-Mar-2020 16:35:57,53.36,00:00:01,-00:00:01,1,13
16-Mar-2020 16:35:59,53.36,00:00:02,00:00:01,1,14
16-Mar-2020 16:36:01,53.19,00:00:02,00:00:00,0,14
16-Mar-2020 16:36:03,53.19,00:00:02,00:00:00,0,14
16-Mar-2020 16:36:04,53.19,00:00:01,-00:00:01,1,15
16-Mar-2020 16:36:06,53.19,00:00:02,00:00:01,1,16
16-Mar-2020 16:36:08,53.19,00:00:02,00:00:00,0,16
16-Mar-2020 16:36:10,53.19,00:00:02,00:00:00,0,16
16-Mar-2020 16:36:11,53.19,00:00:01,-00:00:01,1,17
16-Mar-2020 16:36:13,53.19,00:00:02,00:00:01,1,18
16-Mar-2020 16:36:15,53.82,00:00:02,00:00:00,0,18
16-Mar-2020 16:36:17,53.82,00:00:02,00:00:00,0,18
16-Mar-2020 16:36:18,53.82,00:00:01,-00:00:01,1,19
16-Mar-2020 16:36:20,53.82,00:00:02,00:00:01,1,20
16-Mar-2020 16:36:22,53.82,00:00:02,00:00:00,0,20
16-Mar-2020 16:36:23,53.82,00:00:01,-00:00:01,1,21
16-Mar-2020 16:36:25,53.82,00:00:02,00:00:01,1,22
16-Mar-2020 16:36:28,53.82,00:00:03,00:00:01,1,23
16-Mar-2020 16:36:30,53.82,00:00:02,-00:00:01,1,24
16-Mar-2020 16:36:32,53.45,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:34,53.45,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:36,53.45,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:38,53.45,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:40,53.45,00:00:02,00:00:00,0,24
