Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:34:35,53.67,00:00:00,-24:00:00,1,1
16-Mar-2020 16:34:37,52.48,00:00:02,00:00:02,1,2
16-Mar-2020 16:34:38,52.43,00:00:01,-00:00:01,1,3
16-Mar-2020 16:34:40,52.32,00:00:02,00:00:01,1,4
16-Mar-2020 16:34:42,52.22,00:00:02,00:00:00,0,4
16-Mar-2020 16:34:44,52.09,00:00:02,00:00:00,0,4
16-Mar-2020 16:34:45,52,00:00:01,-00:00:01,1,5
16-Mar-2020 16:34:47,52.98,00:00:02,00:00:01,1,6
16-Mar-2020 16:34:49,53.23,00:00:02,00:00:00,0,6
16-Mar-2020 16:34:51,53.45,00:00:02,00:00:00,0,6
16-Mar-2020 16:34:52,53.15,00:00:01,-00:00:01,1,7
16-Mar-2020 16:34:54,53.15,00:00:02,00:00:01,1,8
16-Mar-2020 16:34:56,53.15,00:00:02,00:00:00,0,8
16-Mar-2020 16:34:58,52.01,00:00:02,00:00:00,0,8
16-Mar-2020 16:34:59,52.2,00:00:01,-00:00:01,1,9
16-Mar-2020 16:35:01,52.43,00:00:02,00:00:01,1,10
16-Mar-2020 16:35:03,52.87,00:00:02,00:00:00,0,10
16-Mar-2020 16:35:05,53.74,00:00:02,00:00:00,0,10
16-Mar-2020 16:35:06,53.98,00:00:01,-00:00:01,1,11
16-Mar-2020 16:35:08,54.06,00:00:02,00:00:01,1,12
16-Mar-2020 16:35:10,53.56,00:00:02,00:00:00,0,12
16-Mar-2020 16:35:12,53.91,00:00:02,00:00:00,0,12
16-Mar-2020 16:35:13,54.09,00:00:01,-00:00:01,1,13
16-Mar-2020 16:35:15,54.09,00:00:02,00:00:01,1,14
16-Mar-2020 16:35:17,54.09,00:00:02,00:00:00,0,14
16-Mar-2020 16:35:19,54.09,00:00:02,00:00:00,0,14
16-Mar-2020 16:35:20,52.96,00:00:01,-00:00:01,1,15
16-Mar-2020 16:35:22,52.54,00:00:02,00:00:01,1,16
16-Mar-2020 16:35:24,52.13,00:00:02,00:00:00,0,16
16-Mar-2020 16:35:26,51.73,00:00:02,00:00:00,0,16
16-Mar-2020 16:35:27,51.6,00:00:01,-00:00:01,1,17
16-Mar-2020 16:35:29,52.51,00:00:02,00:00:01,1,18
16-Mar-2020 16:35:31,53.03,00:00:02,00:00:00,0,18
16-Mar-2020 16:35:33,52.96,00:00:02,00:00:00,0,18
16-Mar-2020 16:35:34,52.83,00:00:01,-00:00:01,1,19
16-Mar-2020 16:35:36,52.7,00:00:02,00:00:01,1,20
16-Mar-2020 16:35:37,52.7,00:00:01,-00:00:01,1,21
16-Mar-2020 16:35:39,52.7,00:00:02,00:00:01,1,22
16-Mar-2020 16:35:41,52.7,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:43,52.7,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:45,51.58,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:47,51.47,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:51,51.39,00:00:04,00:00:02,1,23
