Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:34:35,24.66,00:00:00,-24:00:00,1,1
16-Mar-2020 16:34:37,24.77,00:00:02,00:00:02,1,2
16-Mar-2020 16:34:38,24.78,00:00:01,-00:00:01,1,3
16-Mar-2020 16:34:40,24.78,00:00:02,00:00:01,1,4
16-Mar-2020 16:34:42,24.84,00:00:02,00:00:00,0,4
16-Mar-2020 16:34:44,24.84,00:00:02,00:00:00,0,4
16-Mar-2020 16:34:45,24.84,00:00:01,-00:00:01,1,5
16-Mar-2020 16:34:47,24.87,00:00:02,00:00:01,1,6
16-Mar-2020 16:34:49,24.88,00:00:02,00:00:00,0,6
16-Mar-2020 16:34:51,24.88,00:00:02,00:00:00,0,6
16-Mar-2020 16:34:52,24.87,00:00:01,-00:00:01,1,7
16-Mar-2020 16:34:54,24.87,00:00:02,00:00:01,1,8
16-Mar-2020 16:34:56,24.87,00:00:02,00:00:00,0,8
16-Mar-2020 16:34:58,24.88,00:00:02,00:00:00,0,8
16-Mar-2020 16:34:59,24.88,00:00:01,-00:00:01,1,9
16-Mar-2020 16:35:01,24.9,00:00:02,00:00:01,1,10
16-Mar-2020 16:35:03,24.91,00:00:02,00:00:00,0,10
16-Mar-2020 16:35:05,24.9,00:00:02,00:00:00,0,10
16-Mar-2020 16:35:06,24.9,00:00:01,-00:00:01,1,11
16-Mar-2020 16:35:08,24.9,00:00:02,00:00:01,1,12
16-Mar-2020 16:35:10,24.88,00:00:02,00:00:00,0,12
16-Mar-2020 16:35:12,24.88,00:00:02,00:00:00,0,12
16-Mar-2020 16:35:13,24.91,00:00:01,-00:00:01,1,13
16-Mar-2020 16:35:15,24.91,00:00:02,00:00:01,1,14
16-Mar-2020 16:35:17,24.91,00:00:02,00:00:00,0,14
16-Mar-2020 16:35:19,24.91,00:00:02,00:00:00,0,14
16-Mar-2020 16:35:20,24.88,00:00:01,-00:00:01,1,15
16-Mar-2020 16:35:22,24.9,00:00:02,00:00:01,1,16
16-Mar-2020 16:35:24,24.9,00:00:02,00:00:00,0,16
16-Mar-2020 16:35:26,24.9,00:00:02,00:00:00,0,16
16-Mar-2020 16:35:27,24.88,00:00:01,-00:00:01,1,17
16-Mar-2020 16:35:29,24.88,00:00:02,00:00:01,1,18
16-Mar-2020 16:35:31,24.87,00:00:02,00:00:00,0,18
16-Mar-2020 16:35:33,24.88,00:00:02,00:00:00,0,18
16-Mar-2020 16:35:34,24.87,00:00:01,-00:00:01,1,19
16-Mar-2020 16:35:36,24.85,00:00:02,00:00:01,1,20
16-Mar-2020 16:35:37,24.85,00:00:01,-00:00:01,1,21
16-Mar-2020 16:35:39,24.85,00:00:02,00:00:01,1,22
16-Mar-2020 16:35:41,24.85,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:43,24.85,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:45,24.85,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:47,24.85,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:51,24.82,00:00:04,00:00:02,1,23
16-Mar-2020 16:35:53,24.84,00:00:02,-00:00:02,1,24
16-Mar-2020 16:35:55,24.85,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:57,24.82,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:59,24.81,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:01,24.81,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:05,24.81,00:00:04,00:00:02,1,25
16-Mar-2020 16:36:07,24.81,00:00:02,-00:00:02,1,26
16-Mar-2020 16:36:09,24.81,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:11,24.81,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:13,24.81,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:15,24.81,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:19,24.81,00:00:04,00:00:02,1,27
16-Mar-2020 16:36:21,24.81,00:00:02,-00:00:02,1,28
16-Mar-2020 16:36:23,24.81,00:00:02,00:00:00,0,28
16-Mar-2020 16:36:25,24.81,00:00:02,00:00:00,0,28
16-Mar-2020 16:36:27,24.81,00:00:02,00:00:00,0,28
16-Mar-2020 16:36:29,24.77,00:00:02,00:00:00,0,28
16-Mar-2020 16:36:33,24.77,00:00:04,00:00:02,1,29
16-Mar-2020 16:36:35,24.77,00:00:02,-00:00:02,1,30
16-Mar-2020 16:36:37,24.77,00:00:02,00:00:00,0,30
16-Mar-2020 16:36:39,24.77,00:00:02,00:00:00,0,30
16-Mar-2020 16:36:41,24.77,00:00:02,00:00:00,0,30
16-Mar-2020 16:36:43,24.74,00:00:02,00:00:00,0,30
16-Mar-2020 16:36:47,24.74,00:00:04,00:00:02,1,31
16-Mar-2020 16:36:49,24.74,00:00:02,-00:00:02,1,32
16-Mar-2020 16:36:51,24.74,00:00:02,00:00:00,0,32
16-Mar-2020 16:36:53,24.74,00:00:02,00:00:00,0,32
16-Mar-2020 16:36:55,24.74,00:00:02,00:00:00,0,32
16-Mar-2020 16:36:57,24.74,00:00:02,00:00:00,0,32
16-Mar-2020 16:36:58,24.71,00:00:01,-00:00:01,1,33
16-Mar-2020 16:37:01,24.71,00:00:03,00:00:02,1,34
16-Mar-2020 16:37:03,24.71,00:00:02,-00:00:01,1,35
16-Mar-2020 16:37:05,24.71,00:00:02,00:00:00,0,35
16-Mar-2020 16:37:07,24.71,00:00:02,00:00:00,0,35
16-Mar-2020 16:37:09,24.71,00:00:02,00:00:00,0,35
16-Mar-2020 16:37:11,24.71,00:00:02,00:00:00,0,35
16-Mar-2020 16:37:12,24.71,00:00:01,-00:00:01,1,36
16-Mar-2020 16:37:15,24.7,00:00:03,00:00:02,1,37
16-Mar-2020 16:37:17,24.7,00:00:02,-00:00:01,1,38
16-Mar-2020 16:37:19,24.7,00:00:02,00:00:00,0,38
16-Mar-2020 16:37:21,24.7,00:00:02,00:00:00,0,38
16-Mar-2020 16:37:22,24.7,00:00:01,-00:00:01,1,39
16-Mar-2020 16:37:24,24.7,00:00:02,00:00:01,1,40
16-Mar-2020 16:37:26,24.7,00:00:02,00:00:00,0,40
16-Mar-2020 16:37:28,24.69,00:00:02,00:00:00,0,40
16-Mar-2020 16:37:30,24.69,00:00:02,00:00:00,0,40
16-Mar-2020 16:37:31,24.69,00:00:01,-00:00:01,1,41
16-Mar-2020 16:37:33,24.69,00:00:02,00:00:01,1,42
16-Mar-2020 16:37:36,24.69,00:00:03,00:00:01,1,43
16-Mar-2020 16:37:38,24.69,00:00:02,-00:00:01,1,44
16-Mar-2020 16:37:40,24.69,00:00:02,00:00:00,0,44
16-Mar-2020 16:37:42,24.69,00:00:02,00:00:00,0,44
16-Mar-2020 16:37:44,24.67,00:00:02,00:00:00,0,44
16-Mar-2020 16:37:46,24.67,00:00:02,00:00:00,0,44
16-Mar-2020 16:37:50,24.67,00:00:04,00:00:02,1,45
16-Mar-2020 16:37:52,24.67,00:00:02,-00:00:02,1,46
16-Mar-2020 16:37:54,24.67,00:00:02,00:00:00,0,46
16-Mar-2020 16:37:57,24.67,00:00:03,00:00:01,1,47
16-Mar-2020 16:37:59,24.66,00:00:02,-00:00:01,1,48
16-Mar-2020 16:38:01,24.66,00:00:02,00:00:00,0,48
16-Mar-2020 16:38:03,24.66,00:00:02,00:00:00,0,48
