Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:33:22,52.07,00:00:00,-24:00:00,1,1
16-Mar-2020 16:33:24,53.03,00:00:02,00:00:02,1,2
16-Mar-2020 16:33:26,52.68,00:00:02,00:00:00,0,2
16-Mar-2020 16:33:27,52.47,00:00:01,-00:00:01,1,3
16-Mar-2020 16:33:29,52.06,00:00:02,00:00:01,1,4
16-Mar-2020 16:33:31,51.72,00:00:02,00:00:00,0,4
16-Mar-2020 16:33:33,51.43,00:00:02,00:00:00,0,4
16-Mar-2020 16:33:34,51.36,00:00:01,-00:00:01,1,5
16-Mar-2020 16:33:36,51.29,00:00:02,00:00:01,1,6
16-Mar-2020 16:33:38,51.26,00:00:02,00:00:00,0,6
16-Mar-2020 16:33:40,51.26,00:00:02,00:00:00,0,6
16-Mar-2020 16:33:41,51.26,00:00:01,-00:00:01,1,7
16-Mar-2020 16:33:43,51.26,00:00:02,00:00:01,1,8
16-Mar-2020 16:33:45,51.26,00:00:02,00:00:00,0,8
16-Mar-2020 16:33:47,51.26,00:00:02,00:00:00,0,8
16-Mar-2020 16:33:48,51.26,00:00:01,-00:00:01,1,9
16-Mar-2020 16:33:50,51.26,00:00:02,00:00:01,1,10
16-Mar-2020 16:33:52,51.26,00:00:02,00:00:00,0,10
16-Mar-2020 16:33:54,51.51,00:00:02,00:00:00,0,10
16-Mar-2020 16:33:55,51.51,00:00:01,-00:00:01,1,11
16-Mar-2020 16:33:57,51.51,00:00:02,00:00:01,1,12
16-Mar-2020 16:33:59,51.51,00:00:02,00:00:00,0,12
16-Mar-2020 16:34:01,51.51,00:00:02,00:00:00,0,12
16-Mar-2020 16:34:02,51.51,00:00:01,-00:00:01,1,13
16-Mar-2020 16:34:04,51.51,00:00:02,00:00:01,1,14
16-Mar-2020 16:34:06,51.51,00:00:02,00:00:00,0,14
16-Mar-2020 16:34:08,51.83,00:00:02,00:00:00,0,14
16-Mar-2020 16:34:09,51.83,00:00:01,-00:00:01,1,15
16-Mar-2020 16:34:11,51.83,00:00:02,00:00:01,1,16
16-Mar-2020 16:34:13,51.83,00:00:02,00:00:00,0,16
16-Mar-2020 16:34:15,51.83,00:00:02,00:00:00,0,16
16-Mar-2020 16:34:16,51.83,00:00:01,-00:00:01,1,17
16-Mar-2020 16:34:18,51.83,00:00:02,00:00:01,1,18
16-Mar-2020 16:34:20,51.83,00:00:02,00:00:00,0,18
16-Mar-2020 16:34:22,51.83,00:00:02,00:00:00,0,18
16-Mar-2020 16:34:24,51.76,00:00:02,00:00:00,0,18
16-Mar-2020 16:34:26,51.76,00:00:02,00:00:00,0,18
16-Mar-2020 16:34:27,51.76,00:00:01,-00:00:01,1,19
16-Mar-2020 16:34:29,51.76,00:00:02,00:00:01,1,20
16-Mar-2020 16:34:31,51.76,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:33,51.76,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:35,51.76,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:37,51.76,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:39,51.76,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:41,51.76,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:43,51.76,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:45,51.99,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:47,51.99,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:49,51.99,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:51,51.99,00:00:02,00:00:00,0,20
16-Mar-2020 16:34:54,51.99,00:00:03,00:00:01,1,21
16-Mar-2020 16:34:56,51.99,00:00:02,-00:00:01,1,22
16-Mar-2020 16:34:58,51.99,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:00,51.98,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:02,51.98,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:04,51.98,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:06,51.98,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:08,51.98,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:10,51.98,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:12,51.98,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:14,51.98,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:16,51.96,00:00:02,00:00:00,0,22
16-Mar-2020 16:35:17,51.96,00:00:01,-00:00:01,1,23
16-Mar-2020 16:35:19,51.96,00:00:02,00:00:01,1,24
16-Mar-2020 16:35:21,51.96,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:23,52.02,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:25,52.02,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:27,52.02,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:29,52.02,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:31,52.02,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:33,52.02,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:35,52.02,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:37,52.02,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:39,52.1,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:41,52.1,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:43,52.1,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:45,52.1,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:47,52.1,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:49,52.1,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:51,52.1,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:53,52.1,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:55,51.75,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:57,51.75,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:59,51.75,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:01,51.75,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:03,51.75,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:05,51.75,00:00:02,00:00:00,0,24
16-Mar-2020 16:36:06,51.75,00:00:01,-00:00:01,1,25
16-Mar-2020 16:36:08,52.58,00:00:02,00:00:01,1,26
16-Mar-2020 16:36:10,52.58,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:12,52.58,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:14,52.58,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:16,52.58,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:18,52.58,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:20,52.58,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:22,52.58,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:24,52.32,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:26,52.32,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:28,52.32,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:30,52.32,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:32,52.32,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:34,52.32,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:36,52.32,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:38,52.32,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:40,52.35,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:42,52.35,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:44,52.35,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:46,52.35,00:00:02,00:00:00,0,26
16-Mar-2020 16:36:48,52.35,00:00:02,00:00:00,0,26
