Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:36:14,51.72,00:00:00,-24:00:00,1,1
16-Mar-2020 16:36:16,51.72,00:00:02,00:00:02,1,2
16-Mar-2020 16:36:17,51.72,00:00:01,-00:00:01,1,3
16-Mar-2020 16:36:19,51.72,00:00:02,00:00:01,1,4
16-Mar-2020 16:36:21,51.72,00:00:02,00:00:00,0,4
16-Mar-2020 16:36:23,51.72,00:00:02,00:00:00,0,4
16-Mar-2020 16:36:24,51.72,00:00:01,-00:00:01,1,5
16-Mar-2020 16:36:26,51.72,00:00:02,00:00:01,1,6
16-Mar-2020 16:36:28,51.72,00:00:02,00:00:00,0,6
16-Mar-2020 16:36:30,51.52,00:00:02,00:00:00,0,6
16-Mar-2020 16:36:31,51.52,00:00:01,-00:00:01,1,7
16-Mar-2020 16:36:33,51.52,00:00:02,00:00:01,1,8
16-Mar-2020 16:36:35,51.52,00:00:02,00:00:00,0,8
16-Mar-2020 16:36:37,51.52,00:00:02,00:00:00,0,8
16-Mar-2020 16:36:38,51.52,00:00:01,-00:00:01,1,9
16-Mar-2020 16:36:40,51.52,00:00:02,00:00:01,1,10
16-Mar-2020 16:36:42,51.52,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:44,51.07,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:45,51.07,00:00:01,-00:00:01,1,11
16-Mar-2020 16:36:47,51.07,00:00:02,00:00:01,1,12
16-Mar-2020 16:36:49,51.07,00:00:02,00:00:00,0,12
16-Mar-2020 16:36:51,51.07,00:00:02,00:00:00,0,12
16-Mar-2020 16:36:52,51.07,00:00:01,-00:00:01,1,13
16-Mar-2020 16:36:54,51.07,00:00:02,00:00:01,1,14
16-Mar-2020 16:36:56,51.07,00:00:02,00:00:00,0,14
16-Mar-2020 16:36:58,51.07,00:00:02,00:00:00,0,14
16-Mar-2020 16:36:59,51.57,00:00:01,-00:00:01,1,15
16-Mar-2020 16:37:01,51.57,00:00:02,00:00:01,1,16
16-Mar-2020 16:37:03,51.57,00:00:02,00:00:00,0,16
16-Mar-2020 16:37:05,51.57,00:00:02,00:00:00,0,16
16-Mar-2020 16:37:06,51.57,00:00:01,-00:00:01,1,17
16-Mar-2020 16:37:08,51.57,00:00:02,00:00:01,1,18
16-Mar-2020 16:37:10,51.57,00:00:02,00:00:00,0,18
16-Mar-2020 16:37:12,51.57,00:00:02,00:00:00,0,18
16-Mar-2020 16:37:13,51.57,00:00:01,-00:00:01,1,19
16-Mar-2020 16:37:15,51.41,00:00:02,00:00:01,1,20
16-Mar-2020 16:37:17,51.41,00:00:02,00:00:00,0,20
16-Mar-2020 16:37:19,51.41,00:00:02,00:00:00,0,20
16-Mar-2020 16:37:20,51.41,00:00:01,-00:00:01,1,21
16-Mar-2020 16:37:22,51.41,00:00:02,00:00:01,1,22
16-Mar-2020 16:37:24,51.41,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:26,51.41,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:28,51.41,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:30,51.7,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:31,51.7,00:00:01,-00:00:01,1,23
16-Mar-2020 16:37:33,51.7,00:00:02,00:00:01,1,24
16-Mar-2020 16:37:35,51.7,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:37,51.7,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:39,51.7,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:41,51.7,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:43,51.7,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:45,52.25,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:46,52.25,00:00:01,-00:00:01,1,25
16-Mar-2020 16:37:48,52.25,00:00:02,00:00:01,1,26
16-Mar-2020 16:37:50,52.25,00:00:02,00:00:00,0,26
16-Mar-2020 16:37:52,52.25,00:00:02,00:00:00,0,26
16-Mar-2020 16:37:54,52.25,00:00:02,00:00:00,0,26
16-Mar-2020 16:37:56,52.25,00:00:02,00:00:00,0,26
16-Mar-2020 16:37:58,52.25,00:00:02,00:00:00,0,26
16-Mar-2020 16:38:00,52.01,00:00:02,00:00:00,0,26
16-Mar-2020 16:38:01,52.01,00:00:01,-00:00:01,1,27
16-Mar-2020 16:38:03,52.01,00:00:02,00:00:01,1,28
16-Mar-2020 16:38:05,52.01,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:07,52.01,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:09,52.01,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:11,52.01,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:13,52.01,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:15,51.4,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:17,51.4,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:19,51.4,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:21,51.4,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:22,51.4,00:00:01,-00:00:01,1,29
16-Mar-2020 16:38:24,51.4,00:00:02,00:00:01,1,30
16-Mar-2020 16:38:25,51.4,00:00:01,-00:00:01,1,31
16-Mar-2020 16:38:27,51.4,00:00:02,00:00:01,1,32
16-Mar-2020 16:38:29,51.4,00:00:02,00:00:00,0,32
