Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:34:13,51.86,00:00:00,-24:00:00,1,1
16-Mar-2020 16:34:15,51.77,00:00:02,00:00:02,1,2
16-Mar-2020 16:34:17,51.72,00:00:02,00:00:00,0,2
16-Mar-2020 16:34:19,51.6,00:00:02,00:00:00,0,2
16-Mar-2020 16:34:20,51.61,00:00:01,-00:00:01,1,3
16-Mar-2020 16:34:22,51.63,00:00:02,00:00:01,1,4
16-Mar-2020 16:34:24,51.46,00:00:02,00:00:00,0,4
16-Mar-2020 16:34:26,51.46,00:00:02,00:00:00,0,4
16-Mar-2020 16:34:27,51.46,00:00:01,-00:00:01,1,5
16-Mar-2020 16:34:29,51.46,00:00:02,00:00:01,1,6
16-Mar-2020 16:34:31,51.46,00:00:02,00:00:00,0,6
16-Mar-2020 16:34:33,51.46,00:00:02,00:00:00,0,6
16-Mar-2020 16:34:34,51.46,00:00:01,-00:00:01,1,7
16-Mar-2020 16:34:36,51.46,00:00:02,00:00:01,1,8
16-Mar-2020 16:34:38,51.49,00:00:02,00:00:00,0,8
16-Mar-2020 16:34:40,51.49,00:00:02,00:00:00,0,8
16-Mar-2020 16:34:41,51.49,00:00:01,-00:00:01,1,9
16-Mar-2020 16:34:43,51.49,00:00:02,00:00:01,1,10
16-Mar-2020 16:34:45,51.49,00:00:02,00:00:00,0,10
16-Mar-2020 16:34:47,51.49,00:00:02,00:00:00,0,10
16-Mar-2020 16:34:48,51.49,00:00:01,-00:00:01,1,11
16-Mar-2020 16:34:50,51.49,00:00:02,00:00:01,1,12
16-Mar-2020 16:34:52,51.49,00:00:02,00:00:00,0,12
16-Mar-2020 16:34:54,51.78,00:00:02,00:00:00,0,12
16-Mar-2020 16:34:55,51.78,00:00:01,-00:00:01,1,13
16-Mar-2020 16:34:57,51.78,00:00:02,00:00:01,1,14
16-Mar-2020 16:34:59,51.78,00:00:02,00:00:00,0,14
16-Mar-2020 16:35:01,51.78,00:00:02,00:00:00,0,14
16-Mar-2020 16:35:02,51.78,00:00:01,-00:00:01,1,15
16-Mar-2020 16:35:04,51.78,00:00:02,00:00:01,1,16
16-Mar-2020 16:35:06,51.78,00:00:02,00:00:00,0,16
16-Mar-2020 16:35:08,52.53,00:00:02,00:00:00,0,16
16-Mar-2020 16:35:09,52.53,00:00:01,-00:00:01,1,17
16-Mar-2020 16:35:11,52.53,00:00:02,00:00:01,1,18
16-Mar-2020 16:35:13,52.53,00:00:02,00:00:00,0,18
16-Mar-2020 16:35:15,52.53,00:00:02,00:00:00,0,18
16-Mar-2020 16:35:16,52.53,00:00:01,-00:00:01,1,19
16-Mar-2020 16:35:18,52.53,00:00:02,00:00:01,1,20
16-Mar-2020 16:35:19,52.53,00:00:01,-00:00:01,1,21
16-Mar-2020 16:35:21,52.53,00:00:02,00:00:01,1,22
16-Mar-2020 16:35:22,52.53,00:00:01,-00:00:01,1,23
16-Mar-2020 16:35:24,52.03,00:00:02,00:00:01,1,24
16-Mar-2020 16:35:26,52.03,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:28,52.03,00:00:02,00:00:00,0,24
16-Mar-2020 16:35:30,52.03,00:00:02,00:00:00,0,24
