Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:35:47,52.07,00:00:00,-24:00:00,1,1
16-Mar-2020 16:35:49,52.01,00:00:02,00:00:02,1,2
16-Mar-2020 16:35:51,52.01,00:00:02,00:00:00,0,2
16-Mar-2020 16:35:52,52.01,00:00:01,-00:00:01,1,3
16-Mar-2020 16:35:54,52.01,00:00:02,00:00:01,1,4
16-Mar-2020 16:35:56,52.01,00:00:02,00:00:00,0,4
16-Mar-2020 16:35:58,52.01,00:00:02,00:00:00,0,4
16-Mar-2020 16:35:59,52.01,00:00:01,-00:00:01,1,5
16-Mar-2020 16:36:01,52.01,00:00:02,00:00:01,1,6
16-Mar-2020 16:36:03,52.01,00:00:02,00:00:00,0,6
16-Mar-2020 16:36:05,51.71,00:00:02,00:00:00,0,6
16-Mar-2020 16:36:06,51.71,00:00:01,-00:00:01,1,7
16-Mar-2020 16:36:08,51.71,00:00:02,00:00:01,1,8
16-Mar-2020 16:36:10,51.71,00:00:02,00:00:00,0,8
16-Mar-2020 16:36:12,51.71,00:00:02,00:00:00,0,8
16-Mar-2020 16:36:13,51.71,00:00:01,-00:00:01,1,9
16-Mar-2020 16:36:15,51.71,00:00:02,00:00:01,1,10
16-Mar-2020 16:36:17,51.71,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:19,52.92,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:21,53.12,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:22,53.12,00:00:01,-00:00:01,1,11
16-Mar-2020 16:36:24,52.97,00:00:02,00:00:01,1,12
16-Mar-2020 16:36:26,52.66,00:00:02,00:00:00,0,12
16-Mar-2020 16:36:28,52.37,00:00:02,00:00:00,0,12
16-Mar-2020 16:36:29,52.25,00:00:01,-00:00:01,1,13
16-Mar-2020 16:36:31,51.93,00:00:02,00:00:01,1,14
16-Mar-2020 16:36:33,51.77,00:00:02,00:00:00,0,14
16-Mar-2020 16:36:35,51.74,00:00:02,00:00:00,0,14
16-Mar-2020 16:36:36,51.74,00:00:01,-00:00:01,1,15
16-Mar-2020 16:36:38,51.74,00:00:02,00:00:01,1,16
16-Mar-2020 16:36:40,51.74,00:00:02,00:00:00,0,16
16-Mar-2020 16:36:42,51.74,00:00:02,00:00:00,0,16
16-Mar-2020 16:36:43,51.74,00:00:01,-00:00:01,1,17
16-Mar-2020 16:36:45,51.74,00:00:02,00:00:01,1,18
16-Mar-2020 16:36:47,51.74,00:00:02,00:00:00,0,18
16-Mar-2020 16:36:49,51.86,00:00:02,00:00:00,0,18
16-Mar-2020 16:36:51,51.86,00:00:02,00:00:00,0,18
16-Mar-2020 16:36:53,51.86,00:00:02,00:00:00,0,18
16-Mar-2020 16:36:54,51.86,00:00:01,-00:00:01,1,19
16-Mar-2020 16:36:55,51.86,00:00:01,00:00:00,0,19
16-Mar-2020 16:36:56,51.86,00:00:01,00:00:00,0,19
16-Mar-2020 16:36:58,51.86,00:00:02,00:00:01,1,20
16-Mar-2020 16:37:00,51.86,00:00:02,00:00:00,0,20
16-Mar-2020 16:37:02,51.86,00:00:02,00:00:00,0,20
16-Mar-2020 16:37:04,52.36,00:00:02,00:00:00,0,20
16-Mar-2020 16:37:06,52.36,00:00:02,00:00:00,0,20
16-Mar-2020 16:37:08,52.36,00:00:02,00:00:00,0,20
16-Mar-2020 16:37:09,52.36,00:00:01,-00:00:01,1,21
16-Mar-2020 16:37:11,52.36,00:00:02,00:00:01,1,22
16-Mar-2020 16:37:13,52.36,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:15,52.36,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:17,52.36,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:19,52.27,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:20,52.27,00:00:01,-00:00:01,1,23
16-Mar-2020 16:37:22,52.27,00:00:02,00:00:01,1,24
16-Mar-2020 16:37:24,52.27,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:26,52.27,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:28,52.27,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:30,52.27,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:32,52.27,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:34,52.68,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:36,52.68,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:38,52.68,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:40,52.68,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:42,52.68,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:44,52.68,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:46,52.68,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:48,52.97,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:49,52.97,00:00:01,-00:00:01,1,25
16-Mar-2020 16:37:51,52.97,00:00:02,00:00:01,1,26
16-Mar-2020 16:37:53,52.97,00:00:02,00:00:00,0,26
16-Mar-2020 16:37:54,52.97,00:00:01,-00:00:01,1,27
16-Mar-2020 16:37:56,52.97,00:00:02,00:00:01,1,28
16-Mar-2020 16:37:58,52.97,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:00,52.97,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:02,52.97,00:00:02,00:00:00,0,28
16-Mar-2020 16:38:05,52.66,00:00:03,00:00:01,1,29
16-Mar-2020 16:38:07,52.66,00:00:02,-00:00:01,1,30
16-Mar-2020 16:38:09,52.66,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:11,52.66,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:13,52.66,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:15,52.66,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:16,52.66,00:00:01,-00:00:01,1,31
16-Mar-2020 16:38:18,52.2,00:00:02,00:00:01,1,32
16-Mar-2020 16:38:20,52.2,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:22,52.2,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:24,52.2,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:26,52.2,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:28,52.2,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:30,52.2,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:32,52.2,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:34,52.26,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:36,52.26,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:38,52.26,00:00:02,00:00:00,0,32
16-Mar-2020 16:38:39,52.26,00:00:01,-00:00:01,1,33
16-Mar-2020 16:38:41,52.26,00:00:02,00:00:01,1,34
16-Mar-2020 16:38:42,52.26,00:00:01,-00:00:01,1,35
16-Mar-2020 16:38:44,52.26,00:00:02,00:00:01,1,36
16-Mar-2020 16:38:45,52.26,00:00:01,-00:00:01,1,37
16-Mar-2020 16:38:47,52.26,00:00:02,00:00:01,1,38
16-Mar-2020 16:38:49,52.53,00:00:02,00:00:00,0,38
16-Mar-2020 16:38:51,52.53,00:00:02,00:00:00,0,38
16-Mar-2020 16:38:52,52.53,00:00:01,-00:00:01,1,39
16-Mar-2020 16:38:54,52.53,00:00:02,00:00:01,1,40
16-Mar-2020 16:38:56,52.53,00:00:02,00:00:00,0,40
16-Mar-2020 16:38:57,52.53,00:00:01,-00:00:01,1,41
16-Mar-2020 16:38:59,52.53,00:00:02,00:00:01,1,42
16-Mar-2020 16:39:01,52.53,00:00:02,00:00:00,0,42
16-Mar-2020 16:39:03,52.8,00:00:02,00:00:00,0,42
16-Mar-2020 16:39:05,52.8,00:00:02,00:00:00,0,42
16-Mar-2020 16:39:07,52.8,00:00:02,00:00:00,0,42
16-Mar-2020 16:39:09,52.8,00:00:02,00:00:00,0,42
16-Mar-2020 16:39:11,52.8,00:00:02,00:00:00,0,42
16-Mar-2020 16:39:13,52.8,00:00:02,00:00:00,0,42
16-Mar-2020 16:39:15,52.8,00:00:02,00:00:00,0,42
16-Mar-2020 16:39:16,52.8,00:00:01,-00:00:01,1,43
16-Mar-2020 16:39:18,52.64,00:00:02,00:00:01,1,44
16-Mar-2020 16:39:20,52.64,00:00:02,00:00:00,0,44
16-Mar-2020 16:39:23,52.64,00:00:03,00:00:01,1,45
16-Mar-2020 16:39:25,52.56,00:00:02,-00:00:01,1,46
16-Mar-2020 16:39:27,52.58,00:00:02,00:00:00,0,46
16-Mar-2020 16:39:28,52.63,00:00:01,-00:00:01,1,47
