Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 16:35:47,24.55,00:00:00,-24:00:00,1,1
16-Mar-2020 16:35:49,24.56,00:00:02,00:00:02,1,2
16-Mar-2020 16:35:51,24.59,00:00:02,00:00:00,0,2
16-Mar-2020 16:35:52,24.59,00:00:01,-00:00:01,1,3
16-Mar-2020 16:35:54,24.59,00:00:02,00:00:01,1,4
16-Mar-2020 16:35:56,24.59,00:00:02,00:00:00,0,4
16-Mar-2020 16:35:58,24.59,00:00:02,00:00:00,0,4
16-Mar-2020 16:35:59,24.59,00:00:01,-00:00:01,1,5
16-Mar-2020 16:36:01,24.59,00:00:02,00:00:01,1,6
16-Mar-2020 16:36:03,24.59,00:00:02,00:00:00,0,6
16-Mar-2020 16:36:05,24.6,00:00:02,00:00:00,0,6
16-Mar-2020 16:36:06,24.6,00:00:01,-00:00:01,1,7
16-Mar-2020 16:36:07,24.6,00:00:01,00:00:00,0,7
16-Mar-2020 16:36:08,24.6,00:00:01,00:00:00,0,7
16-Mar-2020 16:36:10,24.6,00:00:02,00:00:01,1,8
16-Mar-2020 16:36:11,24.6,00:00:01,-00:00:01,1,9
16-Mar-2020 16:36:13,24.6,00:00:02,00:00:01,1,10
16-Mar-2020 16:36:15,24.6,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:17,24.6,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:19,24.6,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:21,24.62,00:00:02,00:00:00,0,10
16-Mar-2020 16:36:22,24.59,00:00:01,-00:00:01,1,11
16-Mar-2020 16:36:24,24.59,00:00:02,00:00:01,1,12
16-Mar-2020 16:36:26,24.59,00:00:02,00:00:00,0,12
16-Mar-2020 16:36:28,24.58,00:00:02,00:00:00,0,12
16-Mar-2020 16:36:29,24.55,00:00:01,-00:00:01,1,13
16-Mar-2020 16:36:31,24.55,00:00:02,00:00:01,1,14
16-Mar-2020 16:36:33,24.56,00:00:02,00:00:00,0,14
16-Mar-2020 16:36:35,24.56,00:00:02,00:00:00,0,14
16-Mar-2020 16:36:36,24.56,00:00:01,-00:00:01,1,15
16-Mar-2020 16:36:38,24.56,00:00:02,00:00:01,1,16
16-Mar-2020 16:36:40,24.56,00:00:02,00:00:00,0,16
16-Mar-2020 16:36:42,24.56,00:00:02,00:00:00,0,16
16-Mar-2020 16:36:43,24.56,00:00:01,-00:00:01,1,17
16-Mar-2020 16:36:45,24.56,00:00:02,00:00:01,1,18
16-Mar-2020 16:36:47,24.56,00:00:02,00:00:00,0,18
16-Mar-2020 16:36:50,24.52,00:00:03,00:00:01,1,19
16-Mar-2020 16:36:52,24.52,00:00:02,-00:00:01,1,20
16-Mar-2020 16:36:53,24.52,00:00:01,-00:00:01,1,21
16-Mar-2020 16:36:55,24.52,00:00:02,00:00:01,1,22
16-Mar-2020 16:36:57,24.52,00:00:02,00:00:00,0,22
16-Mar-2020 16:36:59,24.52,00:00:02,00:00:00,0,22
16-Mar-2020 16:37:00,24.52,00:00:01,-00:00:01,1,23
16-Mar-2020 16:37:02,24.52,00:00:02,00:00:01,1,24
16-Mar-2020 16:37:04,24.5,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:06,24.5,00:00:02,00:00:00,0,24
16-Mar-2020 16:37:07,24.5,00:00:01,-00:00:01,1,25
16-Mar-2020 16:37:09,24.5,00:00:02,00:00:01,1,26
16-Mar-2020 16:37:11,24.5,00:00:02,00:00:00,0,26
16-Mar-2020 16:37:13,24.5,00:00:02,00:00:00,0,26
16-Mar-2020 16:37:14,24.5,00:00:01,-00:00:01,1,27
16-Mar-2020 16:37:16,24.5,00:00:02,00:00:01,1,28
16-Mar-2020 16:37:18,24.43,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:20,24.43,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:22,24.43,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:24,24.43,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:26,24.43,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:28,24.43,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:30,24.43,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:32,24.43,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:34,24.42,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:36,24.42,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:38,24.42,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:40,24.42,00:00:02,00:00:00,0,28
16-Mar-2020 16:37:41,24.42,00:00:01,-00:00:01,1,29
16-Mar-2020 16:37:43,24.42,00:00:02,00:00:01,1,30
16-Mar-2020 16:37:45,24.42,00:00:02,00:00:00,0,30
16-Mar-2020 16:37:47,24.42,00:00:02,00:00:00,0,30
16-Mar-2020 16:37:49,24.39,00:00:02,00:00:00,0,30
16-Mar-2020 16:37:51,24.39,00:00:02,00:00:00,0,30
16-Mar-2020 16:37:53,24.39,00:00:02,00:00:00,0,30
16-Mar-2020 16:37:55,24.39,00:00:02,00:00:00,0,30
16-Mar-2020 16:37:57,24.39,00:00:02,00:00:00,0,30
16-Mar-2020 16:37:59,24.39,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:01,24.39,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:03,24.39,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:05,24.38,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:07,24.38,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:09,24.38,00:00:02,00:00:00,0,30
16-Mar-2020 16:38:10,24.38,00:00:01,-00:00:01,1,31
16-Mar-2020 16:38:12,24.38,00:00:02,00:00:01,1,32
16-Mar-2020 16:38:13,24.38,00:00:01,-00:00:01,1,33
16-Mar-2020 16:38:15,24.38,00:00:02,00:00:01,1,34
16-Mar-2020 16:38:17,24.38,00:00:02,00:00:00,0,34
16-Mar-2020 16:38:19,24.36,00:00:02,00:00:00,0,34
16-Mar-2020 16:38:21,24.36,00:00:02,00:00:00,0,34
16-Mar-2020 16:38:22,24.36,00:00:01,-00:00:01,1,35
16-Mar-2020 16:38:23,24.36,00:00:01,00:00:00,0,35
16-Mar-2020 16:38:25,24.36,00:00:02,00:00:01,1,36
16-Mar-2020 16:38:27,24.36,00:00:02,00:00:00,0,36
16-Mar-2020 16:38:28,24.36,00:00:01,-00:00:01,1,37
16-Mar-2020 16:38:30,24.36,00:00:02,00:00:01,1,38
16-Mar-2020 16:38:32,24.36,00:00:02,00:00:00,0,38
16-Mar-2020 16:38:34,24.38,00:00:02,00:00:00,0,38
16-Mar-2020 16:38:35,24.38,00:00:01,-00:00:01,1,39
16-Mar-2020 16:38:37,24.38,00:00:02,00:00:01,1,40
16-Mar-2020 16:38:39,24.38,00:00:02,00:00:00,0,40
16-Mar-2020 16:38:41,24.38,00:00:02,00:00:00,0,40
16-Mar-2020 16:38:42,24.38,00:00:01,-00:00:01,1,41
16-Mar-2020 16:38:44,24.38,00:00:02,00:00:01,1,42
16-Mar-2020 16:38:46,24.38,00:00:02,00:00:00,0,42
16-Mar-2020 16:38:48,24.38,00:00:02,00:00:00,0,42
16-Mar-2020 16:38:49,24.39,00:00:01,-00:00:01,1,43
16-Mar-2020 16:38:51,24.39,00:00:02,00:00:01,1,44
16-Mar-2020 16:38:52,24.39,00:00:01,-00:00:01,1,45
16-Mar-2020 16:38:54,24.39,00:00:02,00:00:01,1,46
16-Mar-2020 16:38:56,24.39,00:00:02,00:00:00,0,46
16-Mar-2020 16:38:57,24.39,00:00:01,-00:00:01,1,47
16-Mar-2020 16:38:59,24.39,00:00:02,00:00:01,1,48
16-Mar-2020 16:39:01,24.39,00:00:02,00:00:00,0,48
16-Mar-2020 16:39:03,24.41,00:00:02,00:00:00,0,48
16-Mar-2020 16:39:05,24.41,00:00:02,00:00:00,0,48
16-Mar-2020 16:39:07,24.41,00:00:02,00:00:00,0,48
16-Mar-2020 16:39:09,24.41,00:00:02,00:00:00,0,48
16-Mar-2020 16:39:11,24.41,00:00:02,00:00:00,0,48
