Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:26:40,23.99,00:00:00,-24:00:00,1,1
16-Mar-2020 19:26:50,23.99,00:00:10,00:00:10,1,2
16-Mar-2020 19:27:01,24.01,00:00:11,00:00:01,1,3
16-Mar-2020 19:27:11,23.94,00:00:10,-00:00:01,1,4
16-Mar-2020 19:27:22,23.89,00:00:11,00:00:01,1,5
16-Mar-2020 19:27:32,23.89,00:00:10,-00:00:01,1,6
16-Mar-2020 19:27:42,23.84,00:00:10,00:00:00,0,6
16-Mar-2020 19:27:54,23.86,00:00:12,00:00:02,1,7
16-Mar-2020 19:28:08,23.86,00:00:14,00:00:02,1,8
16-Mar-2020 19:28:18,23.84,00:00:10,-00:00:04,1,9
16-Mar-2020 19:28:28,23.86,00:00:10,00:00:00,0,9
16-Mar-2020 19:28:38,23.84,00:00:10,00:00:00,0,9
16-Mar-2020 19:28:48,23.86,00:00:10,00:00:00,0,9
16-Mar-2020 19:28:58,23.84,00:00:10,00:00:00,0,9
16-Mar-2020 19:29:08,23.84,00:00:10,00:00:00,0,9
16-Mar-2020 19:29:18,23.86,00:00:10,00:00:00,0,9
16-Mar-2020 19:29:28,23.86,00:00:10,00:00:00,0,9
16-Mar-2020 19:29:38,23.83,00:00:10,00:00:00,0,9
16-Mar-2020 19:29:48,23.84,00:00:10,00:00:00,0,9
16-Mar-2020 19:29:58,23.86,00:00:10,00:00:00,0,9
16-Mar-2020 19:30:08,23.87,00:00:10,00:00:00,0,9
16-Mar-2020 19:30:18,23.86,00:00:10,00:00:00,0,9
16-Mar-2020 19:30:28,23.87,00:00:10,00:00:00,0,9
16-Mar-2020 19:30:38,24.17,00:00:10,00:00:00,0,9
16-Mar-2020 19:30:48,24.27,00:00:10,00:00:00,0,9
16-Mar-2020 19:30:58,24.21,00:00:10,00:00:00,0,9
16-Mar-2020 19:31:08,24.18,00:00:10,00:00:00,0,9
16-Mar-2020 19:31:18,24.08,00:00:10,00:00:00,0,9
16-Mar-2020 19:31:28,24,00:00:10,00:00:00,0,9
16-Mar-2020 19:31:38,24,00:00:10,00:00:00,0,9
16-Mar-2020 19:31:48,23.94,00:00:10,00:00:00,0,9
16-Mar-2020 19:31:58,23.93,00:00:10,00:00:00,0,9
16-Mar-2020 19:32:08,23.93,00:00:10,00:00:00,0,9
16-Mar-2020 19:32:18,23.89,00:00:10,00:00:00,0,9
16-Mar-2020 19:32:28,23.94,00:00:10,00:00:00,0,9
16-Mar-2020 19:32:38,11.35,00:00:10,00:00:00,0,9
16-Mar-2020 19:32:48,2.18,00:00:10,00:00:00,0,9
16-Mar-2020 19:32:58,1.19,00:00:10,00:00:00,0,9
16-Mar-2020 19:33:08,1.17,00:00:10,00:00:00,0,9
16-Mar-2020 19:33:18,1.34,00:00:10,00:00:00,0,9
16-Mar-2020 19:33:28,1.51,00:00:10,00:00:00,0,9
16-Mar-2020 19:33:38,1.54,00:00:10,00:00:00,0,9
16-Mar-2020 19:33:48,1.69,00:00:10,00:00:00,0,9
16-Mar-2020 19:33:58,1.68,00:00:10,00:00:00,0,9
16-Mar-2020 19:34:08,1.7,00:00:10,00:00:00,0,9
16-Mar-2020 19:34:18,1.7,00:00:10,00:00:00,0,9
16-Mar-2020 19:34:28,1.7,00:00:10,00:00:00,0,9
16-Mar-2020 19:34:38,1.7,00:00:10,00:00:00,0,9
