Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:24:50,56.83,00:00:00,-24:00:00,1,1
16-Mar-2020 19:25:01,57.42,00:00:11,00:00:11,1,2
16-Mar-2020 19:25:11,56.43,00:00:10,-00:00:01,1,3
16-Mar-2020 19:25:22,56.43,00:00:11,00:00:01,1,4
16-Mar-2020 19:25:32,57.27,00:00:10,-00:00:01,1,5
16-Mar-2020 19:25:43,56.83,00:00:11,00:00:01,1,6
16-Mar-2020 19:25:55,56.83,00:00:12,00:00:01,1,7
16-Mar-2020 19:26:07,56.89,00:00:12,00:00:00,0,7
16-Mar-2020 19:26:19,57.36,00:00:12,00:00:00,0,7
16-Mar-2020 19:26:30,57.07,00:00:11,-00:00:01,1,8
16-Mar-2020 19:26:41,57.07,00:00:11,00:00:00,0,8
16-Mar-2020 19:26:53,57,00:00:12,00:00:01,1,9
16-Mar-2020 19:27:05,57.2,00:00:12,00:00:00,0,9
16-Mar-2020 19:27:16,57.2,00:00:11,-00:00:01,1,10
16-Mar-2020 19:27:28,57.18,00:00:12,00:00:01,1,11
16-Mar-2020 19:27:40,57.14,00:00:12,00:00:00,0,11
16-Mar-2020 19:27:51,57.09,00:00:11,-00:00:01,1,12
16-Mar-2020 19:28:02,56.86,00:00:11,00:00:00,0,12
16-Mar-2020 19:28:14,56.86,00:00:12,00:00:01,1,13
16-Mar-2020 19:28:26,56.69,00:00:12,00:00:00,0,13
16-Mar-2020 19:28:38,56.96,00:00:12,00:00:00,0,13
16-Mar-2020 19:28:49,56.83,00:00:11,-00:00:01,1,14
16-Mar-2020 19:28:59,56.87,00:00:10,-00:00:01,1,15
16-Mar-2020 19:29:09,56.69,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:19,56.75,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:29,56.67,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:39,56.74,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:49,56.76,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:59,56.73,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:09,56.74,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:19,56.71,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:29,56.71,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:39,57.06,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:49,56.93,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:59,56.66,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:09,56.37,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:19,56.71,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:29,56.35,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:39,56.18,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:49,56.13,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:59,56.41,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:09,57.69,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:19,58.51,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:29,59.32,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:39,59.97,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:49,60.58,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:59,61.13,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:09,61.92,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:19,54.39,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:29,60.16,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:39,65.74,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:49,68.64,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:59,69.24,00:00:10,00:00:00,0,15
