Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:24:50,23.74,00:00:00,-24:00:00,1,1
16-Mar-2020 19:25:01,23.67,00:00:11,00:00:11,1,2
16-Mar-2020 19:25:11,23.55,00:00:10,-00:00:01,1,3
16-Mar-2020 19:25:22,23.55,00:00:11,00:00:01,1,4
16-Mar-2020 19:25:32,23.47,00:00:10,-00:00:01,1,5
16-Mar-2020 19:25:43,23.42,00:00:11,00:00:01,1,6
16-Mar-2020 19:25:54,23.42,00:00:11,00:00:00,0,6
16-Mar-2020 19:26:22,23.39,00:00:28,00:00:17,1,7
16-Mar-2020 19:26:35,23.36,00:00:13,-00:00:15,1,8
16-Mar-2020 19:26:47,23.35,00:00:12,-00:00:01,1,9
16-Mar-2020 19:26:58,23.35,00:00:11,-00:00:01,1,10
16-Mar-2020 19:27:08,23.35,00:00:10,-00:00:01,1,11
16-Mar-2020 19:27:19,23.33,00:00:11,00:00:01,1,12
16-Mar-2020 19:28:07,23.33,00:00:48,00:00:37,1,13
16-Mar-2020 19:28:49,23.33,00:00:42,-00:00:06,1,14
16-Mar-2020 19:28:59,23.32,00:00:10,-00:00:32,1,15
16-Mar-2020 19:29:09,23.32,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:19,23.32,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:29,23.32,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:39,23.31,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:49,23.32,00:00:10,00:00:00,0,15
16-Mar-2020 19:29:59,23.31,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:09,23.31,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:19,23.31,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:29,23.31,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:39,23.32,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:49,23.33,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:59,23.36,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:09,23.39,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:19,23.39,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:29,23.39,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:39,23.42,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:49,23.4,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:59,23.46,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:09,23.32,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:19,23.15,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:29,23.01,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:39,22.94,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:49,22.86,00:00:10,00:00:00,0,15
16-Mar-2020 19:32:59,22.79,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:09,22.72,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:19,3.92,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:29,1.46,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:39,1.31,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:49,1.23,00:00:10,00:00:00,0,15
16-Mar-2020 19:33:59,0.99,00:00:10,00:00:00,0,15
16-Mar-2020 19:34:09,1.05,00:00:10,00:00:00,0,15
16-Mar-2020 19:34:19,1.09,00:00:10,00:00:00,0,15
16-Mar-2020 19:34:29,1.1,00:00:10,00:00:00,0,15
16-Mar-2020 19:34:39,1.18,00:00:10,00:00:00,0,15
16-Mar-2020 19:34:49,1.19,00:00:10,00:00:00,0,15
16-Mar-2020 19:34:59,1.23,00:00:10,00:00:00,0,15
16-Mar-2020 19:35:09,1.21,00:00:10,00:00:00,0,15
16-Mar-2020 19:35:19,1.25,00:00:10,00:00:00,0,15
16-Mar-2020 19:35:29,1.22,00:00:10,00:00:00,0,15
16-Mar-2020 19:35:39,1.22,00:00:10,00:00:00,0,15
16-Mar-2020 19:35:49,1.19,00:00:10,00:00:00,0,15
16-Mar-2020 19:35:59,1.21,00:00:10,00:00:00,0,15
16-Mar-2020 19:36:09,1.19,00:00:10,00:00:00,0,15
16-Mar-2020 19:36:19,1.18,00:00:10,00:00:00,0,15
16-Mar-2020 19:36:29,1.19,00:00:10,00:00:00,0,15
16-Mar-2020 19:36:39,1.15,00:00:10,00:00:00,0,15
16-Mar-2020 19:36:49,1.12,00:00:10,00:00:00,0,15
16-Mar-2020 19:36:59,1.12,00:00:10,00:00:00,0,15
16-Mar-2020 19:37:09,1.12,00:00:10,00:00:00,0,15
16-Mar-2020 19:37:19,1.12,00:00:10,00:00:00,0,15
16-Mar-2020 19:37:29,1.1,00:00:10,00:00:00,0,15
