Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:25:15,55.31,00:00:00,-24:00:00,1,1
16-Mar-2020 19:25:26,55.72,00:00:11,00:00:11,1,2
16-Mar-2020 19:25:37,55.72,00:00:11,00:00:00,0,2
16-Mar-2020 19:25:47,56.15,00:00:10,-00:00:01,1,3
16-Mar-2020 19:25:58,56.49,00:00:11,00:00:01,1,4
16-Mar-2020 19:26:08,56.49,00:00:10,-00:00:01,1,5
16-Mar-2020 19:26:19,56.8,00:00:11,00:00:01,1,6
16-Mar-2020 19:26:31,56.79,00:00:12,00:00:01,1,7
16-Mar-2020 19:26:41,56.87,00:00:10,-00:00:02,1,8
16-Mar-2020 19:26:53,56.87,00:00:12,00:00:02,1,9
16-Mar-2020 19:27:04,56.74,00:00:11,-00:00:01,1,10
16-Mar-2020 19:27:16,56.88,00:00:12,00:00:01,1,11
16-Mar-2020 19:27:27,56.81,00:00:11,-00:00:01,1,12
16-Mar-2020 19:27:39,56.81,00:00:12,00:00:01,1,13
16-Mar-2020 19:27:50,56.69,00:00:11,-00:00:01,1,14
16-Mar-2020 19:28:02,56.38,00:00:12,00:00:01,1,15
16-Mar-2020 19:28:13,56.28,00:00:11,-00:00:01,1,16
16-Mar-2020 19:28:25,56.4,00:00:12,00:00:01,1,17
16-Mar-2020 19:28:35,56.46,00:00:10,-00:00:02,1,18
16-Mar-2020 19:28:45,56.43,00:00:10,00:00:00,0,18
16-Mar-2020 19:28:55,56.28,00:00:10,00:00:00,0,18
16-Mar-2020 19:29:05,56.31,00:00:10,00:00:00,0,18
16-Mar-2020 19:29:15,56.3,00:00:10,00:00:00,0,18
16-Mar-2020 19:29:25,56.28,00:00:10,00:00:00,0,18
16-Mar-2020 19:29:35,56.37,00:00:10,00:00:00,0,18
16-Mar-2020 19:29:45,56.33,00:00:10,00:00:00,0,18
16-Mar-2020 19:29:55,56.29,00:00:10,00:00:00,0,18
16-Mar-2020 19:30:05,56.23,00:00:10,00:00:00,0,18
16-Mar-2020 19:30:15,56.27,00:00:10,00:00:00,0,18
16-Mar-2020 19:30:25,56.13,00:00:10,00:00:00,0,18
16-Mar-2020 19:30:35,56.06,00:00:10,00:00:00,0,18
16-Mar-2020 19:30:45,60.84,00:00:10,00:00:00,0,18
16-Mar-2020 19:30:55,57.27,00:00:10,00:00:00,0,18
16-Mar-2020 19:31:05,56.13,00:00:10,00:00:00,0,18
16-Mar-2020 19:31:15,56.46,00:00:10,00:00:00,0,18
16-Mar-2020 19:31:25,55.95,00:00:10,00:00:00,0,18
16-Mar-2020 19:31:35,55.66,00:00:10,00:00:00,0,18
16-Mar-2020 19:31:45,59.6,00:00:10,00:00:00,0,18
16-Mar-2020 19:31:55,59.74,00:00:10,00:00:00,0,18
16-Mar-2020 19:32:05,59.64,00:00:10,00:00:00,0,18
16-Mar-2020 19:32:15,59.7,00:00:10,00:00:00,0,18
16-Mar-2020 19:32:25,59.92,00:00:10,00:00:00,0,18
16-Mar-2020 19:32:35,59.98,00:00:10,00:00:00,0,18
16-Mar-2020 19:32:45,60.06,00:00:10,00:00:00,0,18
16-Mar-2020 19:32:55,58.42,00:00:10,00:00:00,0,18
16-Mar-2020 19:33:05,54.72,00:00:10,00:00:00,0,18
16-Mar-2020 19:33:15,60.7,00:00:10,00:00:00,0,18
16-Mar-2020 19:33:25,65.2,00:00:10,00:00:00,0,18
16-Mar-2020 19:33:35,66.89,00:00:10,00:00:00,0,18
