Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:25:14,23.83,00:00:00,-24:00:00,1,1
16-Mar-2020 19:25:24,23.83,00:00:10,00:00:10,1,2
16-Mar-2020 19:25:34,23.67,00:00:10,00:00:00,0,2
16-Mar-2020 19:25:45,23.49,00:00:11,00:00:01,1,3
16-Mar-2020 19:25:56,23.43,00:00:11,00:00:00,0,3
16-Mar-2020 19:26:06,23.43,00:00:10,-00:00:01,1,4
16-Mar-2020 19:26:18,23.36,00:00:12,00:00:02,1,5
16-Mar-2020 19:26:30,23.32,00:00:12,00:00:00,0,5
16-Mar-2020 19:26:41,23.35,00:00:11,-00:00:01,1,6
16-Mar-2020 19:26:53,23.35,00:00:12,00:00:01,1,7
16-Mar-2020 19:27:05,23.31,00:00:12,00:00:00,0,7
16-Mar-2020 19:27:17,23.29,00:00:12,00:00:00,0,7
16-Mar-2020 19:27:28,23.28,00:00:11,-00:00:01,1,8
16-Mar-2020 19:27:40,23.28,00:00:12,00:00:01,1,9
16-Mar-2020 19:27:52,23.26,00:00:12,00:00:00,0,9
16-Mar-2020 19:28:04,23.28,00:00:12,00:00:00,0,9
16-Mar-2020 19:28:15,23.28,00:00:11,-00:00:01,1,10
16-Mar-2020 19:28:26,23.26,00:00:11,00:00:00,0,10
16-Mar-2020 19:28:36,23.29,00:00:10,-00:00:01,1,11
16-Mar-2020 19:28:46,23.26,00:00:10,00:00:00,0,11
16-Mar-2020 19:28:56,23.26,00:00:10,00:00:00,0,11
16-Mar-2020 19:29:06,23.29,00:00:10,00:00:00,0,11
16-Mar-2020 19:29:16,23.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:29:26,23.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:29:36,23.29,00:00:10,00:00:00,0,11
16-Mar-2020 19:29:46,23.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:29:56,23.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:30:06,23.26,00:00:10,00:00:00,0,11
16-Mar-2020 19:30:16,23.29,00:00:10,00:00:00,0,11
16-Mar-2020 19:30:26,23.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:30:36,23.29,00:00:10,00:00:00,0,11
16-Mar-2020 19:30:46,23.45,00:00:10,00:00:00,0,11
16-Mar-2020 19:30:56,23.45,00:00:10,00:00:00,0,11
16-Mar-2020 19:31:06,23.42,00:00:10,00:00:00,0,11
16-Mar-2020 19:31:16,23.45,00:00:10,00:00:00,0,11
16-Mar-2020 19:31:26,23.45,00:00:10,00:00:00,0,11
16-Mar-2020 19:31:36,23.43,00:00:10,00:00:00,0,11
16-Mar-2020 19:31:46,23.48,00:00:10,00:00:00,0,11
16-Mar-2020 19:31:56,23.42,00:00:10,00:00:00,0,11
16-Mar-2020 19:32:06,23.33,00:00:10,00:00:00,0,11
16-Mar-2020 19:32:16,23.26,00:00:10,00:00:00,0,11
16-Mar-2020 19:32:26,23.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:32:36,23.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:32:46,23.14,00:00:10,00:00:00,0,11
16-Mar-2020 19:32:56,15.56,00:00:10,00:00:00,0,11
16-Mar-2020 19:33:06,1.36,00:00:10,00:00:00,0,11
16-Mar-2020 19:33:16,0.7,00:00:10,00:00:00,0,11
16-Mar-2020 19:33:26,0.55,00:00:10,00:00:00,0,11
16-Mar-2020 19:33:36,0.86,00:00:10,00:00:00,0,11
16-Mar-2020 19:33:46,0.7,00:00:10,00:00:00,0,11
16-Mar-2020 19:33:56,0.63,00:00:10,00:00:00,0,11
16-Mar-2020 19:34:06,0.63,00:00:10,00:00:00,0,11
16-Mar-2020 19:34:16,0.63,00:00:10,00:00:00,0,11
16-Mar-2020 19:34:26,0.65,00:00:10,00:00:00,0,11
16-Mar-2020 19:34:36,0.62,00:00:10,00:00:00,0,11
16-Mar-2020 19:34:46,0.65,00:00:10,00:00:00,0,11
16-Mar-2020 19:34:56,0.62,00:00:10,00:00:00,0,11
16-Mar-2020 19:35:06,0.62,00:00:10,00:00:00,0,11
16-Mar-2020 19:35:16,0.59,00:00:10,00:00:00,0,11
16-Mar-2020 19:35:26,0.6,00:00:10,00:00:00,0,11
16-Mar-2020 19:35:36,0.56,00:00:10,00:00:00,0,11
16-Mar-2020 19:35:46,0.56,00:00:10,00:00:00,0,11
16-Mar-2020 19:35:56,0.55,00:00:10,00:00:00,0,11
16-Mar-2020 19:36:06,0.52,00:00:10,00:00:00,0,11
16-Mar-2020 19:36:16,0.51,00:00:10,00:00:00,0,11
16-Mar-2020 19:36:26,0.49,00:00:10,00:00:00,0,11
16-Mar-2020 19:36:36,0.49,00:00:10,00:00:00,0,11
16-Mar-2020 19:36:46,0.48,00:00:10,00:00:00,0,11
16-Mar-2020 19:36:56,0.45,00:00:10,00:00:00,0,11
16-Mar-2020 19:37:06,0.44,00:00:10,00:00:00,0,11
16-Mar-2020 19:37:16,0.45,00:00:10,00:00:00,0,11
16-Mar-2020 19:37:26,0.42,00:00:10,00:00:00,0,11
16-Mar-2020 19:37:36,0.41,00:00:10,00:00:00,0,11
16-Mar-2020 19:37:46,0.39,00:00:10,00:00:00,0,11
16-Mar-2020 19:37:56,0.38,00:00:10,00:00:00,0,11
16-Mar-2020 19:38:06,0.38,00:00:10,00:00:00,0,11
16-Mar-2020 19:38:16,0.38,00:00:10,00:00:00,0,11
16-Mar-2020 19:38:26,0.39,00:00:10,00:00:00,0,11
16-Mar-2020 19:38:36,0.39,00:00:10,00:00:00,0,11
16-Mar-2020 19:38:46,0.37,00:00:10,00:00:00,0,11
16-Mar-2020 19:38:56,0.37,00:00:10,00:00:00,0,11
16-Mar-2020 19:39:06,0.34,00:00:10,00:00:00,0,11
16-Mar-2020 19:39:16,0.37,00:00:10,00:00:00,0,11
16-Mar-2020 19:39:26,0.34,00:00:10,00:00:00,0,11
16-Mar-2020 19:39:36,0.32,00:00:10,00:00:00,0,11
16-Mar-2020 19:39:46,0.34,00:00:10,00:00:00,0,11
16-Mar-2020 19:39:56,0.31,00:00:10,00:00:00,0,11
16-Mar-2020 19:40:06,0.34,00:00:10,00:00:00,0,11
16-Mar-2020 19:40:16,0.3,00:00:10,00:00:00,0,11
16-Mar-2020 19:40:26,0.31,00:00:10,00:00:00,0,11
16-Mar-2020 19:40:36,0.31,00:00:10,00:00:00,0,11
16-Mar-2020 19:40:46,0.32,00:00:10,00:00:00,0,11
16-Mar-2020 19:40:56,0.3,00:00:10,00:00:00,0,11
16-Mar-2020 19:41:06,0.3,00:00:10,00:00:00,0,11
16-Mar-2020 19:41:16,0.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:41:26,0.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:41:36,0.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:41:46,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:41:56,0.3,00:00:10,00:00:00,0,11
16-Mar-2020 19:42:06,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:42:16,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:42:26,0.28,00:00:10,00:00:00,0,11
16-Mar-2020 19:42:36,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:42:46,0.25,00:00:10,00:00:00,0,11
16-Mar-2020 19:42:56,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:43:06,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:43:16,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:43:26,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:43:36,0.25,00:00:10,00:00:00,0,11
16-Mar-2020 19:43:46,0.25,00:00:10,00:00:00,0,11
16-Mar-2020 19:43:56,0.24,00:00:10,00:00:00,0,11
16-Mar-2020 19:44:06,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:44:16,0.25,00:00:10,00:00:00,0,11
16-Mar-2020 19:44:26,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:44:36,0.27,00:00:10,00:00:00,0,11
16-Mar-2020 19:44:46,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:44:56,0.25,00:00:10,00:00:00,0,11
16-Mar-2020 19:45:06,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:45:16,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:45:26,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:45:36,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:45:46,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:45:56,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:46:06,0.24,00:00:10,00:00:00,0,11
16-Mar-2020 19:46:16,0.24,00:00:10,00:00:00,0,11
16-Mar-2020 19:46:26,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:46:36,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:46:46,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:46:56,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:47:06,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:47:16,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:47:26,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:47:36,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:47:46,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:47:56,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:48:06,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:48:16,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:48:26,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:48:36,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:48:46,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:48:56,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:49:06,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:49:16,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:49:26,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:49:36,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:49:46,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:49:56,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:50:06,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:50:16,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:50:26,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:50:36,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:50:46,0.23,00:00:10,00:00:00,0,11
16-Mar-2020 19:50:56,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:51:06,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:51:16,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:51:26,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:51:36,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:51:46,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:51:56,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:52:06,0.21,00:00:10,00:00:00,0,11
16-Mar-2020 19:52:16,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:52:26,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:52:36,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:52:46,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:52:56,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:53:06,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:53:16,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:53:26,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:53:36,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:53:46,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:53:56,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:54:06,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:54:16,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:54:26,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:54:36,0.17,00:00:10,00:00:00,0,11
16-Mar-2020 19:54:46,0.16,00:00:10,00:00:00,0,11
16-Mar-2020 19:54:56,0.17,00:00:10,00:00:00,0,11
16-Mar-2020 19:55:06,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:55:16,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:55:26,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:55:36,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:55:46,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:55:56,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:56:06,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:56:16,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:56:26,0.17,00:00:10,00:00:00,0,11
16-Mar-2020 19:56:36,0.18,00:00:10,00:00:00,0,11
16-Mar-2020 19:56:46,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:56:56,0.16,00:00:10,00:00:00,0,11
16-Mar-2020 19:57:06,0.2,00:00:10,00:00:00,0,11
16-Mar-2020 19:57:16,0.18,00:00:10,00:00:00,0,11
