Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:27:07,55.78,00:00:00,-24:00:00,1,1
16-Mar-2020 19:27:18,55.18,00:00:11,00:00:11,1,2
16-Mar-2020 19:27:28,55.18,00:00:10,-00:00:01,1,3
16-Mar-2020 19:27:39,55.01,00:00:11,00:00:01,1,4
16-Mar-2020 19:27:50,54.82,00:00:11,00:00:00,0,4
16-Mar-2020 19:28:00,54.61,00:00:10,-00:00:01,1,5
16-Mar-2020 19:28:10,54.49,00:00:10,00:00:00,0,5
16-Mar-2020 19:28:20,54.35,00:00:10,00:00:00,0,5
16-Mar-2020 19:28:30,54.43,00:00:10,00:00:00,0,5
16-Mar-2020 19:28:40,54.41,00:00:10,00:00:00,0,5
16-Mar-2020 19:28:50,54.45,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:00,54.39,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:10,54.34,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:20,54.29,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:30,54.27,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:40,54.32,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:50,54.26,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:00,54.23,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:10,54.2,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:20,54.11,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:30,54.02,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:40,58.83,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:50,56.31,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:00,58.53,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:10,59.64,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:20,59.85,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:30,60.09,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:40,60.3,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:50,60.55,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:00,60.83,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:10,61.04,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:20,61.17,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:30,61.39,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:40,61.49,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:50,54.33,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:00,56.33,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:10,60.13,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:20,62.79,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:30,64.52,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:40,65.43,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:50,65.99,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:00,66.21,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:10,66.21,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:20,66.14,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:30,65.98,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:40,65.82,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:50,65.6,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:00,65.44,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:10,65.23,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:20,65.04,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:30,64.86,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:40,64.69,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:50,64.48,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:00,64.36,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:10,64.19,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:20,64.07,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:30,63.93,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:40,63.8,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:50,63.67,00:00:10,00:00:00,0,5
16-Mar-2020 19:37:00,63.56,00:00:10,00:00:00,0,5
16-Mar-2020 19:37:10,63.42,00:00:10,00:00:00,0,5
