Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:27:07,24.06,00:00:00,-24:00:00,1,1
16-Mar-2020 19:27:18,24.1,00:00:11,00:00:11,1,2
16-Mar-2020 19:27:28,24.1,00:00:10,-00:00:01,1,3
16-Mar-2020 19:27:39,24.1,00:00:11,00:00:01,1,4
16-Mar-2020 19:27:50,24.14,00:00:11,00:00:00,0,4
16-Mar-2020 19:28:00,24.14,00:00:10,-00:00:01,1,5
16-Mar-2020 19:28:10,24.17,00:00:10,00:00:00,0,5
16-Mar-2020 19:28:20,24.17,00:00:10,00:00:00,0,5
16-Mar-2020 19:28:30,24.18,00:00:10,00:00:00,0,5
16-Mar-2020 19:28:40,24.19,00:00:10,00:00:00,0,5
16-Mar-2020 19:28:50,24.17,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:00,24.15,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:10,24.15,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:20,24.14,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:30,24.17,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:40,24.15,00:00:10,00:00:00,0,5
16-Mar-2020 19:29:50,24.15,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:00,24.17,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:10,24.15,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:20,24.18,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:30,24.18,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:40,24.34,00:00:10,00:00:00,0,5
16-Mar-2020 19:30:50,24.34,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:00,24.18,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:10,24.07,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:20,24.04,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:30,24.03,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:40,24.03,00:00:10,00:00:00,0,5
16-Mar-2020 19:31:50,24.03,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:00,23.96,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:10,23.9,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:20,23.86,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:30,23.8,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:40,23.76,00:00:10,00:00:00,0,5
16-Mar-2020 19:32:50,5.19,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:00,1.08,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:10,1.29,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:20,1.35,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:30,1.49,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:40,1.26,00:00:10,00:00:00,0,5
16-Mar-2020 19:33:50,1.33,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:00,1.42,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:10,1.42,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:20,1.45,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:30,1.45,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:40,1.43,00:00:10,00:00:00,0,5
16-Mar-2020 19:34:50,1.42,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:00,1.43,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:10,1.43,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:20,1.39,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:30,1.39,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:40,1.39,00:00:10,00:00:00,0,5
16-Mar-2020 19:35:50,1.38,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:00,1.38,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:10,1.39,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:20,1.38,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:30,1.35,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:40,1.33,00:00:10,00:00:00,0,5
16-Mar-2020 19:36:50,1.33,00:00:10,00:00:00,0,5
16-Mar-2020 19:37:00,1.31,00:00:10,00:00:00,0,5
16-Mar-2020 19:37:10,1.32,00:00:10,00:00:00,0,5
16-Mar-2020 19:37:20,1.28,00:00:10,00:00:00,0,5
16-Mar-2020 19:37:30,1.26,00:00:10,00:00:00,0,5
16-Mar-2020 19:37:40,1.28,00:00:10,00:00:00,0,5
16-Mar-2020 19:37:50,1.24,00:00:10,00:00:00,0,5
