Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:27:38,53.91,00:00:00,-24:00:00,1,1
16-Mar-2020 19:27:48,52.88,00:00:10,00:00:10,1,2
16-Mar-2020 19:27:58,52.66,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:08,52.46,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:18,52.21,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:28,52.21,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:38,52.23,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:48,52.09,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:58,52.06,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:08,52.13,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:18,52.06,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:28,51.95,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:38,52.05,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:48,52.1,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:58,52,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:08,51.95,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:18,51.91,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:28,52.01,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:38,56.29,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:48,55.19,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:58,58.16,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:08,58.66,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:18,58.56,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:28,58.69,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:38,58.87,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:48,59.01,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:58,59.24,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:08,59.61,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:18,59.96,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:28,60.22,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:38,60.52,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:48,53.64,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:58,54.92,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:08,60.83,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:18,64.82,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:28,66.58,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:38,66.92,00:00:10,00:00:00,0,2
