Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:27:29,24.4,00:00:00,-24:00:00,1,1
16-Mar-2020 19:27:39,24.49,00:00:10,00:00:10,1,2
16-Mar-2020 19:27:49,24.54,00:00:10,00:00:00,0,2
16-Mar-2020 19:27:59,24.59,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:09,24.62,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:19,24.66,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:29,24.67,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:39,24.67,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:49,24.71,00:00:10,00:00:00,0,2
16-Mar-2020 19:28:59,24.71,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:09,24.7,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:19,24.67,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:29,24.66,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:39,24.66,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:49,24.69,00:00:10,00:00:00,0,2
16-Mar-2020 19:29:59,24.66,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:09,24.67,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:19,24.67,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:29,24.73,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:39,24.84,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:49,24.8,00:00:10,00:00:00,0,2
16-Mar-2020 19:30:59,24.29,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:09,24.23,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:19,24.15,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:29,24.11,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:39,24.08,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:49,24.09,00:00:10,00:00:00,0,2
16-Mar-2020 19:31:59,24.02,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:09,23.97,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:19,23.87,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:29,23.78,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:39,23.74,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:49,6.17,00:00:10,00:00:00,0,2
16-Mar-2020 19:32:59,2.46,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:09,2.23,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:19,2.21,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:29,2.21,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:39,2.32,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:49,2.27,00:00:10,00:00:00,0,2
16-Mar-2020 19:33:59,2.27,00:00:10,00:00:00,0,2
16-Mar-2020 19:34:09,2.23,00:00:10,00:00:00,0,2
16-Mar-2020 19:34:19,2.21,00:00:10,00:00:00,0,2
16-Mar-2020 19:34:29,2.19,00:00:10,00:00:00,0,2
16-Mar-2020 19:34:39,2.15,00:00:10,00:00:00,0,2
16-Mar-2020 19:34:49,2.16,00:00:10,00:00:00,0,2
16-Mar-2020 19:34:59,2.16,00:00:10,00:00:00,0,2
16-Mar-2020 19:35:09,2.15,00:00:10,00:00:00,0,2
16-Mar-2020 19:35:19,2.15,00:00:10,00:00:00,0,2
16-Mar-2020 19:35:29,2.15,00:00:10,00:00:00,0,2
16-Mar-2020 19:35:39,2.11,00:00:10,00:00:00,0,2
16-Mar-2020 19:35:49,2.09,00:00:10,00:00:00,0,2
16-Mar-2020 19:35:59,2.11,00:00:10,00:00:00,0,2
16-Mar-2020 19:36:09,2.08,00:00:10,00:00:00,0,2
16-Mar-2020 19:36:19,2.08,00:00:10,00:00:00,0,2
16-Mar-2020 19:36:29,2.08,00:00:10,00:00:00,0,2
16-Mar-2020 19:36:39,2.05,00:00:10,00:00:00,0,2
16-Mar-2020 19:36:49,2.05,00:00:10,00:00:00,0,2
16-Mar-2020 19:36:59,2.04,00:00:10,00:00:00,0,2
16-Mar-2020 19:37:09,2.04,00:00:10,00:00:00,0,2
16-Mar-2020 19:37:19,2.01,00:00:10,00:00:00,0,2
16-Mar-2020 19:37:29,2,00:00:10,00:00:00,0,2
16-Mar-2020 19:37:39,1.98,00:00:10,00:00:00,0,2
16-Mar-2020 19:37:49,1.97,00:00:10,00:00:00,0,2
16-Mar-2020 19:37:59,1.93,00:00:10,00:00:00,0,2
16-Mar-2020 19:38:09,1.91,00:00:10,00:00:00,0,2
16-Mar-2020 19:38:19,1.93,00:00:10,00:00:00,0,2
16-Mar-2020 19:38:29,1.87,00:00:10,00:00:00,0,2
16-Mar-2020 19:38:39,1.87,00:00:10,00:00:00,0,2
16-Mar-2020 19:38:49,1.84,00:00:10,00:00:00,0,2
16-Mar-2020 19:38:59,1.83,00:00:10,00:00:00,0,2
16-Mar-2020 19:39:09,1.8,00:00:10,00:00:00,0,2
16-Mar-2020 19:39:19,1.78,00:00:10,00:00:00,0,2
16-Mar-2020 19:39:29,1.78,00:00:10,00:00:00,0,2
16-Mar-2020 19:39:39,1.77,00:00:10,00:00:00,0,2
16-Mar-2020 19:39:49,1.73,00:00:10,00:00:00,0,2
16-Mar-2020 19:39:59,1.7,00:00:10,00:00:00,0,2
16-Mar-2020 19:40:09,1.7,00:00:10,00:00:00,0,2
16-Mar-2020 19:40:19,1.69,00:00:10,00:00:00,0,2
16-Mar-2020 19:40:29,1.64,00:00:10,00:00:00,0,2
16-Mar-2020 19:40:39,1.63,00:00:10,00:00:00,0,2
16-Mar-2020 19:40:49,1.59,00:00:10,00:00:00,0,2
16-Mar-2020 19:40:59,1.59,00:00:10,00:00:00,0,2
16-Mar-2020 19:41:09,1.59,00:00:10,00:00:00,0,2
