Time,Value,Diff_1,Diff_2,Good,CUMSUM
16-Mar-2020 19:26:30,56.48,00:00:00,-24:00:00,1,1
16-Mar-2020 19:26:40,56.48,00:00:10,00:00:10,1,2
16-Mar-2020 19:26:51,56,00:00:11,00:00:01,1,3
16-Mar-2020 19:27:01,56.33,00:00:10,-00:00:01,1,4
16-Mar-2020 19:27:12,56.33,00:00:11,00:00:01,1,5
16-Mar-2020 19:27:22,56.16,00:00:10,-00:00:01,1,6
16-Mar-2020 19:27:35,56.13,00:00:13,00:00:03,1,7
16-Mar-2020 19:27:49,55.93,00:00:14,00:00:01,1,8
16-Mar-2020 19:28:01,55.72,00:00:12,-00:00:02,1,9
16-Mar-2020 19:28:12,55.52,00:00:11,-00:00:01,1,10
16-Mar-2020 19:28:22,55.51,00:00:10,-00:00:01,1,11
16-Mar-2020 19:28:32,55.5,00:00:10,00:00:00,0,11
16-Mar-2020 19:28:42,55.49,00:00:10,00:00:00,0,11
16-Mar-2020 19:28:52,55.58,00:00:10,00:00:00,0,11
16-Mar-2020 19:29:03,55.57,00:00:11,00:00:01,1,12
16-Mar-2020 19:29:13,55.5,00:00:10,-00:00:01,1,13
16-Mar-2020 19:29:23,55.52,00:00:10,00:00:00,0,13
16-Mar-2020 19:29:33,55.51,00:00:10,00:00:00,0,13
16-Mar-2020 19:29:43,55.54,00:00:10,00:00:00,0,13
16-Mar-2020 19:29:53,55.45,00:00:10,00:00:00,0,13
16-Mar-2020 19:30:04,55.33,00:00:11,00:00:01,1,14
16-Mar-2020 19:30:14,55.31,00:00:10,-00:00:01,1,15
16-Mar-2020 19:30:24,55.33,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:34,55.33,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:44,60.07,00:00:10,00:00:00,0,15
16-Mar-2020 19:30:54,57.48,00:00:10,00:00:00,0,15
16-Mar-2020 19:31:05,55.37,00:00:11,00:00:01,1,16
16-Mar-2020 19:31:15,55.22,00:00:10,-00:00:01,1,17
16-Mar-2020 19:31:25,55.23,00:00:10,00:00:00,0,17
16-Mar-2020 19:31:35,58.17,00:00:10,00:00:00,0,17
16-Mar-2020 19:31:45,60.95,00:00:10,00:00:00,0,17
16-Mar-2020 19:31:55,60.65,00:00:10,00:00:00,0,17
16-Mar-2020 19:32:06,60.41,00:00:11,00:00:01,1,18
16-Mar-2020 19:32:16,60.24,00:00:10,-00:00:01,1,19
16-Mar-2020 19:32:26,60.36,00:00:10,00:00:00,0,19
16-Mar-2020 19:32:37,57.71,00:00:11,00:00:01,1,20
16-Mar-2020 19:32:47,60.5,00:00:10,-00:00:01,1,21
16-Mar-2020 19:32:57,52.1,00:00:10,00:00:00,0,21
16-Mar-2020 19:33:07,63.17,00:00:10,00:00:00,0,21
16-Mar-2020 19:33:17,68.63,00:00:10,00:00:00,0,21
16-Mar-2020 19:33:27,71.13,00:00:10,00:00:00,0,21
16-Mar-2020 19:33:37,71.96,00:00:10,00:00:00,0,21
16-Mar-2020 19:33:47,71.78,00:00:10,00:00:00,0,21
16-Mar-2020 19:33:57,70.98,00:00:10,00:00:00,0,21
16-Mar-2020 19:34:07,69.94,00:00:10,00:00:00,0,21
16-Mar-2020 19:34:17,68.87,00:00:10,00:00:00,0,21
16-Mar-2020 19:34:27,67.83,00:00:10,00:00:00,0,21
16-Mar-2020 19:34:37,66.85,00:00:10,00:00:00,0,21
16-Mar-2020 19:34:47,65.95,00:00:10,00:00:00,0,21
16-Mar-2020 19:34:57,65.19,00:00:10,00:00:00,0,21
16-Mar-2020 19:35:07,64.53,00:00:10,00:00:00,0,21
16-Mar-2020 19:35:17,63.98,00:00:10,00:00:00,0,21
16-Mar-2020 19:35:27,63.5,00:00:10,00:00:00,0,21
16-Mar-2020 19:35:37,63.1,00:00:10,00:00:00,0,21
16-Mar-2020 19:35:47,62.72,00:00:10,00:00:00,0,21
16-Mar-2020 19:35:57,62.4,00:00:10,00:00:00,0,21
16-Mar-2020 19:36:07,62.14,00:00:10,00:00:00,0,21
16-Mar-2020 19:36:17,61.91,00:00:10,00:00:00,0,21
16-Mar-2020 19:36:27,61.76,00:00:10,00:00:00,0,21
16-Mar-2020 19:36:38,61.31,00:00:11,00:00:01,1,22
16-Mar-2020 19:36:48,61.17,00:00:10,-00:00:01,1,23
16-Mar-2020 19:36:58,61.28,00:00:10,00:00:00,0,23
16-Mar-2020 19:37:08,61.13,00:00:10,00:00:00,0,23
16-Mar-2020 19:37:18,60.9,00:00:10,00:00:00,0,23
16-Mar-2020 19:37:28,60.85,00:00:10,00:00:00,0,23
16-Mar-2020 19:37:39,60.75,00:00:11,00:00:01,1,24
16-Mar-2020 19:37:49,60.68,00:00:10,-00:00:01,1,25
16-Mar-2020 19:37:59,60.72,00:00:10,00:00:00,0,25
16-Mar-2020 19:38:09,60.65,00:00:10,00:00:00,0,25
16-Mar-2020 19:38:19,60.53,00:00:10,00:00:00,0,25
16-Mar-2020 19:38:29,60.48,00:00:10,00:00:00,0,25
16-Mar-2020 19:38:40,60.49,00:00:11,00:00:01,1,26
16-Mar-2020 19:38:50,60.45,00:00:10,-00:00:01,1,27
16-Mar-2020 19:39:00,60.47,00:00:10,00:00:00,0,27
16-Mar-2020 19:39:10,60.41,00:00:10,00:00:00,0,27
16-Mar-2020 19:39:20,60.38,00:00:10,00:00:00,0,27
16-Mar-2020 19:39:30,60.35,00:00:10,00:00:00,0,27
16-Mar-2020 19:39:41,60.34,00:00:11,00:00:01,1,28
16-Mar-2020 19:39:51,60.32,00:00:10,-00:00:01,1,29
